Price,Area,Baths,Beds,Latitude,Longitude,Month,Year
355950.0,160,2,4,-32.1159,115.84245,9,2018
229950.0,139,2,3,-32.19347028,115.85955349999999,2,2019
180810.0,86,1,3,-32.12057813,115.993579,6,2015
160650.0,59,1,2,-31.90054675,116.0380088,7,2018
204750.0,131,1,4,-31.885790000000004,115.94778000000001,11,2016
257670.0,118,2,4,-32.1538014,116.0236578,3,2013
252000.0,132,2,3,-32.17997786,115.9886473,5,2016
233100.0,158,2,4,-32.31766224,115.7619682,3,2019
355950.0,168,2,4,-31.84775987,115.82270049999998,6,2020
431550.0,126,2,3,-31.91788,115.90705,10,2019
425250.0,241,2,4,-32.01574,116.08891000000001,7,2014
231525.0,158,2,3,-31.65428,115.7022,11,2018
189000.0,94,2,3,-31.84964681,115.84631399999999,12,2019
337050.0,247,2,4,-32.15959,115.84948,7,2019
340200.0,186,2,4,-32.00294817,115.9836459,5,2018
431550.0,196,2,3,-32.06458,115.86046,11,2017
220500.0,154,2,4,-31.66068818,116.0407159,11,2017
359100.0,225,2,4,-31.95242,116.0207,10,2020
200340.0,90,1,2,-31.904090000000004,116.04213,5,2013
238770.0,167,2,3,-32.13247,116.0242,8,2017
244125.0,111,1,4,-32.14885,115.94308000000001,4,2017
292950.0,173,2,4,-32.137679999999996,115.86697,8,2017
204750.0,93,1,3,-31.88355668,115.95423190000001,8,2014
324450.0,160,2,3,-31.7328966,115.7996371,9,2014
384300.0,121,1,3,-31.88948,115.99427,4,2013
264600.0,295,2,4,-32.434584,115.758448,1,2015
218925.0,88,1,3,-31.906979999999997,115.98698,8,2018
309960.0,250,2,4,-32.00415385,115.9949594,11,2017
126630.0,99,1,3,-32.164115,116.00839270000002,2,2019
173250.0,108,1,3,-32.03406,115.99136999999999,4,2018
258300.0,155,2,4,-32.08948,115.78811,12,2019
198450.0,127,2,4,-32.362590000000004,115.7517,12,2020
500850.0,254,3,4,-32.11535746,116.07486180000001,10,2017
378000.0,222,2,4,-31.910390000000003,116.10841,8,2015
252000.0,186,2,4,-32.39686,115.75636999999999,9,2019
220500.0,177,1,3,-31.82521,116.02121000000001,8,2013
526050.0,170,2,4,-31.869940000000003,115.79768,6,2016
303660.0,152,2,4,-32.11598945,115.91732730000001,11,2020
793800.0,227,3,3,-32.02689,115.75381999999999,11,2016
255150.0,156,2,3,-31.66895,115.70455,3,2019
292950.0,143,2,3,-31.95549,116.01601000000001,7,2019
352800.0,168,2,5,-32.11658806,115.77908629999999,12,2018
239400.0,122,1,3,-32.0459,115.90518999999999,5,2016
226800.0,130,2,3,-31.638689000000003,115.70020600000001,12,2020
340200.0,221,2,4,-31.71607737,115.7997715,3,2018
264600.0,163,2,3,-32.07705,115.94632,6,2020
207900.0,171,2,4,-32.36170962,115.81366909999998,12,2020
444150.0,132,1,3,-31.987920000000003,115.88136999999999,10,2017
387450.0,247,2,4,-31.881240000000002,115.93878000000001,3,2016
355950.0,151,2,3,-32.07693,115.78611000000001,5,2020
535500.0,120,1,3,-31.92056,115.86556999999999,10,2013
491400.0,305,2,4,-32.099348600000006,115.9525676,9,2018
327600.0,154,3,3,-32.103790000000004,115.82631,3,2018
693000.0,150,1,3,-31.97685,115.76985,12,2016
371700.0,246,2,5,-31.75123,116.00693000000001,3,2020
196560.0,101,2,4,-31.868290000000002,116.03838,8,2018
567000.0,213,2,3,-31.86096794,115.76636780000001,8,2016
111510.0,150,1,3,-32.15937438,115.98808170000001,8,2013
365400.0,188,2,4,-31.81185,115.8241,7,2017
296100.0,110,2,3,-32.00510024,115.9157517,2,2018
451710.0,176,2,3,-32.00891,115.87138,2,2018
409500.0,170,2,4,-31.83908,115.79647,8,2014
243810.0,114,1,4,-32.00205721,115.94106200000002,9,2018
207900.0,111,2,3,-32.23409592,115.80588540000001,7,2015
381150.0,180,1,2,-31.98705,116.04768999999999,8,2020
239400.0,156,2,3,-31.65843642,116.04118020000001,6,2016
53550.0,117,1,2,-31.90963,116.04061000000002,10,1998
217350.0,128,2,3,-31.66719,115.71465,6,2017
332640.0,180,2,4,-32.16854691,115.86785,3,2018
463050.0,223,2,4,-31.951240000000002,116.05696,7,2015
278775.0,176,2,4,-31.81372,115.85078,11,2019
639450.0,312,2,3,-31.81745,115.74223,8,2018
333900.0,200,2,3,-31.83138,115.87381,5,2016
324450.0,90,1,3,-31.998829999999998,115.90543999999998,6,2019
693000.0,251,2,4,-31.907629999999997,115.9573,11,2018
796950.0,261,3,4,-32.02499618,115.8306028,2,2018
472500.0,236,3,4,-32.14722691,116.05605290000001,8,2019
297675.0,147,2,4,-32.15555254,115.84661709999999,7,2018
247275.0,185,2,4,-31.84873764,115.9045034,1,2019
567000.0,263,2,4,-31.8934,115.99799999999999,12,2008
239400.0,153,2,5,-32.26303,115.80407,4,2015
371700.0,179,2,3,-32.01232,115.87353,4,2019
526050.0,179,2,4,-32.05318,115.85013000000001,11,2018
311850.0,155,2,4,-31.59475775,115.66896909999998,2,2016
245700.0,111,2,4,-31.884959999999996,115.94411000000001,6,2012
176400.0,119,1,3,-32.23786,115.82736000000001,3,2017
223650.0,140,1,3,-32.02907099,115.96617409999999,2,2017
292950.0,160,2,4,-31.77422523,115.79110659999999,1,2016
234360.0,135,2,3,-32.104929999999996,115.83043,1,2020
