Price,Area,Baths,Beds,Latitude,Longitude,Month,Year
169556.0,84.0,2.0,2.0,-34.903143,-56.159898999999996,2,2020
201020.0,65.0,2.0,3.0,-34.917752,-56.164649,2,2020
122360.0,65.0,1.0,2.0,-34.909098,-56.187738,2,2020
170430.0,106.0,1.0,3.0,-34.881962,-56.14260600000001,2,2020
209760.0,179.0,1.0,3.0,-34.8853544,-56.129560399999995,2,2020
59432.0,76.0,1.0,3.0,-34.826434000000006,-56.104314,10,2019
15732.0,76.0,1.0,3.0,-34.826434000000006,-56.104314,10,2019
121486.0,88.0,1.0,2.0,-34.886776,-56.185112,10,2019
227240.0,77.0,2.0,2.0,-34.903319,-56.129535,10,2019
192280.0,67.0,1.0,2.0,-34.906811,-56.154739,5,2019
18179.2,40.0,1.0,1.0,-34.902491999999995,-56.162473999999996,5,2019
109250.0,45.0,1.0,1.0,-34.908278,-56.147643,5,2019
249090.0,101.0,1.0,3.0,-34.905852,-56.151437,5,2019
104880.0,79.0,1.0,2.0,-34.866606,-56.180622,5,2019
100510.0,81.0,1.0,2.0,-34.867201,-56.180775,5,2019
130226.0,56.0,1.0,2.0,-34.882193,-56.152953000000004,5,2019
114083.22,66.0,1.0,2.0,-34.886961,-56.163293,5,2019
113620.0,46.0,1.0,1.0,-34.886928999999995,-56.163274,5,2019
104006.0,45.0,1.0,1.0,-34.882193,-56.152953000000004,5,2019
117990.0,48.0,1.0,1.0,-34.886897,-56.163332999999994,5,2019
166060.0,46.0,1.0,1.0,-34.924329,-56.16035,5,2019
132848.0,146.0,2.0,3.0,-34.815812,-55.959720999999995,5,2019
157320.0,184.0,2.0,4.0,-34.869197,-56.16380899999999,5,2019
305900.0,151.0,2.0,3.0,-34.916622,-56.151853,5,2019
231610.0,56.0,2.0,2.0,-34.900451000000004,-56.151531000000006,5,2019
198398.0,105.0,3.0,2.0,-34.906304,-56.190785,5,2019
126730.0,80.0,1.0,3.0,-34.869859000000005,-56.164105000000006,11,2019
60306.0,118.0,1.0,4.0,-34.764576,-56.139309999999995,11,2019
109250.0,108.0,1.0,4.0,-34.884408,-56.184993999999996,11,2019
144210.0,71.0,1.0,2.0,-34.894942,-56.113315,11,2019
56810.0,65.0,1.0,2.0,-34.879453000000005,-56.176701,11,2019
150939.8,64.0,1.0,2.0,-34.897226,-56.122429000000004,11,2019
117378.2,44.0,1.0,1.0,-34.897249,-56.122264,11,2019
94392.0,46.0,1.0,1.0,-34.907657,-56.184425,11,2019
150328.0,50.0,1.0,2.0,-34.895717,-56.110139000000004,11,2019
104880.0,73.0,1.0,2.0,-34.911995000000005,-56.190262,11,2019
117990.0,42.0,1.0,1.0,-34.907877,-56.141639,11,2019
218500.0,74.0,1.0,2.0,-34.911941999999996,-56.150822999999995,11,2019
69046.0,75.0,1.0,2.0,-34.864154,-56.221111,11,2019
94392.0,38.0,1.0,1.0,-34.894925,-56.17416899999999,11,2019
128478.0,70.0,1.0,2.0,-34.898709000000004,-56.150737,11,2019
30590.0,60.0,1.0,2.0,-34.814473,-56.153698,11,2019
69920.0,107.0,2.0,2.0,-34.85194,-56.189774,11,2019
240350.0,91.0,2.0,3.0,-33.895740999999994,-54.982939,11,2019
297160.0,166.0,2.0,3.0,-34.912962,-56.162453,11,2019
218500.0,135.0,2.0,2.0,-34.886776,-56.162839,11,2019
56810.0,50.0,1.0,2.0,-34.897477,-56.129408,10,2019
50692.0,76.0,1.0,3.0,-34.87896,-56.192622,10,2019
118864.0,62.0,1.0,2.0,-34.874049,-56.202064,10,2019
124982.0,50.0,1.0,2.0,-34.874102,-56.202085,10,2019
157320.0,106.0,1.0,2.0,-34.913162,-56.177201000000004,10,2019
48070.0,68.0,1.0,3.0,-34.796144,-56.232578000000004,10,2019
270940.0,76.0,1.0,1.0,-34.923536999999996,-56.161637,4,2019
86526.0,35.0,1.0,1.0,-34.909149,-56.197393999999996,4,2019
34960.0,83.0,1.0,1.0,-34.848769,-56.168881000000006,4,2019
113620.0,51.0,1.0,1.0,-34.920106,-54.970543000000006,4,2019
104006.0,93.0,1.0,2.0,-34.873327,-56.203796,4,2019
148580.0,85.0,1.0,2.0,-34.727121999999994,-56.217121,4,2019
478952.0,140.0,1.0,2.0,-34.902281,-56.13501899999999,4,2019
240350.0,95.0,3.0,2.0,-34.856249,-56.029157999999995,4,2019
109250.0,62.0,1.0,2.0,-34.910006,-56.195508,4,2019
208012.0,75.0,2.0,2.0,-34.896808,-56.099367,4,2019
154698.0,81.0,2.0,2.0,-34.897618,-56.150822999999995,4,2019
130226.0,65.0,1.0,2.0,-34.888325,-56.153290000000005,4,2019
154698.0,81.0,1.0,2.0,-34.897546999999996,-56.150866,4,2019
154698.0,81.0,2.0,2.0,-34.897442,-56.150994,4,2019
154698.0,81.0,2.0,2.0,-34.897653000000005,-56.150866,4,2019
154698.0,81.0,2.0,2.0,-34.897477,-56.150866,4,2019
144821.8,76.0,2.0,2.0,-34.897618,-56.150907999999994,4,2019
288420.0,127.0,2.0,3.0,-34.918803999999994,-56.15404100000001,4,2019
345230.0,160.0,2.0,3.0,-34.919422999999995,-56.149122999999996,4,2019
292790.0,128.0,3.0,3.0,-34.909971,-56.14593000000001,4,2019
295412.0,125.0,2.0,3.0,-34.910239000000004,-56.145431,4,2019
323380.0,163.0,3.0,3.0,-34.904446,-56.162581,4,2019
201020.0,84.0,2.0,3.0,-34.915197,-56.156209,4,2019
445740.0,122.0,2.0,3.0,-34.867482,-56.031175,4,2019
69920.0,74.0,1.0,3.0,-34.8866,-56.14713199999999,4,2019
19228.0,63.0,1.0,2.0,-34.895963,-56.110761,4,2019
348726.0,220.0,1.0,3.0,-34.863116,-56.032677,3,2019
32338.0,150.0,1.0,2.0,-34.812077,-56.207685,3,2019
279680.0,139.0,2.0,4.0,-34.916086,-56.156563,3,2019
288420.0,200.0,3.0,2.0,-34.874876,-56.044865,3,2019
170430.0,193.0,2.0,4.0,-34.878996,-56.173997,3,2019
150328.0,53.0,1.0,2.0,-34.904786,-56.177601,3,2019
201020.0,40.0,1.0,1.0,-34.896562,-56.113615,3,2019
155572.0,55.0,1.0,1.0,-34.906362,-56.139396,3,2019
131100.0,50.0,1.0,1.0,-34.910675,-56.145286999999996,3,2019
218500.0,79.0,2.0,2.0,-34.915116,-56.162779,3,2019
116242.0,100.0,1.0,1.0,-34.912681,-56.150994,3,2019
142807.23,55.0,1.0,2.0,-34.885403000000004,-56.16565,3,2019
169491.324,77.0,1.0,2.0,-34.885209,-56.16576800000001,3,2019
126730.0,61.0,1.0,1.0,-34.908315,-55.010886,3,2019
257830.0,100.0,2.0,2.0,-34.926551,-54.960859,3,2019
257830.0,80.0,2.0,2.0,-34.926526,-54.961313,3,2019
144210.0,45.0,1.0,1.0,-34.912751,-56.148977,3,2019
131100.0,114.0,2.0,4.0,-34.896991,-54.993977,9,2019
524400.0,138.0,2.0,3.0,-34.932154,-54.956231,9,2019
