Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode,Price/meter,Coeficient,Average
957030.0,156.0771072,4,4,38.91468021,-77.04083204,11,2003,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,6131.776896490301,0.632187592958736,9699.299645841882
1083760.0,132.29392896000002,3,3,38.91501810000001,-77.03984429,11,2010,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,8192.061483998123,0.8446034026291871,9699.299645841882
517626.5,132.29392896000002,3,3,38.91501863,-77.04013809,7,2001,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,3912.7003337886194,0.4034002945218839,9699.299645841882
332120.0,124.86168576,3,3,38.9149604,-77.03581097,10,1995,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,2659.903219938715,0.27423662708255675,9699.299645841882
1131830.0,151.06034304000005,4,5,38.91537523,-77.03581002,11,2012,United States,Dupont Circle,T Street Northwest,Not found,District of Columbia,20060,7492.568712758032,0.772485538785279,9699.299645841882
651130.0,77.85274752000002,2,2,38.91608432,-77.03822735,6,2009,United States,Dupont Circle,17th Street Northwest,Not found,District of Columbia,20009,8363.609772830787,0.8622900702337092,9699.299645841882
786600.0,166.76095680000003,3,3,38.9142865,-77.03721308,5,2005,United States,Dupont Circle,S Street Northwest,Not found,District of Columbia,20009,4716.931439433909,0.48631670447010794,9699.299645841882
762128.0,157.935168,2,2,38.91426911,-77.03751021,3,2005,United States,Dupont Circle,S Street Northwest,Not found,District of Columbia,20009,4825.575010627145,0.4975178813756809,9699.299645841882
1118720.0,92.90304,2,3,38.91349607,-77.04637240000002,8,2014,United States,Dupont Circle,21st Street Northwest,Not found,District of Columbia,20009,12041.8018613815,1.2415125113228,9699.299645841882
672980.0,89.18691840000002,4,4,38.91291232,-77.04640649999997,12,2002,United States,Dupont Circle,21st Street Northwest,Not found,District of Columbia,20009,7545.725450247195,0.7779660105131476,9699.299645841882
655500.0,248.79434112,4,5,38.91279384,-77.04599075,11,1997,United States,Dupont Circle,R Street Northwest,Not found,District of Columbia,20009,2634.7062278391422,0.27163881146497504,9699.299645841882
751640.0,132.29392896000002,1,3,38.91501663,-77.04019759,12,2005,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,5681.591029224504,0.5857733276299201,9699.299645841882
777860.0,132.29392896000002,2,3,38.91502138,-77.04025524,2,2012,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,5879.786065127685,0.606207280919336,9699.299645841882
247147.098,132.29392896000002,1,3,38.91501675,-77.04037343,12,1994,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,1868.1665889197882,0.19260840031070456,9699.299645841882
