Price,Number of Bedrooms,WC,Latitude,Longitude,Agency,Property Type,Transaction Type,Status,Zone,Parish,County,Region,Number of Rooms,Typology,Floor area sq meter,Land area sq meter,Energy certification,vista,renovado,renovação,parqueamento,garagem,obras,remodelado,remodelação,com elevador,box,arrenda,arrendamento,inquilin,financiamento,logradouro,R/C
400000,0.0,0.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Prédio,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,337,184.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,1.0,1.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Apartamento,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,2.0,1,46,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,0.0,1.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Loja,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,27,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,0.0,0.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Prédio,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,3.0,0,209,112.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67000,0.0,2.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Loja,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,53,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Terreno,Venda,N/D,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,205,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,1.0,1.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Apartamento,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,2.0,1,75,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Restaurante,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,162,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Lote,Venda,N/D,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,309,309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Lote,Venda,N/D,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,306,306.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,0.0,0.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Prédio,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,337,184.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,1.0,1.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Apartamento,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,2.0,1,46,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,0.0,1.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Loja,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,27,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,0.0,0.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Prédio,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,3.0,0,209,112.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67000,0.0,2.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Loja,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,53,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Restaurante,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,162,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Lote,Venda,N/D,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,309,309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Lote,Venda,N/D,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,306,306.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319000,3.0,3.0,38.8022506,-9.1913586,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Apartamento,Venda,Novo,Jardim Amoreira,Ramada e Caneças,Odivelas,Lisboa,4.0,3,107,0.0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102000,1.0,1.0,38.7918910756,-9.1829395294,ERA Odivelas Centro - UNITED 4 REAL - Soc. Mediação Imobiliária Lda - AMI 8980                ,Apartamento,Venda,Usado,Odivelas,Odivelas,Odivelas,Lisboa,2.0,1,36,0.0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
260000,0.0,2.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Restaurante,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,47,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Lote,Venda,N/D,Vale Grande,Pontinha e Famões,Odivelas,Lisboa,0.0,0,0,236.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Lote,Venda,N/D,Casal da Silveira,Pontinha e Famões,Odivelas,Lisboa,0.0,0,0,282.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,0.0,0.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Prédio,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,337,184.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
