Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
0,66375.0,62.0,2.0,1.0,3.46,-76.53399999999999,10,2019,Colombia,Comuna 2,Calle 15A Norte,Not found,Valle del Cauca,760045.0
1,122625.0,100.0,2.0,1.0,3.451,-76.55199999999999,10,2019,Colombia,Comuna 2,Calle 11 Oeste,Not found,Valle del Cauca,760101.0
3,58500.0,78.0,1.0,1.0,10.449000000000002,-75.517,10,2019,Colombia,Not found,Calle 70,Not found,Bolívar,130002.0
4,29250.0,72.0,1.0,2.0,4.297,-74.806,10,2019,Colombia,Not found,Carrera 11,Not found,Not found,252432.0
5,31500.0,68.0,1.0,2.0,3.4810000000000003,-76.528,10,2019,Colombia,Comuna 2,Avenida 6D Norte,Not found,Valle del Cauca,760050.0
11,135000.0,150.0,2.0,3.0,3.442,-76.545,10,2019,Colombia,Comuna 3,Carrera 22 Oeste,Not found,Valle del Cauca,760101.0
13,258750.0,225.0,4.0,3.0,4.882,-74.036,10,2019,Colombia,Bojacá,45A,Not found,Not found,250008.0
15,70875.0,150.0,3.0,3.0,3.28,-76.527,10,2019,Colombia,Not found,Not found,Not found,Valle del Cauca,764001.0
16,90000.0,180.0,4.0,3.0,3.258,-76.554,10,2019,Colombia,Celeste,Calle 1 Oeste,Not found,Valle del Cauca,764001.0
17,29250.0,58.0,1.0,3.0,5.06,-75.506,10,2019,Colombia,Comuna La Fuente,Calle 47,Not found,Caldas,170006.0
18,139500.0,180.0,3.0,3.0,3.881,-77.02199999999999,10,2019,Colombia,Not found,Calle 4,Not found,Valle del Cauca,764508.0
19,81000.0,85.0,2.0,3.0,3.477,-76.505,10,2019,Colombia,Comuna 4,Calle 52 Norte,Not found,Valle del Cauca,750004.0
20,69750.0,83.0,3.0,3.0,3.3680000000000003,-76.51899999999999,10,2019,Colombia,Comuna 17,Calle 45,Not found,Valle del Cauca,760026.0
22,65925.0,96.0,3.0,3.0,3.349,-76.51899999999999,10,2019,Colombia,Not found,Calle 47,Not found,Valle del Cauca,720001.0
24,64125.0,96.0,3.0,3.0,3.366,-76.521,10,2019,Colombia,Comuna 17,Carrera 100,Not found,Valle del Cauca,760026.0
25,37125.0,77.0,3.0,3.0,3.373,-76.548,10,2019,Colombia,Comuna 18,Calle 3C,Not found,Valle del Cauca,760032.0
