Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
1646,170430.0,62,3,5,-12.02806772,-77.03387226,3,2020,Perú,Rímac,Avenida Felipe Arancibia,Not found,Lima,1.0
1745,87400.0,91,2,3,-12.0271107,-77.0398029,2,2020,Perú,Rímac,Avenida Villacampa,Not found,Lima,1.0
1673,48944.0,56,1,2,-12.0290139,-77.0374185,2,2020,Perú,Rímac,Calle Mariano Centeno,Not found,Lima,1.0
872,131100.0,220,3,5,-12.0282288,-77.0372402,2,2020,Perú,Rímac,Jirón Antares,Not found,Lima,1.0
312,74290.0,100,2,2,-12.0371869,-76.9655749,3,2020,Perú,Santa Anita,Avenida Imperial,Not found,Lima,3.0
1247,36708.0,41,1,2,-12.0230901,-76.9735857,1,2020,Perú,Not found,Calle 5,Not found,Lima,3.0
2217,34960.0,47,1,2,-12.022401,-76.973753,1,2020,Perú,Not found,Calle 5,Not found,Lima,3.0
2076,301530.0,137,2,3,-12.145735,-77.0228619,1,2020,Perú,Barranco,Avenida Prolongación General José de San Martín,Not found,Lima,4.0
2247,48070.0,110,2,3,-12.1472852,-77.0202561,1,2020,Perú,Barranco,Calle Felipe Pardo,Not found,Lima,4.0
1558,50692.0,74,1,2,-11.9299805,-77.053541,3,2020,Perú,Not found,Avenida Micaela Bastidas,Not found,Lima,7.0
153,25346.0,118,1,1,-11.9550235,-77.0525587,2,2020,Perú,La Libertad,Avenida Túpac Amaru,Not found,Lima,7.0
1567,50692.0,110,3,3,-11.9314629,-77.0445634,3,2020,Perú,La Libertad,Avenida Túpac Amaru,Not found,Lima,7.0
1718,68172.0,83,2,0,-11.9450422,-77.052503,2,2020,Perú,La Libertad,Bosque de Huayllay,Not found,Lima,7.0
1726,68172.0,88,2,2,-11.9450422,-77.052503,2,2020,Perú,La Libertad,Bosque de Huayllay,Not found,Lima,7.0
1732,65550.0,70,2,2,-11.9450422,-77.052503,2,2020,Perú,La Libertad,Bosque de Huayllay,Not found,Lima,7.0
1734,68172.0,74,2,2,-11.9450422,-77.052503,2,2020,Perú,La Libertad,Bosque de Huayllay,Not found,Lima,7.0
2056,36708.0,62,1,2,-11.9360288,-77.0516233,1,2020,Perú,Not found,Husares de Junin,Not found,Lima,7.0
1447,117990.0,175,2,3,-11.9870971,-76.7978458,2,2020,Perú,Not found,Calle B,Not found,Lima,8.0
1141,104880.0,174,3,3,-11.982076,-76.7962682,2,2020,Perú,Chaclacayo,Carretera Central,Not found,Lima,8.0
1623,62928.0,68,1,3,-12.03686958,-77.00198792,3,2020,Perú,El Agustino,Avenida Ferrocarril,Not found,Lima,10.0
1603,69483.0,70,2,5,-12.02436604,-76.97782124,3,2020,Perú,Not found,Avenida Malecon Miguel Checa Eguiguren,Not found,Lima,10.0
62,174800.0,90,3,4,-12.04529442,-76.98538447,1,2020,Perú,Not found,Calle Uruguay,Not found,Lima,10.0
1152,78660.0,82,2,3,-12.0442974,-76.98028926,2,2020,Perú,Not found,Enrique Quintana,Not found,Lima,10.0
206,104880.0,73,2,3,-12.0690905,-77.0485753,3,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
237,111872.0,71,5,0,-12.0679761,-77.0476698,3,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
361,113620.0,72,2,3,-12.0693916,-77.04963582,2,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
367,117990.0,69,2,3,-12.0655257,-77.045466,2,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
674,73416.0,57,1,2,-12.067971,-77.0476763,2,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
732,80637.2,65,2,2,-12.06840614,-77.04828222,1,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
735,104290.2,108,4,2,-12.0669373,-77.047381,1,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
756,100340.8,90,3,3,-12.0669373,-77.047381,1,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
759,98474.6,85,2,3,-12.067315,-77.04665144,1,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
771,91118.3,75,2,3,-12.06832221,-77.04802473,1,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
974,68333.3,57,2,2,-12.0660322,-77.0457859,2,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
999,114619.4,91,2,3,-12.0660322,-77.0457859,2,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
1891,69353.2,57,2,2,-12.0669373,-77.047381,1,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
1903,103443.9,86,2,3,-12.0669373,-77.047381,1,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
1917,110170.9,100,3,2,-12.0669373,-77.047381,1,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
2152,101384.0,98,2,2,-12.06711611,-77.04693668,2,2020,Perú,Breña,Avenida Brasil,Not found,Lima,11.0
277,69920.0,68,1,1,-12.0724673,-77.0510913,2,2020,Perú,Jesús María,Avenida Brasil,Not found,Lima,11.0
419,129352.0,120,2,2,-12.07581165,-77.05424369,1,2020,Perú,Jesús María,Avenida Brasil,Not found,Lima,11.0
427,209760.0,234,2,3,-12.0807242,-77.05084292,1,2020,Perú,Jesús María,Avenida Cayetano Heredia,Not found,Lima,11.0
590,99636.0,69,2,3,-12.0688916,-77.0532266,3,2020,Perú,Pueblo Libre,Avenida Colombia,Not found,Lima,11.0
621,152076.0,116,3,4,-12.0693512,-77.0529828,3,2020,Perú,Pueblo Libre,Avenida Colombia,Not found,Lima,11.0
800,131100.0,117,3,3,-12.0688916,-77.0532266,2,2020,Perú,Pueblo Libre,Avenida Colombia,Not found,Lima,11.0
1476,107065.0,72,2,3,-12.0699121,-77.052334,3,2020,Perú,Pueblo Libre,Avenida Colombia,Not found,Lima,11.0
2136,58558.0,44,2,1,-12.0688916,-77.0532266,3,2020,Perú,Pueblo Libre,Avenida Colombia,Not found,Lima,11.0
487,144210.0,95,3,3,-12.07054209,-77.05529016,1,2020,Perú,Pueblo Libre,Avenida Del Rio,Not found,Lima,11.0
626,117990.0,89,2,3,-12.0711199,-77.0551007,3,2020,Perú,Pueblo Libre,Avenida Del Rio,Not found,Lima,11.0
764,170430.0,126,3,3,-12.0811239,-77.0571441,1,2020,Perú,Jesús María,Avenida General Garzón,Not found,Lima,11.0
2232,104880.0,80,2,3,-12.072693,-77.0430385,1,2020,Perú,Jesús María,Avenida General Santa Cruz,Not found,Lima,11.0
871,87400.0,200,2,0,-12.0758578,-77.0529722,2,2020,Perú,Jesús María,Avenida Húsares de Junín,Not found,Lima,11.0
1074,201020.0,62,2,3,-12.0793242,-77.0471453,2,2020,Perú,Jesús María,Avenida Húsares de Junín,Not found,Lima,11.0
1285,104880.0,71,1,2,-12.0801291,-77.0536442,2,2020,Perú,Jesús María,Avenida Horacio Urteaga,Not found,Lima,11.0
1803,117116.0,87,2,3,-12.0765361,-77.0507333,2,2020,Perú,Jesús María,Avenida Horacio Urteaga,Not found,Lima,11.0
2029,15732.0,107,2,2,-12.0765094,-77.0507014,1,2020,Perú,Jesús María,Avenida Horacio Urteaga,Not found,Lima,11.0
1362,85652.0,98,2,2,-12.0688003,-77.0496556,2,2020,Perú,Breña,Jirón Castrovirreyna,Not found,Lima,11.0
1225,138966.0,91,2,3,-12.0807316,-77.0501954,2,2020,Perú,Jesús María,Jirón Huáscar,Not found,Lima,11.0
1308,122360.0,52,2,3,-12.0686924,-77.0514179,2,2020,Perú,Breña,Jirón Pedro Ruiz Gallo,Not found,Lima,11.0
1960,78660.0,75,2,3,-12.066706,-77.0539168,2,2020,Perú,Breña,Jirón Pedro Ruiz Gallo,Not found,Lima,11.0
734,79053.1,61,2,2,-12.06844811,-77.04785307,1,2020,Perú,Breña,Jirón Talara,Not found,Lima,11.0
768,101729.6,79,2,3,-12.06844811,-77.04768141,1,2020,Perú,Breña,Jirón Talara,Not found,Lima,11.0
1860,147706.0,114,2,4,-12.0755813,-76.9506077,1,2020,Perú,Not found,Ampato,Not found,Lima,12.0
1861,144210.0,107,2,4,-12.0755813,-76.9506077,1,2020,Perú,Not found,Ampato,Not found,Lima,12.0
68,130226.0,111,3,4,-12.1026154,-76.9482244,1,2020,Perú,Not found,Avenida Alameda del Corregidor,Not found,Lima,12.0
1010,117990.0,108,3,4,-12.1050578,-76.9475478,2,2020,Perú,Not found,Avenida Alameda del Corregidor,Not found,Lima,12.0
1427,126730.0,107,3,3,-12.106423,-76.9464411,1,2020,Perú,Not found,Avenida Alameda del Corregidor,Not found,Lima,12.0
1207,284050.0,206,3,3,-12.083014,-76.960258,2,2020,Perú,Monterrico,Avenida Cerros de Camacho,Not found,Lima,12.0
2074,393300.0,265,5,3,-12.0819435,-76.9600303,1,2020,Perú,Monterrico,Avenida Cerros de Camacho,Not found,Lima,12.0
1256,183540.0,103,2,3,-12.0930052,-76.9479117,1,2020,Perú,Not found,Avenida La Arboleda,Not found,Lima,12.0
1759,135470.0,93,3,3,-12.1040163,-76.9370208,2,2020,Perú,Not found,Avenida Las Lomas de la Molina,Not found,Lima,12.0
1941,201020.0,200,4,4,-12.0910772,-76.9500003,1,2020,Perú,Not found,Avenida Raúl Ferrero,Not found,Lima,12.0
130,104880.0,82,2,3,-12.1051788,-76.9437026,3,2020,Perú,Not found,Calle Andalucía,Not found,Lima,12.0
1532,301530.0,160,4,5,-12.0996995,-76.948738,2,2020,Perú,Not found,Calle Las Norias,Not found,Lima,12.0
256,147706.0,114,2,3,-12.0755148,-76.9502569,3,2020,Perú,Not found,Calle Nevado Huascaran,Not found,Lima,12.0
271,144210.0,107,3,4,-12.0755148,-76.9502569,3,2020,Perú,Not found,Calle Nevado Huascaran,Not found,Lima,12.0
334,109250.0,115,3,3,-12.1150258,-76.9393631,3,2020,Perú,Not found,Calle Pegaso,Not found,Lima,12.0
509,59432.0,57,1,2,-12.115988,-76.940652,2,2020,Perú,Not found,Calle Rio Cauca,Not found,Lima,12.0
1963,144210.0,101,3,3,-12.11502686,-76.94035116,2,2020,Perú,Not found,Calle Rio Danubio,Not found,Lima,12.0
1078,96140.0,97,2,3,-12.11584181,-76.94002493,2,2020,Perú,Not found,Calle Rio Volga,Not found,Lima,12.0
1059,209760.0,120,3,4,-12.0945322,-76.9466085,2,2020,Perú,Not found,Jirón Los Castaños,Not found,Lima,12.0
1151,113620.0,110,3,3,-12.109891,-76.9444016,2,2020,Perú,Not found,Jirón Zamora,Not found,Lima,12.0
583,358340.0,210,5,4,-12.1015402,-76.9508348,2,2020,Perú,Not found,La Ladera,Not found,Lima,12.0
550,109250.0,100,3,3,-12.0935321,-76.944925,2,2020,Perú,Not found,Prolongación Avenida La Molina,Not found,Lima,12.0
798,144210.0,120,2,3,-12.10869751,-76.95289461,2,2020,Perú,Not found,Not found,Not found,Lima,12.0
1751,119738.0,75,2,3,-12.0778084,-77.0352322,2,2020,Perú,Lince,Avenida Arequipa,Not found,Lima,14.0
1227,85281.651,76,2,3,-12.07987306,-77.03318227,2,2020,Perú,Lince,Avenida Ignacio Merino,Not found,Lima,14.0
653,60306.0,32,1,1,-12.079348,-77.0342024,3,2020,Perú,Lince,Avenida Petit Thouars,Not found,Lima,14.0
1193,75396.216,70,2,2,-12.07882393,-77.03331102,2,2020,Perú,Lince,Calle Manuel Segura,Not found,Lima,14.0
1287,53876.543,52,1,1,-12.07907572,-77.03309644,2,2020,Perú,Lince,Calle Manuel Segura,Not found,Lima,14.0
1189,49700.595,50,1,1,-12.07853017,-77.03189481,2,2020,Perú,Santa Beatriz,Jirón Carlos Arrieta,Not found,Lima,14.0
1217,83545.651,98,2,3,-12.07863509,-77.03187336,2,2020,Perú,Santa Beatriz,Jirón Carlos Arrieta,Not found,Lima,14.0
1138,65550.0,70,1,2,-12.0785173,-77.0308649,2,2020,Perú,Santa Beatriz,Jirón Comandante Torres Paz,Not found,Lima,14.0
1188,49700.595,50,1,1,-12.07844624,-77.03260292,2,2020,Perú,Lince,Jirón Enrique Barrón,Not found,Lima,14.0
1782,54188.0,50,1,2,-12.077557,-77.0252181,2,2020,Perú,Not found,Los Rubies,Not found,Lima,14.0
1209,106530.725,120,2,3,-12.07874,-77.0307361,2,2020,Perú,Santa Beatriz,Manuel Castañeda,Not found,Lima,14.0
1341,100510.0,80,2,3,-12.0868638,-77.06934589,2,2020,Perú,Magdalena,Avenida Antonio de Sucre,Not found,Lima,17.0
1723,192280.0,105,2,2,-12.0904161,-77.0700298,2,2020,Perú,Magdalena,Avenida Antonio de Sucre,Not found,Lima,17.0
2114,104880.0,200,1,3,-12.09454155,-77.07073793,3,2020,Perú,Magdalena,Avenida Antonio de Sucre,Not found,Lima,17.0
1482,205390.0,159,3,4,-12.0840722,-77.0676206,3,2020,Perú,Pueblo Libre,Avenida Antonio de Sucre,Not found,Lima,17.0
105,122360.0,87,2,4,-12.09202653,-77.07793018,2,2020,Perú,Not found,Avenida Arica,Not found,Lima,17.0
152,131100.0,70,2,0,-12.0864554,-77.063308,2,2020,Perú,Magdalena,Avenida Brasil,Not found,Lima,17.0
525,77786.0,83,2,2,-12.0927175,-77.0686124,2,2020,Perú,Magdalena,Avenida Brasil,Not found,Lima,17.0
845,94392.0,70,2,3,-12.0949682,-77.0693424,2,2020,Perú,Magdalena,Avenida Brasil,Not found,Lima,17.0
1685,94392.0,70,2,3,-12.0961008,-77.0698783,2,2020,Perú,Magdalena,Avenida Brasil,Not found,Lima,17.0
