Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
0,169556.0,84.0,2.0,2.0,-34.903143,-56.159899,2,2020,Uruguay,Pocitos,Avenida General Rivera,Not found,Montevideo,11601.0
1,201020.0,65.0,2.0,3.0,-34.917752,-56.164649,2,2020,Uruguay,Punta Carretas,Itapúa,Not found,Montevideo,11303.0
2,122360.0,65.0,1.0,2.0,-34.909098,-56.187738,2,2020,Uruguay,Centro,Doctor Aquiles R. Lanza,Not found,Montevideo,11114.0
3,170430.0,106.0,1.0,3.0,-34.881962,-56.142606,2,2020,Uruguay,Unión,Felipe Sanguinetti,Not found,Montevideo,11600.0
4,209760.0,179.0,1.0,3.0,-34.8853544,-56.1295604,2,2020,Uruguay,Unión,Lambaré,Not found,Montevideo,11600.0
5,59432.0,76.0,1.0,3.0,-34.826434,-56.104314,10,2019,Uruguay,Punta Rieles,Camino Maldonado,Not found,Montevideo,12200.0
6,15732.0,76.0,1.0,3.0,-34.826434,-56.104314,10,2019,Uruguay,Punta Rieles,Camino Maldonado,Not found,Montevideo,12200.0
7,121486.0,88.0,1.0,2.0,-34.886776,-56.185112,10,2019,Uruguay,Villa Muñoz,Avenida General Flores,Not found,Montevideo,11800.0
8,227240.0,77.0,2.0,2.0,-34.903319,-56.129535,10,2019,Uruguay,Buceo,Miguel Grau,Not found,Montevideo,11600.0
9,192280.0,67.0,1.0,2.0,-34.906811,-56.154739,5,2019,Uruguay,Pocitos,Avenida Doctor Francisco Soca,Not found,Montevideo,11300.0
10,18179.2,40.0,1.0,1.0,-34.902492,-56.162474,5,2019,Uruguay,Tres Cruces,Pedro Campbell,Not found,Montevideo,11601.0
11,109250.0,45.0,1.0,1.0,-34.908278,-56.147643,5,2019,Uruguay,Pocitos,Miguel Barreiro,Not found,Montevideo,11300.0
12,249090.0,101.0,1.0,3.0,-34.905852,-56.151437,5,2019,Uruguay,Pocitos,Presidente General Oscar Diego Gestido,Not found,Montevideo,11300.0
13,104880.0,79.0,1.0,2.0,-34.866606,-56.180622,5,2019,Uruguay,Brazo Oriental,Avenida General San Martín,Not found,Montevideo,11700.0
14,100510.0,81.0,1.0,2.0,-34.867201,-56.180775,5,2019,Uruguay,Brazo Oriental,Doctor José Pugnalini,Not found,Montevideo,11700.0
15,130226.0,56.0,1.0,2.0,-34.882193,-56.152953,5,2019,Uruguay,La Blanqueada,Avenida 8 de Octubre,Not found,Montevideo,11820.0
16,114083.22,66.0,1.0,2.0,-34.886961,-56.163293,5,2019,Uruguay,La Comercial,Avenida General José Garibaldi,Not found,Montevideo,11820.0
17,113620.0,46.0,1.0,1.0,-34.886929,-56.163274,5,2019,Uruguay,La Comercial,Avenida General José Garibaldi,Not found,Montevideo,11820.0
18,104006.0,45.0,1.0,1.0,-34.882193,-56.152953,5,2019,Uruguay,La Blanqueada,Avenida 8 de Octubre,Not found,Montevideo,11820.0
19,117990.0,48.0,1.0,1.0,-34.886897,-56.163333,5,2019,Uruguay,La Comercial,Avenida General José Garibaldi,Not found,Montevideo,11820.0
20,166060.0,46.0,1.0,1.0,-34.924329,-56.16035,5,2019,Uruguay,Punta Carretas,Ramón Fernández,Not found,Montevideo,11303.0
21,132848.0,146.0,2.0,3.0,-34.815812,-55.959721,5,2019,Uruguay,Solymar,Los Monteadores,Not found,Canelones,15005.0
22,157320.0,184.0,2.0,4.0,-34.869197,-56.163809,5,2019,Uruguay,Bolívar,Sancho Panza,Not found,Montevideo,12000.0
23,305900.0,151.0,2.0,3.0,-34.916622,-56.151853,5,2019,Uruguay,Punta Carretas,Jaime Zudáñez,Not found,Montevideo,11311.0
24,231610.0,56.0,2.0,2.0,-34.900451,-56.151531,5,2019,Uruguay,Parque Batlle,Francisco Llambí,Not found,Montevideo,11300.0
25,198398.0,105.0,3.0,2.0,-34.906304,-56.190785,5,2019,Uruguay,Centro,Circunvalación Doctor Enrique Tarigo,Not found,Montevideo,11100.0
