TabNet Logs:

Saving copy of script...
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 20:36:39
epoch 0  | loss: 0.71271 | val_0_rmse: 0.27599 | val_1_rmse: 0.27473 |  0:00:03s
epoch 1  | loss: 0.08472 | val_0_rmse: 0.27933 | val_1_rmse: 0.27856 |  0:00:05s
epoch 2  | loss: 0.0719  | val_0_rmse: 0.25114 | val_1_rmse: 0.25405 |  0:00:07s
epoch 3  | loss: 0.06586 | val_0_rmse: 0.24848 | val_1_rmse: 0.2507  |  0:00:09s
epoch 4  | loss: 0.06232 | val_0_rmse: 0.25015 | val_1_rmse: 0.25141 |  0:00:10s
epoch 5  | loss: 0.06198 | val_0_rmse: 0.25178 | val_1_rmse: 0.25301 |  0:00:12s
epoch 6  | loss: 0.06212 | val_0_rmse: 0.2468  | val_1_rmse: 0.2496  |  0:00:14s
epoch 7  | loss: 0.06202 | val_0_rmse: 0.24562 | val_1_rmse: 0.24846 |  0:00:16s
epoch 8  | loss: 0.06278 | val_0_rmse: 0.25446 | val_1_rmse: 0.25642 |  0:00:18s
epoch 9  | loss: 0.06288 | val_0_rmse: 0.25111 | val_1_rmse: 0.2576  |  0:00:19s
epoch 10 | loss: 0.06243 | val_0_rmse: 0.25268 | val_1_rmse: 0.25584 |  0:00:21s
epoch 11 | loss: 0.06137 | val_0_rmse: 0.24606 | val_1_rmse: 0.2551  |  0:00:23s
epoch 12 | loss: 0.05997 | val_0_rmse: 0.24311 | val_1_rmse: 0.25085 |  0:00:25s
epoch 13 | loss: 0.05943 | val_0_rmse: 0.24363 | val_1_rmse: 0.25373 |  0:00:26s
epoch 14 | loss: 0.06018 | val_0_rmse: 0.24381 | val_1_rmse: 0.25096 |  0:00:28s
epoch 15 | loss: 0.05999 | val_0_rmse: 0.24225 | val_1_rmse: 0.25174 |  0:00:30s
epoch 16 | loss: 0.05934 | val_0_rmse: 0.24123 | val_1_rmse: 0.25158 |  0:00:32s
epoch 17 | loss: 0.05939 | val_0_rmse: 0.24155 | val_1_rmse: 0.25406 |  0:00:34s
epoch 18 | loss: 0.06064 | val_0_rmse: 0.242   | val_1_rmse: 0.25109 |  0:00:35s
epoch 19 | loss: 0.05893 | val_0_rmse: 0.24255 | val_1_rmse: 0.25429 |  0:00:37s
epoch 20 | loss: 0.0584  | val_0_rmse: 0.24049 | val_1_rmse: 0.25684 |  0:00:39s
epoch 21 | loss: 0.05882 | val_0_rmse: 0.23973 | val_1_rmse: 0.25817 |  0:00:41s
epoch 22 | loss: 0.05912 | val_0_rmse: 0.23916 | val_1_rmse: 0.24899 |  0:00:43s
epoch 23 | loss: 0.0586  | val_0_rmse: 0.24034 | val_1_rmse: 0.2537  |  0:00:44s
epoch 24 | loss: 0.05854 | val_0_rmse: 0.24092 | val_1_rmse: 0.25376 |  0:00:46s
epoch 25 | loss: 0.0588  | val_0_rmse: 0.25743 | val_1_rmse: 0.27296 |  0:00:48s
epoch 26 | loss: 0.0625  | val_0_rmse: 0.25728 | val_1_rmse: 0.27445 |  0:00:50s
epoch 27 | loss: 0.05954 | val_0_rmse: 0.23622 | val_1_rmse: 0.24474 |  0:00:51s
epoch 28 | loss: 0.05877 | val_0_rmse: 0.25824 | val_1_rmse: 0.26682 |  0:00:53s
epoch 29 | loss: 0.05913 | val_0_rmse: 0.24045 | val_1_rmse: 0.24777 |  0:00:55s
epoch 30 | loss: 0.05922 | val_0_rmse: 0.25689 | val_1_rmse: 0.27041 |  0:00:57s
epoch 31 | loss: 0.06034 | val_0_rmse: 0.2382  | val_1_rmse: 0.24746 |  0:00:59s
epoch 32 | loss: 0.05797 | val_0_rmse: 0.23647 | val_1_rmse: 0.25012 |  0:01:00s
epoch 33 | loss: 0.06062 | val_0_rmse: 0.25612 | val_1_rmse: 0.25985 |  0:01:02s
epoch 34 | loss: 0.05801 | val_0_rmse: 0.242   | val_1_rmse: 0.25127 |  0:01:04s
epoch 35 | loss: 0.05741 | val_0_rmse: 0.23396 | val_1_rmse: 0.24638 |  0:01:06s
epoch 36 | loss: 0.05652 | val_0_rmse: 0.23844 | val_1_rmse: 0.24866 |  0:01:07s
epoch 37 | loss: 0.05729 | val_0_rmse: 0.23865 | val_1_rmse: 0.25109 |  0:01:09s
epoch 38 | loss: 0.05639 | val_0_rmse: 0.23468 | val_1_rmse: 0.24577 |  0:01:11s
epoch 39 | loss: 0.05703 | val_0_rmse: 0.23881 | val_1_rmse: 0.25223 |  0:01:13s
epoch 40 | loss: 0.05704 | val_0_rmse: 0.24058 | val_1_rmse: 0.24658 |  0:01:15s
epoch 41 | loss: 0.05642 | val_0_rmse: 0.23348 | val_1_rmse: 0.24979 |  0:01:16s
epoch 42 | loss: 0.05619 | val_0_rmse: 0.23491 | val_1_rmse: 0.24889 |  0:01:18s
epoch 43 | loss: 0.05536 | val_0_rmse: 0.23416 | val_1_rmse: 0.24908 |  0:01:20s
epoch 44 | loss: 0.05621 | val_0_rmse: 0.23375 | val_1_rmse: 0.24333 |  0:01:22s
epoch 45 | loss: 0.0553  | val_0_rmse: 0.23158 | val_1_rmse: 0.24522 |  0:01:24s
epoch 46 | loss: 0.05465 | val_0_rmse: 0.2328  | val_1_rmse: 0.24908 |  0:01:25s
epoch 47 | loss: 0.05533 | val_0_rmse: 0.23345 | val_1_rmse: 0.24808 |  0:01:27s
epoch 48 | loss: 0.05558 | val_0_rmse: 0.23076 | val_1_rmse: 0.24359 |  0:01:29s
epoch 49 | loss: 0.05436 | val_0_rmse: 0.23032 | val_1_rmse: 0.24777 |  0:01:31s
epoch 50 | loss: 0.0545  | val_0_rmse: 0.23451 | val_1_rmse: 0.25166 |  0:01:32s
epoch 51 | loss: 0.05642 | val_0_rmse: 0.23583 | val_1_rmse: 0.24847 |  0:01:34s
epoch 52 | loss: 0.05706 | val_0_rmse: 0.23679 | val_1_rmse: 0.249   |  0:01:36s
epoch 53 | loss: 0.05723 | val_0_rmse: 0.23756 | val_1_rmse: 0.25347 |  0:01:38s
epoch 54 | loss: 0.05611 | val_0_rmse: 0.23299 | val_1_rmse: 0.24783 |  0:01:40s
