TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is Log & StandardScaler
------------------------------------------------------------------
Using the dataset: DataBase_Era.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 04:15:08
epoch 0  | loss: 1.84253 | val_0_rmse: 1.00014 | val_1_rmse: 1.0063  |  0:00:02s
epoch 1  | loss: 1.08213 | val_0_rmse: 0.99367 | val_1_rmse: 0.99955 |  0:00:03s
epoch 2  | loss: 0.99858 | val_0_rmse: 0.97584 | val_1_rmse: 0.9752  |  0:00:04s
epoch 3  | loss: 0.88438 | val_0_rmse: 0.91401 | val_1_rmse: 0.89819 |  0:00:04s
epoch 4  | loss: 0.76968 | val_0_rmse: 0.81361 | val_1_rmse: 0.81144 |  0:00:05s
epoch 5  | loss: 0.63857 | val_0_rmse: 0.79654 | val_1_rmse: 0.80395 |  0:00:05s
epoch 6  | loss: 0.58032 | val_0_rmse: 0.75754 | val_1_rmse: 0.76563 |  0:00:06s
epoch 7  | loss: 0.52457 | val_0_rmse: 0.73457 | val_1_rmse: 0.7421  |  0:00:07s
epoch 8  | loss: 0.49631 | val_0_rmse: 0.73779 | val_1_rmse: 0.74367 |  0:00:07s
epoch 9  | loss: 0.46557 | val_0_rmse: 0.69689 | val_1_rmse: 0.70578 |  0:00:08s
epoch 10 | loss: 0.43555 | val_0_rmse: 0.66984 | val_1_rmse: 0.67088 |  0:00:09s
epoch 11 | loss: 0.38733 | val_0_rmse: 0.64911 | val_1_rmse: 0.63888 |  0:00:09s
epoch 12 | loss: 0.36961 | val_0_rmse: 0.64037 | val_1_rmse: 0.62442 |  0:00:10s
epoch 13 | loss: 0.33611 | val_0_rmse: 0.63182 | val_1_rmse: 0.6085  |  0:00:10s
epoch 14 | loss: 0.32896 | val_0_rmse: 0.63221 | val_1_rmse: 0.61259 |  0:00:11s
epoch 15 | loss: 0.33415 | val_0_rmse: 0.63598 | val_1_rmse: 0.61296 |  0:00:12s
epoch 16 | loss: 0.31434 | val_0_rmse: 0.62885 | val_1_rmse: 0.60559 |  0:00:12s
epoch 17 | loss: 0.30186 | val_0_rmse: 0.61477 | val_1_rmse: 0.59777 |  0:00:13s
epoch 18 | loss: 0.29427 | val_0_rmse: 0.60482 | val_1_rmse: 0.59655 |  0:00:14s
epoch 19 | loss: 0.28243 | val_0_rmse: 0.585   | val_1_rmse: 0.57661 |  0:00:14s
epoch 20 | loss: 0.27347 | val_0_rmse: 0.58911 | val_1_rmse: 0.57779 |  0:00:15s
epoch 21 | loss: 0.26395 | val_0_rmse: 0.58687 | val_1_rmse: 0.57563 |  0:00:15s
epoch 22 | loss: 0.25657 | val_0_rmse: 0.57694 | val_1_rmse: 0.57321 |  0:00:16s
epoch 23 | loss: 0.24818 | val_0_rmse: 0.5553  | val_1_rmse: 0.55426 |  0:00:17s
epoch 24 | loss: 0.23708 | val_0_rmse: 0.56129 | val_1_rmse: 0.56075 |  0:00:17s
epoch 25 | loss: 0.23597 | val_0_rmse: 0.57483 | val_1_rmse: 0.56848 |  0:00:18s
epoch 26 | loss: 0.22935 | val_0_rmse: 0.54988 | val_1_rmse: 0.54377 |  0:00:19s
epoch 27 | loss: 0.2348  | val_0_rmse: 0.55242 | val_1_rmse: 0.54718 |  0:00:19s
epoch 28 | loss: 0.22423 | val_0_rmse: 0.55098 | val_1_rmse: 0.5517  |  0:00:20s
epoch 29 | loss: 0.21762 | val_0_rmse: 0.5287  | val_1_rmse: 0.52454 |  0:00:20s
epoch 30 | loss: 0.21293 | val_0_rmse: 0.55696 | val_1_rmse: 0.5559  |  0:00:21s
epoch 31 | loss: 0.21032 | val_0_rmse: 0.57392 | val_1_rmse: 0.56656 |  0:00:22s
epoch 32 | loss: 0.21572 | val_0_rmse: 0.53559 | val_1_rmse: 0.53075 |  0:00:22s
epoch 33 | loss: 0.20808 | val_0_rmse: 0.52458 | val_1_rmse: 0.5224  |  0:00:23s
epoch 34 | loss: 0.20908 | val_0_rmse: 0.52251 | val_1_rmse: 0.52793 |  0:00:24s
epoch 35 | loss: 0.19517 | val_0_rmse: 0.50915 | val_1_rmse: 0.51004 |  0:00:24s
epoch 36 | loss: 0.1876  | val_0_rmse: 0.50462 | val_1_rmse: 0.51257 |  0:00:25s
epoch 37 | loss: 0.18291 | val_0_rmse: 0.47728 | val_1_rmse: 0.48171 |  0:00:25s
epoch 38 | loss: 0.17907 | val_0_rmse: 0.47382 | val_1_rmse: 0.47217 |  0:00:26s
epoch 39 | loss: 0.18552 | val_0_rmse: 0.47251 | val_1_rmse: 0.47818 |  0:00:27s
epoch 40 | loss: 0.18517 | val_0_rmse: 0.47779 | val_1_rmse: 0.48    |  0:00:27s
epoch 41 | loss: 0.18138 | val_0_rmse: 0.45521 | val_1_rmse: 0.46153 |  0:00:28s
epoch 42 | loss: 0.17458 | val_0_rmse: 0.469   | val_1_rmse: 0.47699 |  0:00:29s
epoch 43 | loss: 0.17309 | val_0_rmse: 0.45139 | val_1_rmse: 0.45803 |  0:00:29s
epoch 44 | loss: 0.17096 | val_0_rmse: 0.49519 | val_1_rmse: 0.49499 |  0:00:30s
epoch 45 | loss: 0.17937 | val_0_rmse: 0.47992 | val_1_rmse: 0.48472 |  0:00:30s
epoch 46 | loss: 0.16812 | val_0_rmse: 0.46482 | val_1_rmse: 0.46591 |  0:00:31s
epoch 47 | loss: 0.17022 | val_0_rmse: 0.46609 | val_1_rmse: 0.4644  |  0:00:32s
epoch 48 | loss: 0.16437 | val_0_rmse: 0.44518 | val_1_rmse: 0.45622 |  0:00:32s
epoch 49 | loss: 0.1565  | val_0_rmse: 0.4319  | val_1_rmse: 0.43956 |  0:00:33s
epoch 50 | loss: 0.15754 | val_0_rmse: 0.43557 | val_1_rmse: 0.44376 |  0:00:34s
epoch 51 | loss: 0.15622 | val_0_rmse: 0.43183 | val_1_rmse: 0.44156 |  0:00:34s
epoch 52 | loss: 0.15568 | val_0_rmse: 0.44557 | val_1_rmse: 0.46194 |  0:00:35s
epoch 53 | loss: 0.15361 | val_0_rmse: 0.44406 | val_1_rmse: 0.45331 |  0:00:35s
epoch 54 | loss: 0.15273 | val_0_rmse: 0.43376 | val_1_rmse: 0.4448  |  0:00:36s
epoch 55 | loss: 0.1539  | val_0_rmse: 0.42743 | val_1_rmse: 0.44462 |  0:00:37s
epoch 56 | loss: 0.15199 | val_0_rmse: 0.42176 | val_1_rmse: 0.4343  |  0:00:37s
epoch 57 | loss: 0.16272 | val_0_rmse: 0.46532 | val_1_rmse: 0.4772  |  0:00:38s
epoch 58 | loss: 0.16877 | val_0_rmse: 0.42926 | val_1_rmse: 0.44211 |  0:00:38s
epoch 59 | loss: 0.1709  | val_0_rmse: 0.43872 | val_1_rmse: 0.45568 |  0:00:39s
epoch 60 | loss: 0.17148 | val_0_rmse: 0.42917 | val_1_rmse: 0.44267 |  0:00:40s
epoch 61 | loss: 0.17386 | val_0_rmse: 0.48872 | val_1_rmse: 0.498   |  0:00:40s
epoch 62 | loss: 0.1904  | val_0_rmse: 0.45619 | val_1_rmse: 0.46932 |  0:00:41s
epoch 63 | loss: 0.1816  | val_0_rmse: 0.42718 | val_1_rmse: 0.44791 |  0:00:42s
epoch 64 | loss: 0.1688  | val_0_rmse: 0.4112  | val_1_rmse: 0.43698 |  0:00:42s
epoch 65 | loss: 0.16506 | val_0_rmse: 0.42429 | val_1_rmse: 0.44209 |  0:00:43s
epoch 66 | loss: 0.16018 | val_0_rmse: 0.44882 | val_1_rmse: 0.45591 |  0:00:43s
epoch 67 | loss: 0.16995 | val_0_rmse: 0.43142 | val_1_rmse: 0.46506 |  0:00:44s
epoch 68 | loss: 0.19245 | val_0_rmse: 0.45949 | val_1_rmse: 0.47498 |  0:00:45s
epoch 69 | loss: 0.2208  | val_0_rmse: 0.53516 | val_1_rmse: 0.53447 |  0:00:45s
epoch 70 | loss: 0.21511 | val_0_rmse: 0.6022  | val_1_rmse: 0.61064 |  0:00:46s
epoch 71 | loss: 0.19612 | val_0_rmse: 0.47598 | val_1_rmse: 0.48697 |  0:00:47s
epoch 72 | loss: 0.18597 | val_0_rmse: 0.45997 | val_1_rmse: 0.47759 |  0:00:47s
epoch 73 | loss: 0.17629 | val_0_rmse: 0.41685 | val_1_rmse: 0.43742 |  0:00:48s
epoch 74 | loss: 0.17712 | val_0_rmse: 0.42391 | val_1_rmse: 0.45646 |  0:00:48s
epoch 75 | loss: 0.18232 | val_0_rmse: 0.42463 | val_1_rmse: 0.46087 |  0:00:49s
epoch 76 | loss: 0.18751 | val_0_rmse: 0.40879 | val_1_rmse: 0.43794 |  0:00:50s
epoch 77 | loss: 0.168   | val_0_rmse: 0.41467 | val_1_rmse: 0.44788 |  0:00:50s
epoch 78 | loss: 0.16308 | val_0_rmse: 0.40313 | val_1_rmse: 0.43958 |  0:00:51s
epoch 79 | loss: 0.15364 | val_0_rmse: 0.395   | val_1_rmse: 0.42895 |  0:00:52s
epoch 80 | loss: 0.15404 | val_0_rmse: 0.41365 | val_1_rmse: 0.4297  |  0:00:52s
epoch 81 | loss: 0.162   | val_0_rmse: 0.41059 | val_1_rmse: 0.42398 |  0:00:53s
epoch 82 | loss: 0.16859 | val_0_rmse: 0.40736 | val_1_rmse: 0.43196 |  0:00:53s
epoch 83 | loss: 0.15994 | val_0_rmse: 0.38865 | val_1_rmse: 0.41513 |  0:00:54s
epoch 84 | loss: 0.1554  | val_0_rmse: 0.39027 | val_1_rmse: 0.42182 |  0:00:55s
epoch 85 | loss: 0.15405 | val_0_rmse: 0.38185 | val_1_rmse: 0.41147 |  0:00:55s
