TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is Log & StandardScaler
------------------------------------------------------------------
Using the dataset: Era_Coef_Parish.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 03:46:11
epoch 0  | loss: 2.86124 | val_0_rmse: 1.00284 | val_1_rmse: 1.00974 |  0:00:02s
epoch 1  | loss: 1.26799 | val_0_rmse: 0.99572 | val_1_rmse: 1.00543 |  0:00:03s
epoch 2  | loss: 1.0327  | val_0_rmse: 0.99849 | val_1_rmse: 1.00577 |  0:00:03s
epoch 3  | loss: 0.90753 | val_0_rmse: 0.96792 | val_1_rmse: 0.9764  |  0:00:04s
epoch 4  | loss: 0.74332 | val_0_rmse: 0.81218 | val_1_rmse: 0.82512 |  0:00:05s
epoch 5  | loss: 0.66011 | val_0_rmse: 0.81993 | val_1_rmse: 0.824   |  0:00:05s
epoch 6  | loss: 0.63564 | val_0_rmse: 0.8026  | val_1_rmse: 0.81049 |  0:00:06s
epoch 7  | loss: 0.62525 | val_0_rmse: 0.77843 | val_1_rmse: 0.78873 |  0:00:06s
epoch 8  | loss: 0.60815 | val_0_rmse: 0.7888  | val_1_rmse: 0.79838 |  0:00:07s
epoch 9  | loss: 0.59668 | val_0_rmse: 0.757   | val_1_rmse: 0.76235 |  0:00:07s
epoch 10 | loss: 0.5654  | val_0_rmse: 0.7469  | val_1_rmse: 0.74651 |  0:00:08s
epoch 11 | loss: 0.5299  | val_0_rmse: 0.74245 | val_1_rmse: 0.73848 |  0:00:09s
epoch 12 | loss: 0.49348 | val_0_rmse: 0.72156 | val_1_rmse: 0.71917 |  0:00:09s
epoch 13 | loss: 0.46638 | val_0_rmse: 0.70007 | val_1_rmse: 0.70121 |  0:00:10s
epoch 14 | loss: 0.43561 | val_0_rmse: 0.70634 | val_1_rmse: 0.70278 |  0:00:10s
epoch 15 | loss: 0.42969 | val_0_rmse: 0.71529 | val_1_rmse: 0.71695 |  0:00:11s
epoch 16 | loss: 0.42002 | val_0_rmse: 0.68625 | val_1_rmse: 0.6891  |  0:00:11s
epoch 17 | loss: 0.40501 | val_0_rmse: 0.66858 | val_1_rmse: 0.67278 |  0:00:12s
epoch 18 | loss: 0.39845 | val_0_rmse: 0.68742 | val_1_rmse: 0.69134 |  0:00:13s
epoch 19 | loss: 0.38695 | val_0_rmse: 0.71813 | val_1_rmse: 0.72166 |  0:00:13s
