TabNet Logs:

Saving copy of script...
In this script only the augmented Era dataset is used
Normalization used is Log & StandardScaler
------------------------------------------------------------------
Using the dataset: DataBase_Era_augmented.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 04:22:55
epoch 0  | loss: 2.5419  | val_0_rmse: 0.99198 | val_1_rmse: 0.98583 |  0:00:02s
epoch 1  | loss: 1.12041 | val_0_rmse: 0.99363 | val_1_rmse: 0.98756 |  0:00:03s
epoch 2  | loss: 0.97145 | val_0_rmse: 0.98294 | val_1_rmse: 0.97902 |  0:00:04s
epoch 3  | loss: 0.83289 | val_0_rmse: 0.85679 | val_1_rmse: 0.85374 |  0:00:04s
epoch 4  | loss: 0.64139 | val_0_rmse: 0.80437 | val_1_rmse: 0.7973  |  0:00:05s
epoch 5  | loss: 0.58824 | val_0_rmse: 0.76956 | val_1_rmse: 0.75697 |  0:00:05s
epoch 6  | loss: 0.56498 | val_0_rmse: 0.75793 | val_1_rmse: 0.73843 |  0:00:06s
epoch 7  | loss: 0.53398 | val_0_rmse: 0.76879 | val_1_rmse: 0.74813 |  0:00:07s
epoch 8  | loss: 0.49857 | val_0_rmse: 0.72892 | val_1_rmse: 0.7201  |  0:00:07s
epoch 9  | loss: 0.45826 | val_0_rmse: 0.7175  | val_1_rmse: 0.71264 |  0:00:08s
epoch 10 | loss: 0.42589 | val_0_rmse: 0.71982 | val_1_rmse: 0.71738 |  0:00:09s
epoch 11 | loss: 0.40604 | val_0_rmse: 0.65831 | val_1_rmse: 0.64255 |  0:00:09s
epoch 12 | loss: 0.38237 | val_0_rmse: 0.65893 | val_1_rmse: 0.65164 |  0:00:10s
epoch 13 | loss: 0.3917  | val_0_rmse: 0.64737 | val_1_rmse: 0.64246 |  0:00:11s
epoch 14 | loss: 0.37961 | val_0_rmse: 0.63016 | val_1_rmse: 0.6162  |  0:00:11s
epoch 15 | loss: 0.35812 | val_0_rmse: 0.61879 | val_1_rmse: 0.60295 |  0:00:12s
epoch 16 | loss: 0.34907 | val_0_rmse: 0.61048 | val_1_rmse: 0.59997 |  0:00:13s
epoch 17 | loss: 0.34344 | val_0_rmse: 0.60717 | val_1_rmse: 0.59747 |  0:00:13s
epoch 18 | loss: 0.32129 | val_0_rmse: 0.60566 | val_1_rmse: 0.59338 |  0:00:14s
epoch 19 | loss: 0.32389 | val_0_rmse: 0.56444 | val_1_rmse: 0.55215 |  0:00:15s
epoch 20 | loss: 0.30277 | val_0_rmse: 0.57989 | val_1_rmse: 0.57751 |  0:00:15s
epoch 21 | loss: 0.28211 | val_0_rmse: 0.55543 | val_1_rmse: 0.55217 |  0:00:16s
epoch 22 | loss: 0.27074 | val_0_rmse: 0.56523 | val_1_rmse: 0.5691  |  0:00:16s
epoch 23 | loss: 0.25832 | val_0_rmse: 0.54393 | val_1_rmse: 0.54703 |  0:00:17s
epoch 24 | loss: 0.25086 | val_0_rmse: 0.53664 | val_1_rmse: 0.53515 |  0:00:18s
epoch 25 | loss: 0.24745 | val_0_rmse: 0.54529 | val_1_rmse: 0.54414 |  0:00:18s
epoch 26 | loss: 0.24312 | val_0_rmse: 0.53337 | val_1_rmse: 0.53111 |  0:00:19s
epoch 27 | loss: 0.22775 | val_0_rmse: 0.52808 | val_1_rmse: 0.53208 |  0:00:20s
epoch 28 | loss: 0.22741 | val_0_rmse: 0.52638 | val_1_rmse: 0.53606 |  0:00:20s
epoch 29 | loss: 0.22634 | val_0_rmse: 0.51971 | val_1_rmse: 0.5256  |  0:00:21s
epoch 30 | loss: 0.21708 | val_0_rmse: 0.5087  | val_1_rmse: 0.5083  |  0:00:22s
epoch 31 | loss: 0.20923 | val_0_rmse: 0.50755 | val_1_rmse: 0.50594 |  0:00:22s
epoch 32 | loss: 0.20596 | val_0_rmse: 0.49814 | val_1_rmse: 0.49881 |  0:00:23s
epoch 33 | loss: 0.19631 | val_0_rmse: 0.51619 | val_1_rmse: 0.5222  |  0:00:24s
epoch 34 | loss: 0.20252 | val_0_rmse: 0.51652 | val_1_rmse: 0.52193 |  0:00:25s
epoch 35 | loss: 0.19929 | val_0_rmse: 0.4883  | val_1_rmse: 0.48751 |  0:00:25s
epoch 36 | loss: 0.19064 | val_0_rmse: 0.49222 | val_1_rmse: 0.49579 |  0:00:26s
epoch 37 | loss: 0.18135 | val_0_rmse: 0.47022 | val_1_rmse: 0.47873 |  0:00:27s
epoch 38 | loss: 0.17451 | val_0_rmse: 0.46525 | val_1_rmse: 0.47286 |  0:00:27s
epoch 39 | loss: 0.16545 | val_0_rmse: 0.47554 | val_1_rmse: 0.48641 |  0:00:28s
epoch 40 | loss: 0.16433 | val_0_rmse: 0.47799 | val_1_rmse: 0.49102 |  0:00:29s
epoch 41 | loss: 0.15985 | val_0_rmse: 0.46938 | val_1_rmse: 0.47868 |  0:00:29s
epoch 42 | loss: 0.15731 | val_0_rmse: 0.46276 | val_1_rmse: 0.47131 |  0:00:30s
epoch 43 | loss: 0.15709 | val_0_rmse: 0.47827 | val_1_rmse: 0.49502 |  0:00:31s
epoch 44 | loss: 0.15255 | val_0_rmse: 0.46096 | val_1_rmse: 0.47341 |  0:00:31s
epoch 45 | loss: 0.15076 | val_0_rmse: 0.4646  | val_1_rmse: 0.47977 |  0:00:32s
epoch 46 | loss: 0.15442 | val_0_rmse: 0.45979 | val_1_rmse: 0.48106 |  0:00:32s
epoch 47 | loss: 0.15251 | val_0_rmse: 0.45534 | val_1_rmse: 0.47303 |  0:00:33s
epoch 48 | loss: 0.15103 | val_0_rmse: 0.45956 | val_1_rmse: 0.47777 |  0:00:34s
epoch 49 | loss: 0.14419 | val_0_rmse: 0.46475 | val_1_rmse: 0.48176 |  0:00:34s
epoch 50 | loss: 0.14793 | val_0_rmse: 0.453   | val_1_rmse: 0.46931 |  0:00:35s
epoch 51 | loss: 0.14609 | val_0_rmse: 0.44487 | val_1_rmse: 0.46016 |  0:00:36s
epoch 52 | loss: 0.15311 | val_0_rmse: 0.44477 | val_1_rmse: 0.46723 |  0:00:36s
epoch 53 | loss: 0.15672 | val_0_rmse: 0.43417 | val_1_rmse: 0.45745 |  0:00:37s
epoch 54 | loss: 0.14856 | val_0_rmse: 0.41573 | val_1_rmse: 0.43848 |  0:00:38s
epoch 55 | loss: 0.14367 | val_0_rmse: 0.41532 | val_1_rmse: 0.43925 |  0:00:38s
epoch 56 | loss: 0.14225 | val_0_rmse: 0.41058 | val_1_rmse: 0.43355 |  0:00:39s
epoch 57 | loss: 0.13959 | val_0_rmse: 0.4077  | val_1_rmse: 0.438   |  0:00:40s
epoch 58 | loss: 0.14633 | val_0_rmse: 0.41236 | val_1_rmse: 0.43374 |  0:00:40s
epoch 59 | loss: 0.14247 | val_0_rmse: 0.41393 | val_1_rmse: 0.43817 |  0:00:41s
epoch 60 | loss: 0.13928 | val_0_rmse: 0.41428 | val_1_rmse: 0.4437  |  0:00:42s
epoch 61 | loss: 0.15373 | val_0_rmse: 0.41368 | val_1_rmse: 0.4469  |  0:00:42s
epoch 62 | loss: 0.1507  | val_0_rmse: 0.41958 | val_1_rmse: 0.45089 |  0:00:43s
epoch 63 | loss: 0.15417 | val_0_rmse: 0.4366  | val_1_rmse: 0.45933 |  0:00:43s
epoch 64 | loss: 0.15373 | val_0_rmse: 0.4149  | val_1_rmse: 0.44519 |  0:00:44s
epoch 65 | loss: 0.14546 | val_0_rmse: 0.41069 | val_1_rmse: 0.44133 |  0:00:45s
epoch 66 | loss: 0.13971 | val_0_rmse: 0.40475 | val_1_rmse: 0.4417  |  0:00:45s
epoch 67 | loss: 0.12825 | val_0_rmse: 0.38086 | val_1_rmse: 0.42514 |  0:00:46s
epoch 68 | loss: 0.12896 | val_0_rmse: 0.38907 | val_1_rmse: 0.42747 |  0:00:47s
epoch 69 | loss: 0.12966 | val_0_rmse: 0.39141 | val_1_rmse: 0.43736 |  0:00:47s
epoch 70 | loss: 0.13823 | val_0_rmse: 0.41685 | val_1_rmse: 0.4507  |  0:00:48s
epoch 71 | loss: 0.14483 | val_0_rmse: 0.41596 | val_1_rmse: 0.45339 |  0:00:49s
epoch 72 | loss: 0.1536  | val_0_rmse: 0.43568 | val_1_rmse: 0.47365 |  0:00:49s
epoch 73 | loss: 0.18914 | val_0_rmse: 0.43026 | val_1_rmse: 0.47456 |  0:00:50s
epoch 74 | loss: 0.16587 | val_0_rmse: 0.41177 | val_1_rmse: 0.45386 |  0:00:51s
epoch 75 | loss: 0.15011 | val_0_rmse: 0.39976 | val_1_rmse: 0.44487 |  0:00:51s
epoch 76 | loss: 0.15123 | val_0_rmse: 0.41515 | val_1_rmse: 0.46096 |  0:00:52s
