TabNet Logs:

Saving copy of script...
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 03:53:24
epoch 0  | loss: 1.45304 | val_0_rmse: 1.01301 | val_1_rmse: 0.95343 |  0:00:05s
epoch 1  | loss: 1.01936 | val_0_rmse: 0.91343 | val_1_rmse: 0.88928 |  0:00:07s
epoch 2  | loss: 0.85514 | val_0_rmse: 0.90138 | val_1_rmse: 0.87142 |  0:00:09s
epoch 3  | loss: 0.82135 | val_0_rmse: 0.89344 | val_1_rmse: 0.85331 |  0:00:11s
epoch 4  | loss: 0.82304 | val_0_rmse: 0.89489 | val_1_rmse: 0.86321 |  0:00:13s
epoch 5  | loss: 0.82947 | val_0_rmse: 0.89038 | val_1_rmse: 0.84964 |  0:00:14s
epoch 6  | loss: 0.82561 | val_0_rmse: 0.89461 | val_1_rmse: 0.8595  |  0:00:16s
epoch 7  | loss: 0.80504 | val_0_rmse: 0.89946 | val_1_rmse: 0.86732 |  0:00:18s
epoch 8  | loss: 0.81893 | val_0_rmse: 0.89506 | val_1_rmse: 0.85309 |  0:00:20s
epoch 9  | loss: 0.81442 | val_0_rmse: 0.89511 | val_1_rmse: 0.86404 |  0:00:22s
epoch 10 | loss: 0.80241 | val_0_rmse: 0.89013 | val_1_rmse: 0.8491  |  0:00:24s
epoch 11 | loss: 0.80135 | val_0_rmse: 0.89268 | val_1_rmse: 0.84917 |  0:00:26s
epoch 12 | loss: 0.79648 | val_0_rmse: 0.89083 | val_1_rmse: 0.85776 |  0:00:27s
epoch 13 | loss: 0.78959 | val_0_rmse: 0.89148 | val_1_rmse: 0.86031 |  0:00:29s
epoch 14 | loss: 0.81009 | val_0_rmse: 0.89633 | val_1_rmse: 0.86174 |  0:00:31s
epoch 15 | loss: 0.81663 | val_0_rmse: 0.90863 | val_1_rmse: 0.8601  |  0:00:33s
epoch 16 | loss: 0.78109 | val_0_rmse: 0.87333 | val_1_rmse: 0.84025 |  0:00:35s
epoch 17 | loss: 0.76375 | val_0_rmse: 0.87084 | val_1_rmse: 0.83769 |  0:00:37s
epoch 18 | loss: 0.75619 | val_0_rmse: 0.86527 | val_1_rmse: 0.83044 |  0:00:39s
epoch 19 | loss: 0.7504  | val_0_rmse: 0.85716 | val_1_rmse: 0.82067 |  0:00:40s
epoch 20 | loss: 0.74593 | val_0_rmse: 0.8525  | val_1_rmse: 0.82096 |  0:00:42s
epoch 21 | loss: 0.74796 | val_0_rmse: 0.85671 | val_1_rmse: 0.82617 |  0:00:44s
epoch 22 | loss: 0.73177 | val_0_rmse: 0.8492  | val_1_rmse: 0.81582 |  0:00:46s
epoch 23 | loss: 0.73514 | val_0_rmse: 0.86127 | val_1_rmse: 0.83212 |  0:00:48s
epoch 24 | loss: 0.74988 | val_0_rmse: 0.87685 | val_1_rmse: 0.84765 |  0:00:50s
epoch 25 | loss: 0.76225 | val_0_rmse: 0.86938 | val_1_rmse: 0.84003 |  0:00:52s
epoch 26 | loss: 0.75462 | val_0_rmse: 0.86512 | val_1_rmse: 0.83638 |  0:00:54s
epoch 27 | loss: 0.74991 | val_0_rmse: 0.86394 | val_1_rmse: 0.8333  |  0:00:55s
epoch 28 | loss: 0.74684 | val_0_rmse: 0.86041 | val_1_rmse: 0.83164 |  0:00:57s
epoch 29 | loss: 0.74076 | val_0_rmse: 0.85738 | val_1_rmse: 0.83266 |  0:00:59s
epoch 30 | loss: 0.72936 | val_0_rmse: 0.84403 | val_1_rmse: 0.82003 |  0:01:01s
epoch 31 | loss: 0.71079 | val_0_rmse: 0.83309 | val_1_rmse: 0.81033 |  0:01:03s
epoch 32 | loss: 0.69923 | val_0_rmse: 0.83046 | val_1_rmse: 0.80102 |  0:01:05s
epoch 33 | loss: 0.70108 | val_0_rmse: 0.82862 | val_1_rmse: 0.80821 |  0:01:07s
epoch 34 | loss: 0.70246 | val_0_rmse: 0.82467 | val_1_rmse: 0.79569 |  0:01:08s
epoch 35 | loss: 0.6937  | val_0_rmse: 0.82238 | val_1_rmse: 0.79255 |  0:01:10s
epoch 36 | loss: 0.68734 | val_0_rmse: 0.81868 | val_1_rmse: 0.80123 |  0:01:12s
epoch 37 | loss: 0.68919 | val_0_rmse: 0.84365 | val_1_rmse: 0.82997 |  0:01:14s
epoch 38 | loss: 0.70033 | val_0_rmse: 0.82146 | val_1_rmse: 0.79105 |  0:01:16s
epoch 39 | loss: 0.68539 | val_0_rmse: 0.82556 | val_1_rmse: 0.79229 |  0:01:18s
epoch 40 | loss: 0.68588 | val_0_rmse: 0.81529 | val_1_rmse: 0.78423 |  0:01:20s
epoch 41 | loss: 0.68016 | val_0_rmse: 0.81964 | val_1_rmse: 0.80109 |  0:01:22s
epoch 42 | loss: 0.6888  | val_0_rmse: 0.81376 | val_1_rmse: 0.79549 |  0:01:23s
epoch 43 | loss: 0.67457 | val_0_rmse: 0.81372 | val_1_rmse: 0.79041 |  0:01:25s
epoch 44 | loss: 0.66935 | val_0_rmse: 0.81042 | val_1_rmse: 0.7979  |  0:01:27s
epoch 45 | loss: 0.67616 | val_0_rmse: 0.81475 | val_1_rmse: 0.79153 |  0:01:29s
epoch 46 | loss: 0.67596 | val_0_rmse: 0.81    | val_1_rmse: 0.7796  |  0:01:31s
epoch 47 | loss: 0.67343 | val_0_rmse: 0.81698 | val_1_rmse: 0.78782 |  0:01:33s
epoch 48 | loss: 0.67542 | val_0_rmse: 0.80572 | val_1_rmse: 0.77851 |  0:01:35s
epoch 49 | loss: 0.67174 | val_0_rmse: 0.80759 | val_1_rmse: 0.78979 |  0:01:36s
epoch 50 | loss: 0.66441 | val_0_rmse: 0.80597 | val_1_rmse: 0.78059 |  0:01:38s
epoch 51 | loss: 0.65762 | val_0_rmse: 0.80058 | val_1_rmse: 0.77977 |  0:01:40s
epoch 52 | loss: 0.66447 | val_0_rmse: 0.80514 | val_1_rmse: 0.7952  |  0:01:42s
epoch 53 | loss: 0.65606 | val_0_rmse: 0.79674 | val_1_rmse: 0.78073 |  0:01:44s
epoch 54 | loss: 0.65667 | val_0_rmse: 0.79811 | val_1_rmse: 0.78335 |  0:01:46s
epoch 55 | loss: 0.65307 | val_0_rmse: 0.79464 | val_1_rmse: 0.77637 |  0:01:48s
epoch 56 | loss: 0.6563  | val_0_rmse: 0.79713 | val_1_rmse: 0.78463 |  0:01:50s
epoch 57 | loss: 0.65419 | val_0_rmse: 0.79651 | val_1_rmse: 0.78641 |  0:01:51s
