TabNet Logs:

Saving copy of script...
In this script all the datasets are used and the features are normalized using the logarithmic function and SS Normalization
Normalization used is Log Transformation with SS Normalization
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 05:26:59
epoch 0  | loss: 0.76268 | val_0_rmse: 0.85372 | val_1_rmse: 0.84843 |  0:00:03s
epoch 1  | loss: 0.48662 | val_0_rmse: 0.66259 | val_1_rmse: 0.66056 |  0:00:04s
epoch 2  | loss: 0.42963 | val_0_rmse: 0.63281 | val_1_rmse: 0.62567 |  0:00:06s
epoch 3  | loss: 0.42964 | val_0_rmse: 0.63253 | val_1_rmse: 0.61866 |  0:00:07s
epoch 4  | loss: 0.41004 | val_0_rmse: 0.63296 | val_1_rmse: 0.62589 |  0:00:09s
epoch 5  | loss: 0.40335 | val_0_rmse: 0.60862 | val_1_rmse: 0.59209 |  0:00:10s
epoch 6  | loss: 0.38982 | val_0_rmse: 0.5991  | val_1_rmse: 0.588   |  0:00:12s
epoch 7  | loss: 0.37746 | val_0_rmse: 0.59965 | val_1_rmse: 0.58945 |  0:00:13s
epoch 8  | loss: 0.38085 | val_0_rmse: 0.60938 | val_1_rmse: 0.59801 |  0:00:15s
epoch 9  | loss: 0.38194 | val_0_rmse: 0.60409 | val_1_rmse: 0.59029 |  0:00:16s
epoch 10 | loss: 0.37181 | val_0_rmse: 0.59015 | val_1_rmse: 0.57668 |  0:00:18s
epoch 11 | loss: 0.36945 | val_0_rmse: 0.58546 | val_1_rmse: 0.57708 |  0:00:19s
epoch 12 | loss: 0.37022 | val_0_rmse: 0.58917 | val_1_rmse: 0.58022 |  0:00:21s
epoch 13 | loss: 0.36032 | val_0_rmse: 0.57992 | val_1_rmse: 0.57248 |  0:00:22s
epoch 14 | loss: 0.38196 | val_0_rmse: 0.60335 | val_1_rmse: 0.59556 |  0:00:23s
epoch 15 | loss: 0.37704 | val_0_rmse: 0.58701 | val_1_rmse: 0.5769  |  0:00:25s
