TabNet Logs:

Saving copy of script...
Normalization used is Log & StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 04:40:35
epoch 0  | loss: 1.52555 | val_0_rmse: 0.99687 | val_1_rmse: 1.00194 |  0:00:03s
epoch 1  | loss: 0.96709 | val_0_rmse: 0.91063 | val_1_rmse: 0.91228 |  0:00:05s
epoch 2  | loss: 0.83521 | val_0_rmse: 0.89812 | val_1_rmse: 0.90309 |  0:00:07s
epoch 3  | loss: 0.79738 | val_0_rmse: 0.88209 | val_1_rmse: 0.89086 |  0:00:09s
epoch 4  | loss: 0.79486 | val_0_rmse: 0.88904 | val_1_rmse: 0.89859 |  0:00:11s
epoch 5  | loss: 0.79828 | val_0_rmse: 0.89442 | val_1_rmse: 0.90283 |  0:00:12s
epoch 6  | loss: 0.81519 | val_0_rmse: 0.88593 | val_1_rmse: 0.89703 |  0:00:14s
epoch 7  | loss: 0.81072 | val_0_rmse: 0.89941 | val_1_rmse: 0.90819 |  0:00:16s
epoch 8  | loss: 0.80574 | val_0_rmse: 0.89267 | val_1_rmse: 0.89832 |  0:00:18s
epoch 9  | loss: 0.79206 | val_0_rmse: 0.88291 | val_1_rmse: 0.88996 |  0:00:19s
epoch 10 | loss: 0.77154 | val_0_rmse: 0.87897 | val_1_rmse: 0.88856 |  0:00:21s
epoch 11 | loss: 0.77752 | val_0_rmse: 0.88224 | val_1_rmse: 0.88922 |  0:00:23s
epoch 12 | loss: 0.76735 | val_0_rmse: 0.87867 | val_1_rmse: 0.89008 |  0:00:25s
epoch 13 | loss: 0.7674  | val_0_rmse: 0.8769  | val_1_rmse: 0.88729 |  0:00:27s
epoch 14 | loss: 0.75622 | val_0_rmse: 0.86918 | val_1_rmse: 0.88551 |  0:00:28s
epoch 15 | loss: 0.74482 | val_0_rmse: 0.86699 | val_1_rmse: 0.88272 |  0:00:30s
epoch 16 | loss: 0.73849 | val_0_rmse: 0.86899 | val_1_rmse: 0.88855 |  0:00:32s
epoch 17 | loss: 0.73374 | val_0_rmse: 0.85912 | val_1_rmse: 0.87605 |  0:00:34s
epoch 18 | loss: 0.72604 | val_0_rmse: 0.8519  | val_1_rmse: 0.87341 |  0:00:35s
epoch 19 | loss: 0.72222 | val_0_rmse: 0.84141 | val_1_rmse: 0.86435 |  0:00:37s
epoch 20 | loss: 0.71374 | val_0_rmse: 0.83509 | val_1_rmse: 0.86724 |  0:00:39s
epoch 21 | loss: 0.70266 | val_0_rmse: 0.8429  | val_1_rmse: 0.869   |  0:00:41s
epoch 22 | loss: 0.69938 | val_0_rmse: 0.82495 | val_1_rmse: 0.8482  |  0:00:43s
epoch 23 | loss: 0.68621 | val_0_rmse: 0.82005 | val_1_rmse: 0.84559 |  0:00:44s
epoch 24 | loss: 0.67871 | val_0_rmse: 0.81491 | val_1_rmse: 0.84152 |  0:00:46s
epoch 25 | loss: 0.67391 | val_0_rmse: 0.80572 | val_1_rmse: 0.83355 |  0:00:48s
epoch 26 | loss: 0.68922 | val_0_rmse: 0.81128 | val_1_rmse: 0.83852 |  0:00:50s
epoch 27 | loss: 0.67557 | val_0_rmse: 0.80544 | val_1_rmse: 0.836   |  0:00:52s
epoch 28 | loss: 0.66698 | val_0_rmse: 0.79506 | val_1_rmse: 0.82553 |  0:00:53s
epoch 29 | loss: 0.6538  | val_0_rmse: 0.80463 | val_1_rmse: 0.83812 |  0:00:55s
epoch 30 | loss: 0.66145 | val_0_rmse: 0.79747 | val_1_rmse: 0.82497 |  0:00:57s
epoch 31 | loss: 0.64593 | val_0_rmse: 0.79784 | val_1_rmse: 0.82651 |  0:00:59s
epoch 32 | loss: 0.64388 | val_0_rmse: 0.78639 | val_1_rmse: 0.82226 |  0:01:01s
epoch 33 | loss: 0.65239 | val_0_rmse: 0.81009 | val_1_rmse: 0.84216 |  0:01:02s
epoch 34 | loss: 0.64985 | val_0_rmse: 0.79005 | val_1_rmse: 0.82928 |  0:01:04s
epoch 35 | loss: 0.63492 | val_0_rmse: 0.77932 | val_1_rmse: 0.82148 |  0:01:06s
epoch 36 | loss: 0.62887 | val_0_rmse: 0.78593 | val_1_rmse: 0.83469 |  0:01:08s
epoch 37 | loss: 0.62986 | val_0_rmse: 0.77586 | val_1_rmse: 0.82646 |  0:01:09s
epoch 38 | loss: 0.618   | val_0_rmse: 0.77284 | val_1_rmse: 0.82884 |  0:01:11s
epoch 39 | loss: 0.61811 | val_0_rmse: 0.77    | val_1_rmse: 0.81696 |  0:01:13s
epoch 40 | loss: 0.61481 | val_0_rmse: 0.76478 | val_1_rmse: 0.81501 |  0:01:15s
epoch 41 | loss: 0.60134 | val_0_rmse: 0.77797 | val_1_rmse: 0.81245 |  0:01:17s
epoch 42 | loss: 0.60415 | val_0_rmse: 0.7681  | val_1_rmse: 0.81704 |  0:01:18s
epoch 43 | loss: 0.61441 | val_0_rmse: 0.81754 | val_1_rmse: 0.86183 |  0:01:20s
epoch 44 | loss: 0.60076 | val_0_rmse: 0.75912 | val_1_rmse: 0.80565 |  0:01:22s
epoch 45 | loss: 0.58829 | val_0_rmse: 0.75819 | val_1_rmse: 0.81199 |  0:01:24s
epoch 46 | loss: 0.5914  | val_0_rmse: 0.75041 | val_1_rmse: 0.81312 |  0:01:26s
epoch 47 | loss: 0.60758 | val_0_rmse: 0.75842 | val_1_rmse: 0.80529 |  0:01:27s
epoch 48 | loss: 0.59041 | val_0_rmse: 0.75243 | val_1_rmse: 0.81557 |  0:01:29s
epoch 49 | loss: 0.57868 | val_0_rmse: 0.738   | val_1_rmse: 0.79716 |  0:01:31s
epoch 50 | loss: 0.57654 | val_0_rmse: 0.74335 | val_1_rmse: 0.80667 |  0:01:33s
epoch 51 | loss: 0.57038 | val_0_rmse: 0.75512 | val_1_rmse: 0.82129 |  0:01:35s
epoch 52 | loss: 0.56472 | val_0_rmse: 0.75105 | val_1_rmse: 0.81309 |  0:01:36s
epoch 53 | loss: 0.56812 | val_0_rmse: 0.7295  | val_1_rmse: 0.7951  |  0:01:38s
epoch 54 | loss: 0.55615 | val_0_rmse: 0.74419 | val_1_rmse: 0.82162 |  0:01:40s
epoch 55 | loss: 0.55987 | val_0_rmse: 0.7376  | val_1_rmse: 0.79868 |  0:01:42s
epoch 56 | loss: 0.55345 | val_0_rmse: 0.72249 | val_1_rmse: 0.79057 |  0:01:44s
epoch 57 | loss: 0.54391 | val_0_rmse: 0.71652 | val_1_rmse: 0.79093 |  0:01:45s
epoch 58 | loss: 0.53955 | val_0_rmse: 0.72506 | val_1_rmse: 0.80388 |  0:01:47s
epoch 59 | loss: 0.54658 | val_0_rmse: 0.71671 | val_1_rmse: 0.78996 |  0:01:49s
epoch 60 | loss: 0.53919 | val_0_rmse: 0.72523 | val_1_rmse: 0.7982  |  0:01:51s
epoch 61 | loss: 0.53582 | val_0_rmse: 0.71121 | val_1_rmse: 0.80327 |  0:01:52s
epoch 62 | loss: 0.53155 | val_0_rmse: 0.70589 | val_1_rmse: 0.7973  |  0:01:54s
epoch 63 | loss: 0.52917 | val_0_rmse: 0.7013  | val_1_rmse: 0.80801 |  0:01:56s
