TabNet Logs:

Saving copy of script...
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 04:14:46
epoch 0  | loss: 0.14464 | val_0_rmse: 0.18279 | val_1_rmse: 0.18104 |  0:00:05s
epoch 1  | loss: 0.02221 | val_0_rmse: 0.18307 | val_1_rmse: 0.18287 |  0:00:07s
epoch 2  | loss: 0.01987 | val_0_rmse: 0.17968 | val_1_rmse: 0.18    |  0:00:09s
epoch 3  | loss: 0.0188  | val_0_rmse: 0.17914 | val_1_rmse: 0.17972 |  0:00:10s
epoch 4  | loss: 0.01756 | val_0_rmse: 0.18718 | val_1_rmse: 0.18818 |  0:00:12s
epoch 5  | loss: 0.0173  | val_0_rmse: 0.18618 | val_1_rmse: 0.18661 |  0:00:13s
epoch 6  | loss: 0.01651 | val_0_rmse: 0.18437 | val_1_rmse: 0.1846  |  0:00:15s
epoch 7  | loss: 0.01584 | val_0_rmse: 0.18636 | val_1_rmse: 0.18672 |  0:00:16s
epoch 8  | loss: 0.01591 | val_0_rmse: 0.16169 | val_1_rmse: 0.16111 |  0:00:18s
epoch 9  | loss: 0.01613 | val_0_rmse: 0.17326 | val_1_rmse: 0.17259 |  0:00:19s
epoch 10 | loss: 0.01574 | val_0_rmse: 0.16078 | val_1_rmse: 0.16006 |  0:00:21s
epoch 11 | loss: 0.0154  | val_0_rmse: 0.15395 | val_1_rmse: 0.15299 |  0:00:22s
epoch 12 | loss: 0.01533 | val_0_rmse: 0.15923 | val_1_rmse: 0.15873 |  0:00:24s
epoch 13 | loss: 0.01567 | val_0_rmse: 0.14649 | val_1_rmse: 0.14616 |  0:00:25s
epoch 14 | loss: 0.01505 | val_0_rmse: 0.14162 | val_1_rmse: 0.1411  |  0:00:27s
epoch 15 | loss: 0.01457 | val_0_rmse: 0.13911 | val_1_rmse: 0.13801 |  0:00:28s
epoch 16 | loss: 0.01498 | val_0_rmse: 0.13667 | val_1_rmse: 0.1368  |  0:00:29s
epoch 17 | loss: 0.01511 | val_0_rmse: 0.1311  | val_1_rmse: 0.1302  |  0:00:31s
epoch 18 | loss: 0.01518 | val_0_rmse: 0.12796 | val_1_rmse: 0.12818 |  0:00:32s
epoch 19 | loss: 0.01572 | val_0_rmse: 0.12491 | val_1_rmse: 0.12488 |  0:00:34s
epoch 20 | loss: 0.01544 | val_0_rmse: 0.12441 | val_1_rmse: 0.12432 |  0:00:35s
epoch 21 | loss: 0.01496 | val_0_rmse: 0.12417 | val_1_rmse: 0.12431 |  0:00:37s
epoch 22 | loss: 0.01453 | val_0_rmse: 0.11705 | val_1_rmse: 0.11708 |  0:00:38s
epoch 23 | loss: 0.01454 | val_0_rmse: 0.11992 | val_1_rmse: 0.11997 |  0:00:40s
epoch 24 | loss: 0.01442 | val_0_rmse: 0.11662 | val_1_rmse: 0.11656 |  0:00:41s
epoch 25 | loss: 0.01379 | val_0_rmse: 0.11534 | val_1_rmse: 0.1155  |  0:00:43s
epoch 26 | loss: 0.01389 | val_0_rmse: 0.11407 | val_1_rmse: 0.11509 |  0:00:44s
epoch 27 | loss: 0.01462 | val_0_rmse: 0.11557 | val_1_rmse: 0.11611 |  0:00:46s
epoch 28 | loss: 0.01481 | val_0_rmse: 0.11371 | val_1_rmse: 0.11444 |  0:00:47s
epoch 29 | loss: 0.01413 | val_0_rmse: 0.1138  | val_1_rmse: 0.11474 |  0:00:48s
epoch 30 | loss: 0.01419 | val_0_rmse: 0.11269 | val_1_rmse: 0.11347 |  0:00:50s
epoch 31 | loss: 0.01355 | val_0_rmse: 0.11424 | val_1_rmse: 0.1158  |  0:00:51s
epoch 32 | loss: 0.01367 | val_0_rmse: 0.11259 | val_1_rmse: 0.11345 |  0:00:53s
epoch 33 | loss: 0.01379 | val_0_rmse: 0.11819 | val_1_rmse: 0.11976 |  0:00:54s
epoch 34 | loss: 0.01419 | val_0_rmse: 0.11081 | val_1_rmse: 0.11117 |  0:00:56s
epoch 35 | loss: 0.01345 | val_0_rmse: 0.11066 | val_1_rmse: 0.11142 |  0:00:57s
epoch 36 | loss: 0.01381 | val_0_rmse: 0.1181  | val_1_rmse: 0.11955 |  0:00:59s
epoch 37 | loss: 0.0137  | val_0_rmse: 0.11188 | val_1_rmse: 0.1121  |  0:01:00s
epoch 38 | loss: 0.01327 | val_0_rmse: 0.1149  | val_1_rmse: 0.11589 |  0:01:02s
epoch 39 | loss: 0.01376 | val_0_rmse: 0.11324 | val_1_rmse: 0.11387 |  0:01:03s
epoch 40 | loss: 0.01464 | val_0_rmse: 0.1127  | val_1_rmse: 0.1141  |  0:01:04s
epoch 41 | loss: 0.01369 | val_0_rmse: 0.11259 | val_1_rmse: 0.11268 |  0:01:06s
epoch 42 | loss: 0.01318 | val_0_rmse: 0.11153 | val_1_rmse: 0.11248 |  0:01:07s
epoch 43 | loss: 0.01304 | val_0_rmse: 0.10953 | val_1_rmse: 0.11027 |  0:01:09s
epoch 44 | loss: 0.01299 | val_0_rmse: 0.10941 | val_1_rmse: 0.11016 |  0:01:10s
epoch 45 | loss: 0.01304 | val_0_rmse: 0.11185 | val_1_rmse: 0.11266 |  0:01:12s
epoch 46 | loss: 0.013   | val_0_rmse: 0.10928 | val_1_rmse: 0.11067 |  0:01:13s
epoch 47 | loss: 0.01295 | val_0_rmse: 0.1102  | val_1_rmse: 0.1111  |  0:01:15s
epoch 48 | loss: 0.01327 | val_0_rmse: 0.1086  | val_1_rmse: 0.10907 |  0:01:16s
epoch 49 | loss: 0.01304 | val_0_rmse: 0.11374 | val_1_rmse: 0.11497 |  0:01:18s
epoch 50 | loss: 0.01324 | val_0_rmse: 0.11039 | val_1_rmse: 0.1111  |  0:01:19s
epoch 51 | loss: 0.01307 | val_0_rmse: 0.11213 | val_1_rmse: 0.11353 |  0:01:20s
epoch 52 | loss: 0.01336 | val_0_rmse: 0.10889 | val_1_rmse: 0.11006 |  0:01:22s
epoch 53 | loss: 0.01318 | val_0_rmse: 0.10872 | val_1_rmse: 0.10905 |  0:01:23s
epoch 54 | loss: 0.01264 | val_0_rmse: 0.11051 | val_1_rmse: 0.11167 |  0:01:25s
epoch 55 | loss: 0.01284 | val_0_rmse: 0.11178 | val_1_rmse: 0.11218 |  0:01:26s
epoch 56 | loss: 0.01297 | val_0_rmse: 0.1084  | val_1_rmse: 0.10952 |  0:01:28s
epoch 57 | loss: 0.01267 | val_0_rmse: 0.10689 | val_1_rmse: 0.10769 |  0:01:29s
epoch 58 | loss: 0.01261 | val_0_rmse: 0.10821 | val_1_rmse: 0.10842 |  0:01:31s
epoch 59 | loss: 0.01308 | val_0_rmse: 0.1079  | val_1_rmse: 0.10849 |  0:01:32s
epoch 60 | loss: 0.01262 | val_0_rmse: 0.10794 | val_1_rmse: 0.10908 |  0:01:34s
epoch 61 | loss: 0.01297 | val_0_rmse: 0.10698 | val_1_rmse: 0.10783 |  0:01:35s
epoch 62 | loss: 0.01279 | val_0_rmse: 0.10734 | val_1_rmse: 0.10798 |  0:01:36s
epoch 63 | loss: 0.01264 | val_0_rmse: 0.10872 | val_1_rmse: 0.11027 |  0:01:38s
epoch 64 | loss: 0.01262 | val_0_rmse: 0.1111  | val_1_rmse: 0.11212 |  0:01:39s
epoch 65 | loss: 0.01248 | val_0_rmse: 0.10784 | val_1_rmse: 0.10963 |  0:01:41s
epoch 66 | loss: 0.01253 | val_0_rmse: 0.10944 | val_1_rmse: 0.11087 |  0:01:42s
epoch 67 | loss: 0.0131  | val_0_rmse: 0.11055 | val_1_rmse: 0.11183 |  0:01:44s
epoch 68 | loss: 0.0128  | val_0_rmse: 0.10675 | val_1_rmse: 0.10767 |  0:01:45s
epoch 69 | loss: 0.0126  | val_0_rmse: 0.1091  | val_1_rmse: 0.10888 |  0:01:47s
epoch 70 | loss: 0.01235 | val_0_rmse: 0.1076  | val_1_rmse: 0.10898 |  0:01:48s
epoch 71 | loss: 0.01294 | val_0_rmse: 0.10722 | val_1_rmse: 0.10839 |  0:01:50s
epoch 72 | loss: 0.01233 | val_0_rmse: 0.10686 | val_1_rmse: 0.1084  |  0:01:51s
epoch 73 | loss: 0.01219 | val_0_rmse: 0.11253 | val_1_rmse: 0.11425 |  0:01:52s
epoch 74 | loss: 0.0125  | val_0_rmse: 0.10945 | val_1_rmse: 0.11063 |  0:01:54s
epoch 75 | loss: 0.01318 | val_0_rmse: 0.1109  | val_1_rmse: 0.11256 |  0:01:55s
epoch 76 | loss: 0.01272 | val_0_rmse: 0.10746 | val_1_rmse: 0.10703 |  0:01:57s
epoch 77 | loss: 0.01256 | val_0_rmse: 0.10532 | val_1_rmse: 0.10705 |  0:01:58s
epoch 78 | loss: 0.01247 | val_0_rmse: 0.10591 | val_1_rmse: 0.10688 |  0:02:00s
epoch 79 | loss: 0.01267 | val_0_rmse: 0.1075  | val_1_rmse: 0.10975 |  0:02:01s
epoch 80 | loss: 0.01222 | val_0_rmse: 0.10708 | val_1_rmse: 0.10914 |  0:02:03s
epoch 81 | loss: 0.01214 | val_0_rmse: 0.10958 | val_1_rmse: 0.11046 |  0:02:04s
epoch 82 | loss: 0.01241 | val_0_rmse: 0.10513 | val_1_rmse: 0.10692 |  0:02:06s
epoch 83 | loss: 0.01204 | val_0_rmse: 0.10462 | val_1_rmse: 0.10715 |  0:02:07s
epoch 84 | loss: 0.01181 | val_0_rmse: 0.10383 | val_1_rmse: 0.10613 |  0:02:09s
epoch 85 | loss: 0.01215 | val_0_rmse: 0.10886 | val_1_rmse: 0.11063 |  0:02:10s
