TabNet Logs:

Saving copy of script...
No Normalization used
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 02:17:32
epoch 0  | loss: 149050847710.75323| val_0_rmse: 372217.38027| val_1_rmse: 375810.01924|  0:00:03s
epoch 1  | loss: 148979258567.48053| val_0_rmse: 385045.31146| val_1_rmse: 388621.5926|  0:00:05s
epoch 2  | loss: 148796289077.1948| val_0_rmse: 383809.40594| val_1_rmse: 387350.69337|  0:00:06s
epoch 3  | loss: 148480689617.45456| val_0_rmse: 369199.15954| val_1_rmse: 372796.09876|  0:00:07s
epoch 4  | loss: 148033008945.87012| val_0_rmse: 377757.21546| val_1_rmse: 381342.96129|  0:00:09s
epoch 5  | loss: 147464464144.62338| val_0_rmse: 385277.56766| val_1_rmse: 388837.82357|  0:00:10s
epoch 6  | loss: 146850649074.7013| val_0_rmse: 385704.24692| val_1_rmse: 389272.06921|  0:00:12s
epoch 7  | loss: 146188456308.36365| val_0_rmse: 385598.9396| val_1_rmse: 389167.35151|  0:00:13s
epoch 8  | loss: 145441826789.4026| val_0_rmse: 385577.07115| val_1_rmse: 389142.54318|  0:00:15s
epoch 9  | loss: 144668795411.94803| val_0_rmse: 385748.01446| val_1_rmse: 389315.5986|  0:00:16s
epoch 10 | loss: 143859016211.94806| val_0_rmse: 385744.16647| val_1_rmse: 389310.38043|  0:00:18s
epoch 11 | loss: 143052084423.48047| val_0_rmse: 385897.28471| val_1_rmse: 389469.56665|  0:00:19s
epoch 12 | loss: 142155330121.14282| val_0_rmse: 385925.1197| val_1_rmse: 389498.21646|  0:00:21s
epoch 13 | loss: 141188342079.16885| val_0_rmse: 385941.74125| val_1_rmse: 389515.29243|  0:00:22s
epoch 14 | loss: 140119509284.57144| val_0_rmse: 382060.35861| val_1_rmse: 385570.07715|  0:00:24s
epoch 15 | loss: 139093442134.44156| val_0_rmse: 380700.31489| val_1_rmse: 384277.60763|  0:00:25s
epoch 16 | loss: 138057767576.93506| val_0_rmse: 381042.77564| val_1_rmse: 384624.70407|  0:00:26s
