TabNet Logs:

Saving copy of script...
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 23:53:09
epoch 0  | loss: 0.75628 | val_0_rmse: 0.7603  | val_1_rmse: 0.7683  |  0:00:04s
epoch 1  | loss: 0.46993 | val_0_rmse: 0.66871 | val_1_rmse: 0.68096 |  0:00:06s
epoch 2  | loss: 0.41409 | val_0_rmse: 0.60894 | val_1_rmse: 0.62209 |  0:00:07s
epoch 3  | loss: 0.38161 | val_0_rmse: 0.59109 | val_1_rmse: 0.60295 |  0:00:08s
epoch 4  | loss: 0.36346 | val_0_rmse: 0.57746 | val_1_rmse: 0.5938  |  0:00:10s
epoch 5  | loss: 0.35579 | val_0_rmse: 0.56431 | val_1_rmse: 0.58016 |  0:00:11s
epoch 6  | loss: 0.34472 | val_0_rmse: 0.56136 | val_1_rmse: 0.57813 |  0:00:13s
epoch 7  | loss: 0.34415 | val_0_rmse: 0.56703 | val_1_rmse: 0.58551 |  0:00:14s
epoch 8  | loss: 0.34625 | val_0_rmse: 0.55684 | val_1_rmse: 0.57294 |  0:00:16s
epoch 9  | loss: 0.33851 | val_0_rmse: 0.57895 | val_1_rmse: 0.58928 |  0:00:17s
epoch 10 | loss: 0.33856 | val_0_rmse: 0.57499 | val_1_rmse: 0.59155 |  0:00:19s
epoch 11 | loss: 0.33799 | val_0_rmse: 0.56262 | val_1_rmse: 0.57971 |  0:00:20s
epoch 12 | loss: 0.33499 | val_0_rmse: 0.56714 | val_1_rmse: 0.57781 |  0:00:21s
epoch 13 | loss: 0.32857 | val_0_rmse: 0.57344 | val_1_rmse: 0.58841 |  0:00:23s
epoch 14 | loss: 0.33167 | val_0_rmse: 0.54708 | val_1_rmse: 0.56099 |  0:00:24s
epoch 15 | loss: 0.32133 | val_0_rmse: 0.54195 | val_1_rmse: 0.55942 |  0:00:26s
epoch 16 | loss: 0.3188  | val_0_rmse: 0.59635 | val_1_rmse: 0.61133 |  0:00:27s
epoch 17 | loss: 0.31872 | val_0_rmse: 0.53341 | val_1_rmse: 0.55161 |  0:00:29s
epoch 18 | loss: 0.31613 | val_0_rmse: 0.55674 | val_1_rmse: 0.57399 |  0:00:30s
epoch 19 | loss: 0.31877 | val_0_rmse: 0.57891 | val_1_rmse: 0.5982  |  0:00:32s
epoch 20 | loss: 0.31441 | val_0_rmse: 0.5394  | val_1_rmse: 0.55677 |  0:00:33s
epoch 21 | loss: 0.31563 | val_0_rmse: 0.56993 | val_1_rmse: 0.58276 |  0:00:34s
epoch 22 | loss: 0.32015 | val_0_rmse: 0.54918 | val_1_rmse: 0.56479 |  0:00:36s
epoch 23 | loss: 0.30984 | val_0_rmse: 0.58899 | val_1_rmse: 0.59894 |  0:00:37s
epoch 24 | loss: 0.30838 | val_0_rmse: 0.53077 | val_1_rmse: 0.54977 |  0:00:39s
epoch 25 | loss: 0.32489 | val_0_rmse: 0.56359 | val_1_rmse: 0.58024 |  0:00:40s
epoch 26 | loss: 0.34704 | val_0_rmse: 0.56588 | val_1_rmse: 0.58543 |  0:00:42s
epoch 27 | loss: 0.33687 | val_0_rmse: 0.55176 | val_1_rmse: 0.56439 |  0:00:43s
epoch 28 | loss: 0.32794 | val_0_rmse: 0.55379 | val_1_rmse: 0.5736  |  0:00:44s
epoch 29 | loss: 0.31886 | val_0_rmse: 0.54896 | val_1_rmse: 0.56645 |  0:00:46s
epoch 30 | loss: 0.32348 | val_0_rmse: 0.61104 | val_1_rmse: 0.62615 |  0:00:47s
epoch 31 | loss: 0.32034 | val_0_rmse: 0.5588  | val_1_rmse: 0.57777 |  0:00:49s
epoch 32 | loss: 0.32011 | val_0_rmse: 0.56151 | val_1_rmse: 0.58142 |  0:00:50s
epoch 33 | loss: 0.31786 | val_0_rmse: 0.54218 | val_1_rmse: 0.56054 |  0:00:52s
epoch 34 | loss: 0.32403 | val_0_rmse: 0.61016 | val_1_rmse: 0.63111 |  0:00:53s
epoch 35 | loss: 0.31941 | val_0_rmse: 0.55855 | val_1_rmse: 0.573   |  0:00:54s
epoch 36 | loss: 0.31728 | val_0_rmse: 0.53771 | val_1_rmse: 0.55827 |  0:00:56s
epoch 37 | loss: 0.31066 | val_0_rmse: 0.5888  | val_1_rmse: 0.59944 |  0:00:57s
epoch 38 | loss: 0.3162  | val_0_rmse: 0.53759 | val_1_rmse: 0.55875 |  0:00:59s
epoch 39 | loss: 0.30752 | val_0_rmse: 0.53688 | val_1_rmse: 0.55772 |  0:01:00s
epoch 40 | loss: 0.30608 | val_0_rmse: 0.53234 | val_1_rmse: 0.55013 |  0:01:02s
epoch 41 | loss: 0.3076  | val_0_rmse: 0.54962 | val_1_rmse: 0.56545 |  0:01:03s
epoch 42 | loss: 0.31674 | val_0_rmse: 0.54757 | val_1_rmse: 0.56796 |  0:01:04s
epoch 43 | loss: 0.30949 | val_0_rmse: 0.54568 | val_1_rmse: 0.56685 |  0:01:06s
epoch 44 | loss: 0.30623 | val_0_rmse: 0.55954 | val_1_rmse: 0.58263 |  0:01:07s
epoch 45 | loss: 0.31537 | val_0_rmse: 0.53148 | val_1_rmse: 0.54937 |  0:01:09s
epoch 46 | loss: 0.30878 | val_0_rmse: 0.53853 | val_1_rmse: 0.55459 |  0:01:10s
epoch 47 | loss: 0.30605 | val_0_rmse: 0.54255 | val_1_rmse: 0.55496 |  0:01:12s
epoch 48 | loss: 0.30611 | val_0_rmse: 0.54564 | val_1_rmse: 0.56403 |  0:01:13s
epoch 49 | loss: 0.29767 | val_0_rmse: 0.52946 | val_1_rmse: 0.54189 |  0:01:14s
epoch 50 | loss: 0.29832 | val_0_rmse: 0.52777 | val_1_rmse: 0.54651 |  0:01:16s
epoch 51 | loss: 0.30007 | val_0_rmse: 0.52801 | val_1_rmse: 0.54675 |  0:01:17s
epoch 52 | loss: 0.3081  | val_0_rmse: 0.53275 | val_1_rmse: 0.54471 |  0:01:19s
epoch 53 | loss: 0.3062  | val_0_rmse: 0.52882 | val_1_rmse: 0.54485 |  0:01:20s
epoch 54 | loss: 0.30116 | val_0_rmse: 0.53455 | val_1_rmse: 0.55478 |  0:01:22s
epoch 55 | loss: 0.29594 | val_0_rmse: 0.52403 | val_1_rmse: 0.53987 |  0:01:23s
epoch 56 | loss: 0.3001  | val_0_rmse: 0.52614 | val_1_rmse: 0.54024 |  0:01:24s
epoch 57 | loss: 0.29611 | val_0_rmse: 0.5309  | val_1_rmse: 0.54997 |  0:01:26s
epoch 58 | loss: 0.30571 | val_0_rmse: 0.51983 | val_1_rmse: 0.54131 |  0:01:27s
epoch 59 | loss: 0.29006 | val_0_rmse: 0.55462 | val_1_rmse: 0.56827 |  0:01:29s
epoch 60 | loss: 0.29617 | val_0_rmse: 0.5493  | val_1_rmse: 0.56277 |  0:01:30s
epoch 61 | loss: 0.29894 | val_0_rmse: 0.54112 | val_1_rmse: 0.56    |  0:01:32s
epoch 62 | loss: 0.29557 | val_0_rmse: 0.52417 | val_1_rmse: 0.53996 |  0:01:33s
epoch 63 | loss: 0.29745 | val_0_rmse: 0.52424 | val_1_rmse: 0.5389  |  0:01:34s
epoch 64 | loss: 0.30198 | val_0_rmse: 0.53444 | val_1_rmse: 0.55382 |  0:01:36s
epoch 65 | loss: 0.30258 | val_0_rmse: 0.51486 | val_1_rmse: 0.53652 |  0:01:37s
epoch 66 | loss: 0.28891 | val_0_rmse: 0.53682 | val_1_rmse: 0.55205 |  0:01:39s
epoch 67 | loss: 0.30086 | val_0_rmse: 0.55033 | val_1_rmse: 0.57365 |  0:01:40s
epoch 68 | loss: 0.30511 | val_0_rmse: 0.52738 | val_1_rmse: 0.54177 |  0:01:42s
epoch 69 | loss: 0.29674 | val_0_rmse: 0.53836 | val_1_rmse: 0.56353 |  0:01:43s
epoch 70 | loss: 0.29374 | val_0_rmse: 0.51432 | val_1_rmse: 0.53288 |  0:01:45s
epoch 71 | loss: 0.28997 | val_0_rmse: 0.52541 | val_1_rmse: 0.54819 |  0:01:46s
epoch 72 | loss: 0.2952  | val_0_rmse: 0.53356 | val_1_rmse: 0.55105 |  0:01:47s
epoch 73 | loss: 0.29074 | val_0_rmse: 0.51065 | val_1_rmse: 0.53054 |  0:01:49s
epoch 74 | loss: 0.28757 | val_0_rmse: 0.52887 | val_1_rmse: 0.54519 |  0:01:50s
epoch 75 | loss: 0.29916 | val_0_rmse: 0.53059 | val_1_rmse: 0.55321 |  0:01:52s
epoch 76 | loss: 0.29065 | val_0_rmse: 0.53992 | val_1_rmse: 0.55452 |  0:01:53s
epoch 77 | loss: 0.29868 | val_0_rmse: 0.52931 | val_1_rmse: 0.55092 |  0:01:55s
epoch 78 | loss: 0.29358 | val_0_rmse: 0.52514 | val_1_rmse: 0.54576 |  0:01:56s
epoch 79 | loss: 0.2962  | val_0_rmse: 0.56624 | val_1_rmse: 0.57708 |  0:01:58s
epoch 80 | loss: 0.29462 | val_0_rmse: 0.53722 | val_1_rmse: 0.56313 |  0:01:59s
epoch 81 | loss: 0.29776 | val_0_rmse: 0.51808 | val_1_rmse: 0.54025 |  0:02:00s
epoch 82 | loss: 0.29096 | val_0_rmse: 0.52731 | val_1_rmse: 0.54825 |  0:02:02s
epoch 83 | loss: 0.29375 | val_0_rmse: 0.5244  | val_1_rmse: 0.54237 |  0:02:03s
epoch 84 | loss: 0.29466 | val_0_rmse: 0.50926 | val_1_rmse: 0.52742 |  0:02:05s
epoch 85 | loss: 0.2869  | val_0_rmse: 0.52871 | val_1_rmse: 0.551   |  0:02:06s
epoch 86 | loss: 0.2849  | val_0_rmse: 0.51448 | val_1_rmse: 0.53641 |  0:02:08s
epoch 87 | loss: 0.28258 | val_0_rmse: 0.55352 | val_1_rmse: 0.57445 |  0:02:09s
epoch 88 | loss: 0.29374 | val_0_rmse: 0.51701 | val_1_rmse: 0.53618 |  0:02:10s
epoch 89 | loss: 0.29182 | val_0_rmse: 0.52243 | val_1_rmse: 0.54283 |  0:02:12s
epoch 90 | loss: 0.29423 | val_0_rmse: 0.52616 | val_1_rmse: 0.54936 |  0:02:13s
epoch 91 | loss: 0.29715 | val_0_rmse: 0.5273  | val_1_rmse: 0.54783 |  0:02:15s
epoch 92 | loss: 0.28901 | val_0_rmse: 0.51087 | val_1_rmse: 0.53015 |  0:02:16s
epoch 93 | loss: 0.29612 | val_0_rmse: 0.53901 | val_1_rmse: 0.55758 |  0:02:18s
epoch 94 | loss: 0.29884 | val_0_rmse: 0.54215 | val_1_rmse: 0.56489 |  0:02:19s
epoch 95 | loss: 0.29334 | val_0_rmse: 0.53825 | val_1_rmse: 0.55534 |  0:02:20s
epoch 96 | loss: 0.29568 | val_0_rmse: 0.5151  | val_1_rmse: 0.5323  |  0:02:22s
epoch 97 | loss: 0.29311 | val_0_rmse: 0.50781 | val_1_rmse: 0.52917 |  0:02:23s
epoch 98 | loss: 0.29165 | val_0_rmse: 0.51292 | val_1_rmse: 0.53563 |  0:02:25s
epoch 99 | loss: 0.28246 | val_0_rmse: 0.51175 | val_1_rmse: 0.5363  |  0:02:26s
epoch 100| loss: 0.28556 | val_0_rmse: 0.53971 | val_1_rmse: 0.568   |  0:02:28s
epoch 101| loss: 0.28364 | val_0_rmse: 0.5342  | val_1_rmse: 0.56198 |  0:02:29s
epoch 102| loss: 0.28586 | val_0_rmse: 0.51731 | val_1_rmse: 0.54001 |  0:02:31s
epoch 103| loss: 0.28717 | val_0_rmse: 0.51111 | val_1_rmse: 0.53397 |  0:02:32s
epoch 104| loss: 0.2827  | val_0_rmse: 0.50702 | val_1_rmse: 0.52911 |  0:02:33s
epoch 105| loss: 0.28238 | val_0_rmse: 0.50425 | val_1_rmse: 0.52879 |  0:02:35s
epoch 106| loss: 0.28352 | val_0_rmse: 0.5331  | val_1_rmse: 0.55415 |  0:02:36s
epoch 107| loss: 0.28525 | val_0_rmse: 0.51444 | val_1_rmse: 0.53888 |  0:02:38s
epoch 108| loss: 0.28754 | val_0_rmse: 0.51783 | val_1_rmse: 0.53705 |  0:02:39s
epoch 109| loss: 0.28137 | val_0_rmse: 0.50492 | val_1_rmse: 0.53102 |  0:02:41s
epoch 110| loss: 0.2866  | val_0_rmse: 0.50382 | val_1_rmse: 0.52734 |  0:02:42s
epoch 111| loss: 0.27958 | val_0_rmse: 0.50508 | val_1_rmse: 0.53078 |  0:02:43s
epoch 112| loss: 0.27761 | val_0_rmse: 0.50562 | val_1_rmse: 0.52858 |  0:02:45s
epoch 113| loss: 0.27849 | val_0_rmse: 0.5015  | val_1_rmse: 0.52355 |  0:02:46s
epoch 114| loss: 0.27876 | val_0_rmse: 0.516   | val_1_rmse: 0.53752 |  0:02:48s
epoch 115| loss: 0.28507 | val_0_rmse: 0.53031 | val_1_rmse: 0.54782 |  0:02:49s
epoch 116| loss: 0.28119 | val_0_rmse: 0.52597 | val_1_rmse: 0.55159 |  0:02:51s
epoch 117| loss: 0.28625 | val_0_rmse: 0.51831 | val_1_rmse: 0.53895 |  0:02:52s
epoch 118| loss: 0.27944 | val_0_rmse: 0.50519 | val_1_rmse: 0.53178 |  0:02:53s
epoch 119| loss: 0.27478 | val_0_rmse: 0.52589 | val_1_rmse: 0.55388 |  0:02:55s
epoch 120| loss: 0.27015 | val_0_rmse: 0.50312 | val_1_rmse: 0.52839 |  0:02:56s
epoch 121| loss: 0.2735  | val_0_rmse: 0.5229  | val_1_rmse: 0.54611 |  0:02:58s
epoch 122| loss: 0.2836  | val_0_rmse: 0.49855 | val_1_rmse: 0.52375 |  0:02:59s
epoch 123| loss: 0.278   | val_0_rmse: 0.49769 | val_1_rmse: 0.52408 |  0:03:01s
epoch 124| loss: 0.27972 | val_0_rmse: 0.51589 | val_1_rmse: 0.54888 |  0:03:02s
epoch 125| loss: 0.27324 | val_0_rmse: 0.50479 | val_1_rmse: 0.52846 |  0:03:04s
epoch 126| loss: 0.29292 | val_0_rmse: 0.5249  | val_1_rmse: 0.5549  |  0:03:05s
