TabNet Logs:

Saving copy of script...
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 13:18:42
epoch 0  | loss: 0.80364 | val_0_rmse: 0.81442 | val_1_rmse: 0.81089 |  0:00:04s
epoch 1  | loss: 0.63812 | val_0_rmse: 0.78672 | val_1_rmse: 0.79623 |  0:00:06s
epoch 2  | loss: 0.56545 | val_0_rmse: 0.7465  | val_1_rmse: 0.74165 |  0:00:08s
epoch 3  | loss: 0.52874 | val_0_rmse: 0.70584 | val_1_rmse: 0.7119  |  0:00:09s
epoch 4  | loss: 0.49607 | val_0_rmse: 0.67415 | val_1_rmse: 0.67563 |  0:00:11s
epoch 5  | loss: 0.46218 | val_0_rmse: 0.66669 | val_1_rmse: 0.67291 |  0:00:13s
epoch 6  | loss: 0.46795 | val_0_rmse: 0.66831 | val_1_rmse: 0.67653 |  0:00:15s
epoch 7  | loss: 0.44213 | val_0_rmse: 0.63711 | val_1_rmse: 0.64315 |  0:00:17s
epoch 8  | loss: 0.43938 | val_0_rmse: 0.69578 | val_1_rmse: 0.70378 |  0:00:19s
epoch 9  | loss: 0.4265  | val_0_rmse: 0.64073 | val_1_rmse: 0.64693 |  0:00:21s
epoch 10 | loss: 0.42002 | val_0_rmse: 0.61723 | val_1_rmse: 0.62095 |  0:00:23s
epoch 11 | loss: 0.41859 | val_0_rmse: 0.63535 | val_1_rmse: 0.63111 |  0:00:25s
epoch 12 | loss: 0.41754 | val_0_rmse: 0.62626 | val_1_rmse: 0.63146 |  0:00:27s
epoch 13 | loss: 0.41349 | val_0_rmse: 0.6339  | val_1_rmse: 0.6381  |  0:00:29s
epoch 14 | loss: 0.42397 | val_0_rmse: 0.62296 | val_1_rmse: 0.62846 |  0:00:31s
epoch 15 | loss: 0.40784 | val_0_rmse: 0.73253 | val_1_rmse: 0.74522 |  0:00:33s
epoch 16 | loss: 0.4078  | val_0_rmse: 0.61103 | val_1_rmse: 0.6177  |  0:00:35s
epoch 17 | loss: 0.40026 | val_0_rmse: 0.60811 | val_1_rmse: 0.61468 |  0:00:37s
epoch 18 | loss: 0.39733 | val_0_rmse: 0.59346 | val_1_rmse: 0.60039 |  0:00:39s
epoch 19 | loss: 0.38647 | val_0_rmse: 0.60213 | val_1_rmse: 0.60778 |  0:00:41s
epoch 20 | loss: 0.39805 | val_0_rmse: 0.64464 | val_1_rmse: 0.64478 |  0:00:43s
epoch 21 | loss: 0.41616 | val_0_rmse: 0.65961 | val_1_rmse: 0.66433 |  0:00:45s
epoch 22 | loss: 0.43618 | val_0_rmse: 0.67106 | val_1_rmse: 0.67221 |  0:00:47s
epoch 23 | loss: 0.46151 | val_0_rmse: 0.70822 | val_1_rmse: 0.70641 |  0:00:49s
epoch 24 | loss: 0.47337 | val_0_rmse: 0.66148 | val_1_rmse: 0.66531 |  0:00:51s
epoch 25 | loss: 0.43374 | val_0_rmse: 0.63208 | val_1_rmse: 0.64118 |  0:00:53s
epoch 26 | loss: 0.42563 | val_0_rmse: 0.68016 | val_1_rmse: 0.68241 |  0:00:55s
epoch 27 | loss: 0.41734 | val_0_rmse: 0.65997 | val_1_rmse: 0.6743  |  0:00:57s
epoch 28 | loss: 0.42171 | val_0_rmse: 0.67204 | val_1_rmse: 0.67884 |  0:00:59s
epoch 29 | loss: 0.41662 | val_0_rmse: 0.66461 | val_1_rmse: 0.66696 |  0:01:01s
epoch 30 | loss: 0.40826 | val_0_rmse: 0.65715 | val_1_rmse: 0.66368 |  0:01:03s
epoch 31 | loss: 0.39919 | val_0_rmse: 0.62924 | val_1_rmse: 0.63641 |  0:01:05s
epoch 32 | loss: 0.39689 | val_0_rmse: 0.76755 | val_1_rmse: 0.77276 |  0:01:07s
epoch 33 | loss: 0.39846 | val_0_rmse: 0.61705 | val_1_rmse: 0.63223 |  0:01:09s
epoch 34 | loss: 0.39131 | val_0_rmse: 0.64139 | val_1_rmse: 0.64954 |  0:01:11s
epoch 35 | loss: 0.38462 | val_0_rmse: 0.65405 | val_1_rmse: 0.67159 |  0:01:13s
epoch 36 | loss: 0.4054  | val_0_rmse: 0.92955 | val_1_rmse: 0.94489 |  0:01:15s
epoch 37 | loss: 0.3931  | val_0_rmse: 0.83703 | val_1_rmse: 0.83878 |  0:01:17s
epoch 38 | loss: 0.40163 | val_0_rmse: 0.69946 | val_1_rmse: 0.69252 |  0:01:19s
epoch 39 | loss: 0.40262 | val_0_rmse: 0.67197 | val_1_rmse: 0.67204 |  0:01:21s
epoch 40 | loss: 0.38978 | val_0_rmse: 0.58785 | val_1_rmse: 0.60038 |  0:01:23s
epoch 41 | loss: 0.38594 | val_0_rmse: 0.60074 | val_1_rmse: 0.61166 |  0:01:25s
epoch 42 | loss: 0.37948 | val_0_rmse: 0.63837 | val_1_rmse: 0.64508 |  0:01:27s
epoch 43 | loss: 0.37995 | val_0_rmse: 0.60642 | val_1_rmse: 0.61814 |  0:01:29s
epoch 44 | loss: 0.37396 | val_0_rmse: 0.59901 | val_1_rmse: 0.60809 |  0:01:31s
epoch 45 | loss: 0.37908 | val_0_rmse: 0.58839 | val_1_rmse: 0.59976 |  0:01:33s
epoch 46 | loss: 0.38024 | val_0_rmse: 0.59614 | val_1_rmse: 0.6015  |  0:01:35s
epoch 47 | loss: 0.3696  | val_0_rmse: 0.59994 | val_1_rmse: 0.60774 |  0:01:37s
epoch 48 | loss: 0.36354 | val_0_rmse: 0.59862 | val_1_rmse: 0.60467 |  0:01:39s
epoch 49 | loss: 0.36561 | val_0_rmse: 0.68162 | val_1_rmse: 0.69736 |  0:01:41s
epoch 50 | loss: 0.37537 | val_0_rmse: 0.5884  | val_1_rmse: 0.59938 |  0:01:43s
epoch 51 | loss: 0.36244 | val_0_rmse: 0.57464 | val_1_rmse: 0.58565 |  0:01:45s
epoch 52 | loss: 0.35869 | val_0_rmse: 0.58395 | val_1_rmse: 0.59064 |  0:01:47s
epoch 53 | loss: 0.38129 | val_0_rmse: 0.59356 | val_1_rmse: 0.60177 |  0:01:49s
epoch 54 | loss: 0.36929 | val_0_rmse: 0.59134 | val_1_rmse: 0.60346 |  0:01:51s
epoch 55 | loss: 0.36736 | val_0_rmse: 0.58555 | val_1_rmse: 0.59428 |  0:01:53s
epoch 56 | loss: 0.36388 | val_0_rmse: 0.58542 | val_1_rmse: 0.59766 |  0:01:55s
epoch 57 | loss: 0.35698 | val_0_rmse: 0.57889 | val_1_rmse: 0.59145 |  0:01:56s
epoch 58 | loss: 0.36143 | val_0_rmse: 0.57791 | val_1_rmse: 0.59392 |  0:01:58s
epoch 59 | loss: 0.36829 | val_0_rmse: 0.57798 | val_1_rmse: 0.59052 |  0:02:00s
epoch 60 | loss: 0.37207 | val_0_rmse: 0.60768 | val_1_rmse: 0.61603 |  0:02:02s
epoch 61 | loss: 0.36672 | val_0_rmse: 0.58506 | val_1_rmse: 0.59484 |  0:02:04s
epoch 62 | loss: 0.36165 | val_0_rmse: 0.58202 | val_1_rmse: 0.59551 |  0:02:06s
epoch 63 | loss: 0.35373 | val_0_rmse: 0.58183 | val_1_rmse: 0.59578 |  0:02:08s
