TabNet Logs:

Saving copy of script...
In this script all datasets are decreased in size down to the size of the smallest dataset by sampling random rows and deleting them from the dataThis is done to test the possibility that the variance in datasets sizes is decreasing performanceBy evening out the sizes its excepted that the model achieves better performance
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 09:27:08
epoch 0  | loss: 0.80429 | val_0_rmse: 0.81513 | val_1_rmse: 0.81911 |  0:00:04s
epoch 1  | loss: 0.55886 | val_0_rmse: 0.73872 | val_1_rmse: 0.76389 |  0:00:05s
epoch 2  | loss: 0.47478 | val_0_rmse: 0.70438 | val_1_rmse: 0.71614 |  0:00:07s
epoch 3  | loss: 0.41959 | val_0_rmse: 0.63344 | val_1_rmse: 0.65075 |  0:00:08s
epoch 4  | loss: 0.39013 | val_0_rmse: 0.61021 | val_1_rmse: 0.63299 |  0:00:09s
epoch 5  | loss: 0.3807  | val_0_rmse: 0.60545 | val_1_rmse: 0.62302 |  0:00:10s
epoch 6  | loss: 0.36117 | val_0_rmse: 0.58285 | val_1_rmse: 0.59629 |  0:00:11s
epoch 7  | loss: 0.3622  | val_0_rmse: 0.57875 | val_1_rmse: 0.59515 |  0:00:12s
epoch 8  | loss: 0.36048 | val_0_rmse: 0.63251 | val_1_rmse: 0.64422 |  0:00:13s
epoch 9  | loss: 0.3567  | val_0_rmse: 0.6054  | val_1_rmse: 0.62194 |  0:00:14s
epoch 10 | loss: 0.34307 | val_0_rmse: 0.55949 | val_1_rmse: 0.57747 |  0:00:15s
epoch 11 | loss: 0.3358  | val_0_rmse: 0.55104 | val_1_rmse: 0.57257 |  0:00:16s
