TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: DataBase_Era.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 03:30:40
epoch 0  | loss: 1.68231 | val_0_rmse: 1.00455 | val_1_rmse: 0.98893 |  0:00:02s
epoch 1  | loss: 1.07703 | val_0_rmse: 1.0034  | val_1_rmse: 0.98878 |  0:00:03s
epoch 2  | loss: 0.96405 | val_0_rmse: 0.95461 | val_1_rmse: 0.93579 |  0:00:04s
epoch 3  | loss: 0.83011 | val_0_rmse: 0.85762 | val_1_rmse: 0.86629 |  0:00:04s
epoch 4  | loss: 0.67287 | val_0_rmse: 0.83497 | val_1_rmse: 0.84936 |  0:00:05s
epoch 5  | loss: 0.57511 | val_0_rmse: 0.7889  | val_1_rmse: 0.80477 |  0:00:06s
epoch 6  | loss: 0.54045 | val_0_rmse: 0.78848 | val_1_rmse: 0.80164 |  0:00:06s
epoch 7  | loss: 0.51219 | val_0_rmse: 0.74599 | val_1_rmse: 0.79739 |  0:00:07s
epoch 8  | loss: 0.48663 | val_0_rmse: 0.71713 | val_1_rmse: 0.78778 |  0:00:08s
epoch 9  | loss: 0.44952 | val_0_rmse: 0.72611 | val_1_rmse: 0.74746 |  0:00:08s
epoch 10 | loss: 0.44944 | val_0_rmse: 0.73166 | val_1_rmse: 0.74149 |  0:00:09s
epoch 11 | loss: 0.4441  | val_0_rmse: 0.72774 | val_1_rmse: 0.73822 |  0:00:10s
epoch 12 | loss: 0.43195 | val_0_rmse: 0.71559 | val_1_rmse: 0.73239 |  0:00:10s
epoch 13 | loss: 0.41361 | val_0_rmse: 0.73162 | val_1_rmse: 0.73633 |  0:00:11s
epoch 14 | loss: 0.41784 | val_0_rmse: 0.70045 | val_1_rmse: 0.71629 |  0:00:12s
epoch 15 | loss: 0.40295 | val_0_rmse: 0.67428 | val_1_rmse: 0.69356 |  0:00:12s
epoch 16 | loss: 0.38646 | val_0_rmse: 0.65818 | val_1_rmse: 0.68644 |  0:00:13s
epoch 17 | loss: 0.37845 | val_0_rmse: 0.67318 | val_1_rmse: 0.70219 |  0:00:14s
epoch 18 | loss: 0.36945 | val_0_rmse: 0.66608 | val_1_rmse: 0.68907 |  0:00:15s
epoch 19 | loss: 0.35401 | val_0_rmse: 0.64665 | val_1_rmse: 0.67497 |  0:00:15s
epoch 20 | loss: 0.33745 | val_0_rmse: 0.65298 | val_1_rmse: 0.67718 |  0:00:16s
epoch 21 | loss: 0.32722 | val_0_rmse: 0.65167 | val_1_rmse: 0.67423 |  0:00:17s
epoch 22 | loss: 0.31635 | val_0_rmse: 0.66139 | val_1_rmse: 0.68277 |  0:00:17s
epoch 23 | loss: 0.31514 | val_0_rmse: 0.62845 | val_1_rmse: 0.66208 |  0:00:18s
epoch 24 | loss: 0.29765 | val_0_rmse: 0.63762 | val_1_rmse: 0.67103 |  0:00:19s
epoch 25 | loss: 0.30147 | val_0_rmse: 0.65708 | val_1_rmse: 0.68405 |  0:00:19s
epoch 26 | loss: 0.29914 | val_0_rmse: 0.62984 | val_1_rmse: 0.66326 |  0:00:20s
epoch 27 | loss: 0.29685 | val_0_rmse: 0.68911 | val_1_rmse: 0.71337 |  0:00:21s
epoch 28 | loss: 0.29671 | val_0_rmse: 0.65998 | val_1_rmse: 0.68794 |  0:00:21s
epoch 29 | loss: 0.28769 | val_0_rmse: 0.60289 | val_1_rmse: 0.65003 |  0:00:22s
epoch 30 | loss: 0.27175 | val_0_rmse: 0.5947  | val_1_rmse: 0.63512 |  0:00:22s
epoch 31 | loss: 0.27327 | val_0_rmse: 0.59825 | val_1_rmse: 0.64101 |  0:00:23s
epoch 32 | loss: 0.25417 | val_0_rmse: 0.59713 | val_1_rmse: 0.64003 |  0:00:24s
epoch 33 | loss: 0.25194 | val_0_rmse: 0.60305 | val_1_rmse: 0.64789 |  0:00:24s
epoch 34 | loss: 0.24235 | val_0_rmse: 0.60119 | val_1_rmse: 0.63683 |  0:00:25s
epoch 35 | loss: 0.2396  | val_0_rmse: 0.60443 | val_1_rmse: 0.64236 |  0:00:26s
epoch 36 | loss: 0.23141 | val_0_rmse: 0.56535 | val_1_rmse: 0.60744 |  0:00:26s
epoch 37 | loss: 0.23153 | val_0_rmse: 0.58896 | val_1_rmse: 0.63387 |  0:00:27s
epoch 38 | loss: 0.22196 | val_0_rmse: 0.59104 | val_1_rmse: 0.62549 |  0:00:28s
epoch 39 | loss: 0.22223 | val_0_rmse: 0.56127 | val_1_rmse: 0.606   |  0:00:28s
epoch 40 | loss: 0.22286 | val_0_rmse: 0.55493 | val_1_rmse: 0.60181 |  0:00:29s
epoch 41 | loss: 0.20507 | val_0_rmse: 0.55085 | val_1_rmse: 0.59702 |  0:00:30s
epoch 42 | loss: 0.21427 | val_0_rmse: 0.55541 | val_1_rmse: 0.60032 |  0:00:31s
epoch 43 | loss: 0.21344 | val_0_rmse: 0.56085 | val_1_rmse: 0.60675 |  0:00:31s
epoch 44 | loss: 0.20873 | val_0_rmse: 0.54082 | val_1_rmse: 0.59548 |  0:00:32s
epoch 45 | loss: 0.20354 | val_0_rmse: 0.53447 | val_1_rmse: 0.59171 |  0:00:33s
epoch 46 | loss: 0.2122  | val_0_rmse: 0.53787 | val_1_rmse: 0.58989 |  0:00:33s
epoch 47 | loss: 0.19829 | val_0_rmse: 0.58101 | val_1_rmse: 0.61913 |  0:00:34s
epoch 48 | loss: 0.2033  | val_0_rmse: 0.52577 | val_1_rmse: 0.58932 |  0:00:35s
epoch 49 | loss: 0.19684 | val_0_rmse: 0.5132  | val_1_rmse: 0.56834 |  0:00:35s
epoch 50 | loss: 0.19983 | val_0_rmse: 0.51841 | val_1_rmse: 0.57283 |  0:00:36s
epoch 51 | loss: 0.18662 | val_0_rmse: 0.51296 | val_1_rmse: 0.56014 |  0:00:37s
epoch 52 | loss: 0.18168 | val_0_rmse: 0.49979 | val_1_rmse: 0.55974 |  0:00:38s
epoch 53 | loss: 0.17429 | val_0_rmse: 0.48554 | val_1_rmse: 0.54502 |  0:00:39s
epoch 54 | loss: 0.17573 | val_0_rmse: 0.48719 | val_1_rmse: 0.5441  |  0:00:39s
epoch 55 | loss: 0.17254 | val_0_rmse: 0.46968 | val_1_rmse: 0.53111 |  0:00:40s
epoch 56 | loss: 0.16902 | val_0_rmse: 0.46389 | val_1_rmse: 0.51834 |  0:00:41s
epoch 57 | loss: 0.1753  | val_0_rmse: 0.46459 | val_1_rmse: 0.5246  |  0:00:42s
epoch 58 | loss: 0.17073 | val_0_rmse: 0.48898 | val_1_rmse: 0.54472 |  0:00:42s
epoch 59 | loss: 0.16189 | val_0_rmse: 0.46854 | val_1_rmse: 0.52307 |  0:00:43s
epoch 60 | loss: 0.16672 | val_0_rmse: 0.44419 | val_1_rmse: 0.50729 |  0:00:44s
epoch 61 | loss: 0.15751 | val_0_rmse: 0.45202 | val_1_rmse: 0.5163  |  0:00:44s
epoch 62 | loss: 0.15094 | val_0_rmse: 0.43958 | val_1_rmse: 0.50995 |  0:00:45s
epoch 63 | loss: 0.14965 | val_0_rmse: 0.44629 | val_1_rmse: 0.51236 |  0:00:46s
epoch 64 | loss: 0.16427 | val_0_rmse: 0.47682 | val_1_rmse: 0.52454 |  0:00:47s
epoch 65 | loss: 0.16762 | val_0_rmse: 0.46149 | val_1_rmse: 0.52044 |  0:00:47s
epoch 66 | loss: 0.16483 | val_0_rmse: 0.44426 | val_1_rmse: 0.50801 |  0:00:48s
epoch 67 | loss: 0.16569 | val_0_rmse: 0.4238  | val_1_rmse: 0.49359 |  0:00:49s
epoch 68 | loss: 0.16116 | val_0_rmse: 0.42595 | val_1_rmse: 0.49477 |  0:00:50s
epoch 69 | loss: 0.1502  | val_0_rmse: 0.42346 | val_1_rmse: 0.49994 |  0:00:50s
epoch 70 | loss: 0.15424 | val_0_rmse: 0.40454 | val_1_rmse: 0.47607 |  0:00:51s
epoch 71 | loss: 0.14583 | val_0_rmse: 0.39949 | val_1_rmse: 0.47919 |  0:00:51s
epoch 72 | loss: 0.15137 | val_0_rmse: 0.41048 | val_1_rmse: 0.49659 |  0:00:52s
epoch 73 | loss: 0.15895 | val_0_rmse: 0.41768 | val_1_rmse: 0.49045 |  0:00:53s
epoch 74 | loss: 0.15816 | val_0_rmse: 0.41351 | val_1_rmse: 0.4773  |  0:00:53s
epoch 75 | loss: 0.16601 | val_0_rmse: 0.44102 | val_1_rmse: 0.50782 |  0:00:54s
epoch 76 | loss: 0.16957 | val_0_rmse: 0.39983 | val_1_rmse: 0.47789 |  0:00:55s
epoch 77 | loss: 0.17181 | val_0_rmse: 0.4063  | val_1_rmse: 0.49289 |  0:00:55s
epoch 78 | loss: 0.16201 | val_0_rmse: 0.42579 | val_1_rmse: 0.48928 |  0:00:56s
epoch 79 | loss: 0.17714 | val_0_rmse: 0.41316 | val_1_rmse: 0.49404 |  0:00:57s
epoch 80 | loss: 0.17512 | val_0_rmse: 0.41264 | val_1_rmse: 0.48761 |  0:00:57s
epoch 81 | loss: 0.17509 | val_0_rmse: 0.41374 | val_1_rmse: 0.48633 |  0:00:58s
epoch 82 | loss: 0.2018  | val_0_rmse: 0.43878 | val_1_rmse: 0.52522 |  0:00:59s
epoch 83 | loss: 0.20387 | val_0_rmse: 0.46241 | val_1_rmse: 0.52061 |  0:00:59s
epoch 84 | loss: 0.20224 | val_0_rmse: 0.473   | val_1_rmse: 0.52867 |  0:01:00s
epoch 85 | loss: 0.18699 | val_0_rmse: 0.41585 | val_1_rmse: 0.49235 |  0:01:01s
epoch 86 | loss: 0.1717  | val_0_rmse: 0.3892  | val_1_rmse: 1.64483 |  0:01:01s
epoch 87 | loss: 0.16344 | val_0_rmse: 0.39215 | val_1_rmse: 1.2982  |  0:01:02s
epoch 88 | loss: 0.15773 | val_0_rmse: 0.40179 | val_1_rmse: 0.47786 |  0:01:03s
epoch 89 | loss: 0.16626 | val_0_rmse: 0.43399 | val_1_rmse: 0.50544 |  0:01:03s
epoch 90 | loss: 0.16255 | val_0_rmse: 0.39725 | val_1_rmse: 0.46897 |  0:01:04s
epoch 91 | loss: 0.15249 | val_0_rmse: 0.36529 | val_1_rmse: 0.44735 |  0:01:05s
epoch 92 | loss: 0.14478 | val_0_rmse: 0.35219 | val_1_rmse: 0.45082 |  0:01:06s
epoch 93 | loss: 0.13957 | val_0_rmse: 0.35017 | val_1_rmse: 0.45257 |  0:01:06s
epoch 94 | loss: 0.14495 | val_0_rmse: 0.34292 | val_1_rmse: 0.43989 |  0:01:07s
epoch 95 | loss: 0.13874 | val_0_rmse: 0.35802 | val_1_rmse: 0.445   |  0:01:08s
epoch 96 | loss: 0.17082 | val_0_rmse: 0.39254 | val_1_rmse: 0.47011 |  0:01:08s
epoch 97 | loss: 0.18279 | val_0_rmse: 0.3999  | val_1_rmse: 0.48445 |  0:01:09s
epoch 98 | loss: 0.19506 | val_0_rmse: 0.4315  | val_1_rmse: 0.5193  |  0:01:09s
epoch 99 | loss: 0.17974 | val_0_rmse: 0.3893  | val_1_rmse: 0.47479 |  0:01:10s
epoch 100| loss: 0.16902 | val_0_rmse: 0.38623 | val_1_rmse: 0.47419 |  0:01:11s
epoch 101| loss: 0.15914 | val_0_rmse: 0.38747 | val_1_rmse: 0.47995 |  0:01:12s
epoch 102| loss: 0.1623  | val_0_rmse: 0.36658 | val_1_rmse: 0.46751 |  0:01:12s
epoch 103| loss: 0.15941 | val_0_rmse: 0.36869 | val_1_rmse: 0.45097 |  0:01:13s
epoch 104| loss: 0.15943 | val_0_rmse: 0.36001 | val_1_rmse: 0.44615 |  0:01:14s
epoch 105| loss: 0.14767 | val_0_rmse: 0.36199 | val_1_rmse: 0.45743 |  0:01:14s
epoch 106| loss: 0.14114 | val_0_rmse: 0.33866 | val_1_rmse: 0.44229 |  0:01:15s
epoch 107| loss: 0.14595 | val_0_rmse: 0.34523 | val_1_rmse: 0.43419 |  0:01:16s
epoch 108| loss: 0.15139 | val_0_rmse: 0.35059 | val_1_rmse: 0.43065 |  0:01:16s
epoch 109| loss: 0.14507 | val_0_rmse: 0.36464 | val_1_rmse: 0.44434 |  0:01:17s
epoch 110| loss: 0.14231 | val_0_rmse: 0.34169 | val_1_rmse: 0.42908 |  0:01:18s
epoch 111| loss: 0.13708 | val_0_rmse: 0.33484 | val_1_rmse: 0.42483 |  0:01:18s
epoch 112| loss: 0.13583 | val_0_rmse: 0.3273  | val_1_rmse: 0.42753 |  0:01:19s
epoch 113| loss: 0.13641 | val_0_rmse: 0.32366 | val_1_rmse: 0.42835 |  0:01:20s
epoch 114| loss: 0.12728 | val_0_rmse: 0.32463 | val_1_rmse: 0.42926 |  0:01:20s
epoch 115| loss: 0.125   | val_0_rmse: 0.3153  | val_1_rmse: 0.41894 |  0:01:21s
epoch 116| loss: 0.1218  | val_0_rmse: 0.31456 | val_1_rmse: 0.41583 |  0:01:22s
epoch 117| loss: 0.12036 | val_0_rmse: 0.31585 | val_1_rmse: 0.42699 |  0:01:22s
epoch 118| loss: 0.11696 | val_0_rmse: 0.31935 | val_1_rmse: 0.42869 |  0:01:23s
epoch 119| loss: 0.1232  | val_0_rmse: 0.30771 | val_1_rmse: 0.42626 |  0:01:24s
epoch 120| loss: 0.11973 | val_0_rmse: 0.30948 | val_1_rmse: 0.41927 |  0:01:24s
epoch 121| loss: 0.11245 | val_0_rmse: 0.30889 | val_1_rmse: 0.41705 |  0:01:25s
epoch 122| loss: 0.1126  | val_0_rmse: 0.31255 | val_1_rmse: 0.41555 |  0:01:26s
epoch 123| loss: 0.11519 | val_0_rmse: 0.3004  | val_1_rmse: 0.42141 |  0:01:26s
epoch 124| loss: 0.11681 | val_0_rmse: 0.29475 | val_1_rmse: 0.4253  |  0:01:27s
epoch 125| loss: 0.11306 | val_0_rmse: 0.29829 | val_1_rmse: 0.41899 |  0:01:28s
epoch 126| loss: 0.10423 | val_0_rmse: 0.29163 | val_1_rmse: 0.41155 |  0:01:28s
epoch 127| loss: 0.1102  | val_0_rmse: 0.29576 | val_1_rmse: 0.41689 |  0:01:29s
epoch 128| loss: 0.10642 | val_0_rmse: 0.29027 | val_1_rmse: 0.4104  |  0:01:30s
epoch 129| loss: 0.10222 | val_0_rmse: 0.28735 | val_1_rmse: 0.41479 |  0:01:31s
epoch 130| loss: 0.10375 | val_0_rmse: 0.29494 | val_1_rmse: 0.42332 |  0:01:32s
epoch 131| loss: 0.11061 | val_0_rmse: 0.29561 | val_1_rmse: 0.42145 |  0:01:32s
epoch 132| loss: 0.11333 | val_0_rmse: 0.2922  | val_1_rmse: 0.42249 |  0:01:33s
epoch 133| loss: 0.10267 | val_0_rmse: 0.28504 | val_1_rmse: 0.42553 |  0:01:33s
epoch 134| loss: 0.09843 | val_0_rmse: 0.28057 | val_1_rmse: 0.4179  |  0:01:34s
epoch 135| loss: 0.09814 | val_0_rmse: 0.28462 | val_1_rmse: 0.41982 |  0:01:35s
epoch 136| loss: 0.08997 | val_0_rmse: 0.26775 | val_1_rmse: 0.41587 |  0:01:35s
epoch 137| loss: 0.08945 | val_0_rmse: 0.26089 | val_1_rmse: 0.41433 |  0:01:36s
epoch 138| loss: 0.09111 | val_0_rmse: 0.26547 | val_1_rmse: 0.41685 |  0:01:37s
epoch 139| loss: 0.08763 | val_0_rmse: 0.25782 | val_1_rmse: 0.41417 |  0:01:38s
epoch 140| loss: 0.09803 | val_0_rmse: 0.27261 | val_1_rmse: 0.42283 |  0:01:39s
epoch 141| loss: 0.09404 | val_0_rmse: 0.2677  | val_1_rmse: 0.42365 |  0:01:39s
epoch 142| loss: 0.09325 | val_0_rmse: 0.26734 | val_1_rmse: 0.42362 |  0:01:40s
epoch 143| loss: 0.08867 | val_0_rmse: 0.26751 | val_1_rmse: 0.42163 |  0:01:41s
epoch 144| loss: 0.0898  | val_0_rmse: 0.27162 | val_1_rmse: 0.43478 |  0:01:41s
epoch 145| loss: 0.08964 | val_0_rmse: 0.28007 | val_1_rmse: 0.42789 |  0:01:42s
epoch 146| loss: 0.10483 | val_0_rmse: 0.32729 | val_1_rmse: 0.45106 |  0:01:43s
epoch 147| loss: 0.10469 | val_0_rmse: 0.28464 | val_1_rmse: 0.41709 |  0:01:43s
epoch 148| loss: 0.09987 | val_0_rmse: 0.27039 | val_1_rmse: 0.4024  |  0:01:44s
epoch 149| loss: 0.09323 | val_0_rmse: 0.27706 | val_1_rmse: 0.41069 |  0:01:45s
Stop training because you reached max_epochs = 150 with best_epoch = 148 and best_val_1_rmse = 0.4024
Best weights from best epoch are automatically used!
