TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: DataBase_Era.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 03:50:27
epoch 0  | loss: 1.94617 | val_0_rmse: 1.00305 | val_1_rmse: 0.99468 |  0:00:02s
epoch 1  | loss: 1.00025 | val_0_rmse: 0.99048 | val_1_rmse: 0.98613 |  0:00:03s
epoch 2  | loss: 0.8293  | val_0_rmse: 0.85977 | val_1_rmse: 0.84817 |  0:00:04s
epoch 3  | loss: 0.66427 | val_0_rmse: 0.78374 | val_1_rmse: 0.78926 |  0:00:04s
epoch 4  | loss: 0.60054 | val_0_rmse: 0.76189 | val_1_rmse: 0.76367 |  0:00:05s
epoch 5  | loss: 0.56516 | val_0_rmse: 0.73234 | val_1_rmse: 0.73618 |  0:00:06s
epoch 6  | loss: 0.52931 | val_0_rmse: 0.74599 | val_1_rmse: 0.74034 |  0:00:06s
epoch 7  | loss: 0.51054 | val_0_rmse: 0.73221 | val_1_rmse: 0.728   |  0:00:07s
epoch 8  | loss: 0.48698 | val_0_rmse: 0.7161  | val_1_rmse: 0.72186 |  0:00:07s
epoch 9  | loss: 0.47636 | val_0_rmse: 0.70819 | val_1_rmse: 0.70418 |  0:00:08s
epoch 10 | loss: 0.4427  | val_0_rmse: 0.68755 | val_1_rmse: 0.68544 |  0:00:09s
epoch 11 | loss: 0.43229 | val_0_rmse: 0.69238 | val_1_rmse: 0.68849 |  0:00:09s
epoch 12 | loss: 0.42048 | val_0_rmse: 0.69619 | val_1_rmse: 0.69083 |  0:00:10s
epoch 13 | loss: 0.38651 | val_0_rmse: 0.70395 | val_1_rmse: 0.69939 |  0:00:11s
epoch 14 | loss: 0.37221 | val_0_rmse: 0.70136 | val_1_rmse: 0.69395 |  0:00:11s
epoch 15 | loss: 0.35722 | val_0_rmse: 0.67717 | val_1_rmse: 0.67368 |  0:00:12s
epoch 16 | loss: 0.337   | val_0_rmse: 0.66797 | val_1_rmse: 0.66568 |  0:00:13s
epoch 17 | loss: 0.33217 | val_0_rmse: 0.66576 | val_1_rmse: 0.66004 |  0:00:13s
epoch 18 | loss: 0.32038 | val_0_rmse: 0.67305 | val_1_rmse: 0.6706  |  0:00:14s
epoch 19 | loss: 0.31325 | val_0_rmse: 0.65005 | val_1_rmse: 0.65147 |  0:00:14s
epoch 20 | loss: 0.30674 | val_0_rmse: 0.64622 | val_1_rmse: 0.65361 |  0:00:15s
epoch 21 | loss: 0.29148 | val_0_rmse: 0.63733 | val_1_rmse: 0.64983 |  0:00:16s
epoch 22 | loss: 0.28296 | val_0_rmse: 0.64728 | val_1_rmse: 0.66193 |  0:00:16s
epoch 23 | loss: 0.27564 | val_0_rmse: 0.64875 | val_1_rmse: 0.66012 |  0:00:17s
epoch 24 | loss: 0.27013 | val_0_rmse: 0.64446 | val_1_rmse: 0.65409 |  0:00:18s
epoch 25 | loss: 0.2613  | val_0_rmse: 0.62252 | val_1_rmse: 0.63491 |  0:00:18s
epoch 26 | loss: 0.24796 | val_0_rmse: 0.62937 | val_1_rmse: 0.64267 |  0:00:19s
epoch 27 | loss: 0.25834 | val_0_rmse: 0.61866 | val_1_rmse: 0.63999 |  0:00:20s
epoch 28 | loss: 0.25159 | val_0_rmse: 0.62772 | val_1_rmse: 0.64917 |  0:00:20s
