TabNet Logs:

Saving copy of script...
In this script only the augmented Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: DataBase_Era_augmented.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 15:24:21
epoch 0  | loss: 1.81595 | val_0_rmse: 1.00709 | val_1_rmse: 0.98819 |  0:00:02s
epoch 1  | loss: 1.06974 | val_0_rmse: 1.00217 | val_1_rmse: 0.98474 |  0:00:03s
epoch 2  | loss: 0.99833 | val_0_rmse: 1.00055 | val_1_rmse: 0.98631 |  0:00:04s
epoch 3  | loss: 0.96138 | val_0_rmse: 0.98473 | val_1_rmse: 0.9677  |  0:00:05s
epoch 4  | loss: 0.86362 | val_0_rmse: 0.87451 | val_1_rmse: 0.87257 |  0:00:05s
epoch 5  | loss: 0.75577 | val_0_rmse: 0.85972 | val_1_rmse: 0.86785 |  0:00:06s
epoch 6  | loss: 0.68731 | val_0_rmse: 0.84969 | val_1_rmse: 0.85144 |  0:00:07s
epoch 7  | loss: 0.61885 | val_0_rmse: 0.8704  | val_1_rmse: 0.86663 |  0:00:08s
epoch 8  | loss: 0.56577 | val_0_rmse: 0.88104 | val_1_rmse: 0.87613 |  0:00:09s
epoch 9  | loss: 0.51736 | val_0_rmse: 0.83547 | val_1_rmse: 0.81494 |  0:00:09s
epoch 10 | loss: 0.47324 | val_0_rmse: 0.79296 | val_1_rmse: 0.78279 |  0:00:10s
epoch 11 | loss: 0.42418 | val_0_rmse: 0.77092 | val_1_rmse: 0.77086 |  0:00:11s
epoch 12 | loss: 0.37475 | val_0_rmse: 0.75442 | val_1_rmse: 0.74991 |  0:00:11s
epoch 13 | loss: 0.34998 | val_0_rmse: 0.74994 | val_1_rmse: 0.74467 |  0:00:12s
epoch 14 | loss: 0.32326 | val_0_rmse: 0.7331  | val_1_rmse: 0.7317  |  0:00:13s
epoch 15 | loss: 0.31076 | val_0_rmse: 0.73499 | val_1_rmse: 0.73276 |  0:00:13s
epoch 16 | loss: 0.29865 | val_0_rmse: 0.70225 | val_1_rmse: 0.70225 |  0:00:14s
epoch 17 | loss: 0.27759 | val_0_rmse: 0.6961  | val_1_rmse: 0.69624 |  0:00:15s
epoch 18 | loss: 0.26869 | val_0_rmse: 0.68676 | val_1_rmse: 0.68732 |  0:00:15s
epoch 19 | loss: 0.25395 | val_0_rmse: 0.7004  | val_1_rmse: 0.70019 |  0:00:16s
epoch 20 | loss: 0.27094 | val_0_rmse: 0.7196  | val_1_rmse: 0.71972 |  0:00:17s
epoch 21 | loss: 0.2716  | val_0_rmse: 0.68211 | val_1_rmse: 0.68239 |  0:00:17s
epoch 22 | loss: 0.24738 | val_0_rmse: 0.66682 | val_1_rmse: 0.66625 |  0:00:18s
epoch 23 | loss: 0.23955 | val_0_rmse: 0.6883  | val_1_rmse: 0.68566 |  0:00:19s
epoch 24 | loss: 0.22356 | val_0_rmse: 0.66135 | val_1_rmse: 0.6666  |  0:00:20s
epoch 25 | loss: 0.2213  | val_0_rmse: 0.66158 | val_1_rmse: 0.65705 |  0:00:20s
epoch 26 | loss: 0.22163 | val_0_rmse: 0.63584 | val_1_rmse: 0.63412 |  0:00:21s
epoch 27 | loss: 0.20687 | val_0_rmse: 0.64131 | val_1_rmse: 0.64392 |  0:00:22s
epoch 28 | loss: 0.20662 | val_0_rmse: 0.63983 | val_1_rmse: 0.63695 |  0:00:22s
epoch 29 | loss: 0.19789 | val_0_rmse: 0.62738 | val_1_rmse: 0.62514 |  0:00:23s
epoch 30 | loss: 0.19777 | val_0_rmse: 0.61583 | val_1_rmse: 0.61487 |  0:00:24s
epoch 31 | loss: 0.19179 | val_0_rmse: 0.62352 | val_1_rmse: 0.6216  |  0:00:24s
epoch 32 | loss: 0.18631 | val_0_rmse: 0.6179  | val_1_rmse: 0.61703 |  0:00:25s
epoch 33 | loss: 0.18004 | val_0_rmse: 0.61945 | val_1_rmse: 0.62182 |  0:00:26s
epoch 34 | loss: 0.17261 | val_0_rmse: 0.59769 | val_1_rmse: 0.59933 |  0:00:26s
epoch 35 | loss: 0.17184 | val_0_rmse: 0.60859 | val_1_rmse: 0.61364 |  0:00:27s
