TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: Era_Coef_FloorArea.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 16:43:46
epoch 0  | loss: 1.97689 | val_0_rmse: 0.99857 | val_1_rmse: 1.01657 |  0:00:02s
epoch 1  | loss: 1.14723 | val_0_rmse: 0.96879 | val_1_rmse: 0.98767 |  0:00:03s
epoch 2  | loss: 0.94432 | val_0_rmse: 0.93661 | val_1_rmse: 0.95285 |  0:00:03s
epoch 3  | loss: 0.82275 | val_0_rmse: 0.87619 | val_1_rmse: 0.89665 |  0:00:04s
epoch 4  | loss: 0.75719 | val_0_rmse: 0.9533  | val_1_rmse: 0.95293 |  0:00:04s
epoch 5  | loss: 0.74037 | val_0_rmse: 0.87334 | val_1_rmse: 0.88651 |  0:00:05s
epoch 6  | loss: 0.71117 | val_0_rmse: 0.86727 | val_1_rmse: 0.87327 |  0:00:06s
epoch 7  | loss: 0.69449 | val_0_rmse: 0.84104 | val_1_rmse: 0.85056 |  0:00:06s
epoch 8  | loss: 0.66641 | val_0_rmse: 0.82974 | val_1_rmse: 0.84555 |  0:00:07s
epoch 9  | loss: 0.65359 | val_0_rmse: 0.83136 | val_1_rmse: 0.85472 |  0:00:07s
epoch 10 | loss: 0.62388 | val_0_rmse: 0.81161 | val_1_rmse: 0.83326 |  0:00:08s
epoch 11 | loss: 0.61454 | val_0_rmse: 0.80438 | val_1_rmse: 0.80909 |  0:00:08s
