TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: Era_Coef_Parish.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 05:08:22
epoch 0  | loss: 2.7362  | val_0_rmse: 1.0378  | val_1_rmse: 0.95573 |  0:00:02s
epoch 1  | loss: 1.3015  | val_0_rmse: 1.04203 | val_1_rmse: 0.97211 |  0:00:03s
epoch 2  | loss: 1.09723 | val_0_rmse: 1.02134 | val_1_rmse: 0.93824 |  0:00:03s
epoch 3  | loss: 1.03529 | val_0_rmse: 0.97838 | val_1_rmse: 0.89505 |  0:00:04s
epoch 4  | loss: 0.92667 | val_0_rmse: 0.92496 | val_1_rmse: 0.83236 |  0:00:04s
epoch 5  | loss: 0.84019 | val_0_rmse: 0.91469 | val_1_rmse: 0.82511 |  0:00:05s
epoch 6  | loss: 0.81139 | val_0_rmse: 0.88921 | val_1_rmse: 0.80194 |  0:00:06s
epoch 7  | loss: 0.78827 | val_0_rmse: 0.86331 | val_1_rmse: 0.77808 |  0:00:06s
epoch 8  | loss: 0.76607 | val_0_rmse: 0.85489 | val_1_rmse: 0.77212 |  0:00:07s
epoch 9  | loss: 0.74874 | val_0_rmse: 0.86659 | val_1_rmse: 0.7776  |  0:00:07s
epoch 10 | loss: 0.70625 | val_0_rmse: 0.86462 | val_1_rmse: 0.77689 |  0:00:08s
epoch 11 | loss: 0.67528 | val_0_rmse: 0.86507 | val_1_rmse: 0.78106 |  0:00:08s
