TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: Era_Coef_Parish.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 04:58:38
epoch 0  | loss: 2.26352 | val_0_rmse: 0.66342 | val_1_rmse: 0.75635 |  0:00:02s
epoch 1  | loss: 0.83793 | val_0_rmse: 0.66    | val_1_rmse: 0.75757 |  0:00:03s
epoch 2  | loss: 0.52533 | val_0_rmse: 0.67739 | val_1_rmse: 0.77105 |  0:00:03s
epoch 3  | loss: 0.42212 | val_0_rmse: 0.59724 | val_1_rmse: 0.70789 |  0:00:04s
epoch 4  | loss: 0.38435 | val_0_rmse: 0.67614 | val_1_rmse: 0.76943 |  0:00:04s
epoch 5  | loss: 0.33186 | val_0_rmse: 0.57968 | val_1_rmse: 0.70188 |  0:00:05s
epoch 6  | loss: 0.30121 | val_0_rmse: 0.57598 | val_1_rmse: 0.68717 |  0:00:06s
epoch 7  | loss: 0.3058  | val_0_rmse: 0.55754 | val_1_rmse: 0.6733  |  0:00:06s
epoch 8  | loss: 0.2923  | val_0_rmse: 0.53698 | val_1_rmse: 0.66036 |  0:00:07s
epoch 9  | loss: 0.26887 | val_0_rmse: 0.53375 | val_1_rmse: 0.66089 |  0:00:07s
epoch 10 | loss: 0.26538 | val_0_rmse: 0.51436 | val_1_rmse: 0.64906 |  0:00:08s
epoch 11 | loss: 0.24371 | val_0_rmse: 0.51515 | val_1_rmse: 0.64666 |  0:00:09s
epoch 12 | loss: 0.23806 | val_0_rmse: 0.51255 | val_1_rmse: 0.64384 |  0:00:09s
epoch 13 | loss: 0.23757 | val_0_rmse: 0.50044 | val_1_rmse: 0.63765 |  0:00:10s
epoch 14 | loss: 0.23093 | val_0_rmse: 0.49782 | val_1_rmse: 0.63337 |  0:00:10s
epoch 15 | loss: 0.22431 | val_0_rmse: 0.4927  | val_1_rmse: 0.62583 |  0:00:11s
epoch 16 | loss: 0.21804 | val_0_rmse: 0.49911 | val_1_rmse: 0.63136 |  0:00:12s
epoch 17 | loss: 0.21132 | val_0_rmse: 0.49127 | val_1_rmse: 0.62504 |  0:00:12s
epoch 18 | loss: 0.21249 | val_0_rmse: 0.50577 | val_1_rmse: 0.64151 |  0:00:13s
epoch 19 | loss: 0.20813 | val_0_rmse: 0.51049 | val_1_rmse: 0.64938 |  0:00:13s
epoch 20 | loss: 0.19971 | val_0_rmse: 0.48312 | val_1_rmse: 0.62791 |  0:00:14s
