TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: Era_Coef_Zone.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 05:09:53
epoch 0  | loss: 2.72699 | val_0_rmse: 1.01686 | val_1_rmse: 0.94432 |  0:00:02s
epoch 1  | loss: 1.27196 | val_0_rmse: 1.00548 | val_1_rmse: 0.93175 |  0:00:02s
epoch 2  | loss: 1.05802 | val_0_rmse: 0.98952 | val_1_rmse: 0.91451 |  0:00:03s
epoch 3  | loss: 0.97357 | val_0_rmse: 0.95177 | val_1_rmse: 0.877   |  0:00:03s
epoch 4  | loss: 0.9289  | val_0_rmse: 0.93053 | val_1_rmse: 0.84972 |  0:00:04s
epoch 5  | loss: 0.84288 | val_0_rmse: 0.88904 | val_1_rmse: 0.80429 |  0:00:04s
epoch 6  | loss: 0.83091 | val_0_rmse: 0.87616 | val_1_rmse: 0.79306 |  0:00:05s
epoch 7  | loss: 0.76582 | val_0_rmse: 0.87732 | val_1_rmse: 0.78229 |  0:00:05s
epoch 8  | loss: 0.72803 | val_0_rmse: 0.86532 | val_1_rmse: 0.76214 |  0:00:06s
epoch 9  | loss: 0.68213 | val_0_rmse: 0.88125 | val_1_rmse: 0.79076 |  0:00:06s
epoch 10 | loss: 0.65323 | val_0_rmse: 0.864   | val_1_rmse: 0.77268 |  0:00:07s
epoch 11 | loss: 0.62897 | val_0_rmse: 0.86724 | val_1_rmse: 0.76635 |  0:00:07s
epoch 12 | loss: 0.5759  | val_0_rmse: 0.90348 | val_1_rmse: 0.80332 |  0:00:08s
epoch 13 | loss: 0.55418 | val_0_rmse: 0.88305 | val_1_rmse: 0.77907 |  0:00:08s
epoch 14 | loss: 0.53452 | val_0_rmse: 0.88999 | val_1_rmse: 0.7907  |  0:00:09s
epoch 15 | loss: 0.52226 | val_0_rmse: 0.86323 | val_1_rmse: 0.7639  |  0:00:09s
epoch 16 | loss: 0.50642 | val_0_rmse: 0.86154 | val_1_rmse: 0.75827 |  0:00:09s
epoch 17 | loss: 0.48387 | val_0_rmse: 0.84241 | val_1_rmse: 0.74182 |  0:00:10s
epoch 18 | loss: 0.47994 | val_0_rmse: 0.84296 | val_1_rmse: 0.73718 |  0:00:10s
epoch 19 | loss: 0.48236 | val_0_rmse: 0.84605 | val_1_rmse: 0.73964 |  0:00:11s
epoch 20 | loss: 0.4531  | val_0_rmse: 0.84976 | val_1_rmse: 0.74178 |  0:00:11s
epoch 21 | loss: 0.4487  | val_0_rmse: 0.82395 | val_1_rmse: 0.71425 |  0:00:12s
epoch 22 | loss: 0.45322 | val_0_rmse: 0.80379 | val_1_rmse: 0.70027 |  0:00:12s
epoch 23 | loss: 0.45005 | val_0_rmse: 0.8426  | val_1_rmse: 0.74805 |  0:00:13s
epoch 24 | loss: 0.4446  | val_0_rmse: 0.85325 | val_1_rmse: 0.74961 |  0:00:13s
epoch 25 | loss: 0.44227 | val_0_rmse: 0.83817 | val_1_rmse: 0.73438 |  0:00:14s
epoch 26 | loss: 0.44291 | val_0_rmse: 0.8285  | val_1_rmse: 0.7375  |  0:00:14s
epoch 27 | loss: 0.43878 | val_0_rmse: 0.80378 | val_1_rmse: 0.71521 |  0:00:15s
epoch 28 | loss: 0.41269 | val_0_rmse: 0.79085 | val_1_rmse: 0.70275 |  0:00:15s
epoch 29 | loss: 0.43432 | val_0_rmse: 0.79817 | val_1_rmse: 0.70541 |  0:00:15s
epoch 30 | loss: 0.41293 | val_0_rmse: 0.77602 | val_1_rmse: 0.68364 |  0:00:16s
epoch 31 | loss: 0.39626 | val_0_rmse: 0.81089 | val_1_rmse: 0.71869 |  0:00:16s
