TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: Era_Coef_Zone.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 04:56:34
epoch 0  | loss: 3.37915 | val_0_rmse: 0.61797 | val_1_rmse: 0.66251 |  0:00:04s
epoch 1  | loss: 1.28702 | val_0_rmse: 0.75544 | val_1_rmse: 0.80417 |  0:00:05s
epoch 2  | loss: 0.54493 | val_0_rmse: 0.76244 | val_1_rmse: 0.81179 |  0:00:05s
epoch 3  | loss: 0.41112 | val_0_rmse: 0.67541 | val_1_rmse: 0.72215 |  0:00:06s
epoch 4  | loss: 0.37773 | val_0_rmse: 0.5915  | val_1_rmse: 0.63467 |  0:00:06s
epoch 5  | loss: 0.3644  | val_0_rmse: 0.55981 | val_1_rmse: 0.59617 |  0:00:07s
epoch 6  | loss: 0.34342 | val_0_rmse: 0.58403 | val_1_rmse: 0.62495 |  0:00:08s
epoch 7  | loss: 0.32212 | val_0_rmse: 0.56074 | val_1_rmse: 0.60179 |  0:00:08s
epoch 8  | loss: 0.30802 | val_0_rmse: 0.53736 | val_1_rmse: 0.56869 |  0:00:09s
epoch 9  | loss: 0.29079 | val_0_rmse: 0.51145 | val_1_rmse: 0.53615 |  0:00:09s
epoch 10 | loss: 0.27374 | val_0_rmse: 0.49912 | val_1_rmse: 0.51983 |  0:00:10s
epoch 11 | loss: 0.25842 | val_0_rmse: 0.4989  | val_1_rmse: 0.53387 |  0:00:10s
