TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: Era_Coef_TotalArea.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 16:48:10
epoch 0  | loss: 1.172   | val_0_rmse: 0.62966 | val_1_rmse: 0.62167 |  0:00:02s
epoch 1  | loss: 0.51461 | val_0_rmse: 0.62936 | val_1_rmse: 0.62082 |  0:00:03s
epoch 2  | loss: 0.40815 | val_0_rmse: 0.6268  | val_1_rmse: 0.61902 |  0:00:03s
epoch 3  | loss: 0.39034 | val_0_rmse: 0.61498 | val_1_rmse: 0.60908 |  0:00:04s
epoch 4  | loss: 0.38099 | val_0_rmse: 0.59744 | val_1_rmse: 0.59462 |  0:00:05s
epoch 5  | loss: 0.36812 | val_0_rmse: 0.59934 | val_1_rmse: 0.59705 |  0:00:05s
epoch 6  | loss: 0.35569 | val_0_rmse: 0.57781 | val_1_rmse: 0.57037 |  0:00:06s
epoch 7  | loss: 0.3464  | val_0_rmse: 0.5672  | val_1_rmse: 0.56174 |  0:00:06s
epoch 8  | loss: 0.33343 | val_0_rmse: 0.56478 | val_1_rmse: 0.56347 |  0:00:07s
epoch 9  | loss: 0.33262 | val_0_rmse: 0.56569 | val_1_rmse: 0.56226 |  0:00:08s
epoch 10 | loss: 0.31874 | val_0_rmse: 0.56496 | val_1_rmse: 0.55984 |  0:00:08s
epoch 11 | loss: 0.30291 | val_0_rmse: 0.56276 | val_1_rmse: 0.56144 |  0:00:09s
epoch 12 | loss: 0.30031 | val_0_rmse: 0.5574  | val_1_rmse: 0.55163 |  0:00:10s
epoch 13 | loss: 0.29769 | val_0_rmse: 0.5616  | val_1_rmse: 0.55461 |  0:00:10s
epoch 14 | loss: 0.28416 | val_0_rmse: 0.55102 | val_1_rmse: 0.54842 |  0:00:11s
epoch 15 | loss: 0.27052 | val_0_rmse: 0.54639 | val_1_rmse: 0.54782 |  0:00:12s
epoch 16 | loss: 0.2756  | val_0_rmse: 0.53955 | val_1_rmse: 0.54522 |  0:00:12s
epoch 17 | loss: 0.26298 | val_0_rmse: 0.54086 | val_1_rmse: 0.54664 |  0:00:13s
epoch 18 | loss: 0.25117 | val_0_rmse: 0.5402  | val_1_rmse: 0.55076 |  0:00:13s
epoch 19 | loss: 0.24484 | val_0_rmse: 0.54358 | val_1_rmse: 0.55647 |  0:00:14s
epoch 20 | loss: 0.22883 | val_0_rmse: 0.52786 | val_1_rmse: 0.54042 |  0:00:15s
epoch 21 | loss: 0.2202  | val_0_rmse: 0.54117 | val_1_rmse: 0.54653 |  0:00:15s
