TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: Era_Coef_TotalArea.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 16:49:36
epoch 0  | loss: 2.07339 | val_0_rmse: 1.12172 | val_1_rmse: 0.73831 |  0:00:02s
epoch 1  | loss: 1.38178 | val_0_rmse: 1.12105 | val_1_rmse: 0.73702 |  0:00:03s
epoch 2  | loss: 1.29252 | val_0_rmse: 1.12067 | val_1_rmse: 0.73666 |  0:00:03s
epoch 3  | loss: 1.26595 | val_0_rmse: 1.11948 | val_1_rmse: 0.73379 |  0:00:04s
epoch 4  | loss: 1.25987 | val_0_rmse: 1.11629 | val_1_rmse: 0.72868 |  0:00:05s
epoch 5  | loss: 1.23923 | val_0_rmse: 1.10489 | val_1_rmse: 0.71116 |  0:00:05s
epoch 6  | loss: 1.22171 | val_0_rmse: 1.09594 | val_1_rmse: 0.69764 |  0:00:06s
epoch 7  | loss: 1.20101 | val_0_rmse: 1.09323 | val_1_rmse: 0.69239 |  0:00:06s
epoch 8  | loss: 1.17787 | val_0_rmse: 1.08318 | val_1_rmse: 0.67262 |  0:00:07s
epoch 9  | loss: 1.14603 | val_0_rmse: 1.0827  | val_1_rmse: 0.67429 |  0:00:08s
epoch 10 | loss: 1.11442 | val_0_rmse: 1.08727 | val_1_rmse: 0.67967 |  0:00:08s
epoch 11 | loss: 1.0949  | val_0_rmse: 1.07233 | val_1_rmse: 0.65343 |  0:00:09s
epoch 12 | loss: 1.06642 | val_0_rmse: 1.05623 | val_1_rmse: 0.61756 |  0:00:10s
epoch 13 | loss: 1.04188 | val_0_rmse: 1.05721 | val_1_rmse: 0.61877 |  0:00:10s
epoch 14 | loss: 1.02327 | val_0_rmse: 1.05343 | val_1_rmse: 0.61261 |  0:00:11s
epoch 15 | loss: 1.006   | val_0_rmse: 1.04702 | val_1_rmse: 0.61431 |  0:00:12s
epoch 16 | loss: 0.98619 | val_0_rmse: 1.04174 | val_1_rmse: 0.60178 |  0:00:12s
epoch 17 | loss: 0.97571 | val_0_rmse: 1.03481 | val_1_rmse: 0.58582 |  0:00:13s
epoch 18 | loss: 0.97127 | val_0_rmse: 1.03176 | val_1_rmse: 0.58212 |  0:00:13s
epoch 19 | loss: 0.96539 | val_0_rmse: 1.03197 | val_1_rmse: 0.57549 |  0:00:14s
epoch 20 | loss: 0.94989 | val_0_rmse: 1.03674 | val_1_rmse: 0.58886 |  0:00:15s
epoch 21 | loss: 0.96051 | val_0_rmse: 1.02655 | val_1_rmse: 0.56941 |  0:00:15s
epoch 22 | loss: 0.95212 | val_0_rmse: 1.03734 | val_1_rmse: 0.58331 |  0:00:16s
epoch 23 | loss: 0.95343 | val_0_rmse: 1.02771 | val_1_rmse: 0.57481 |  0:00:16s
epoch 24 | loss: 0.94221 | val_0_rmse: 1.03557 | val_1_rmse: 0.58799 |  0:00:17s
epoch 25 | loss: 0.93868 | val_0_rmse: 1.03163 | val_1_rmse: 0.57825 |  0:00:18s
epoch 26 | loss: 0.9392  | val_0_rmse: 1.02581 | val_1_rmse: 0.57346 |  0:00:18s
epoch 27 | loss: 0.92921 | val_0_rmse: 1.02124 | val_1_rmse: 0.56561 |  0:00:19s
