TabNet Logs:

Saving copy of script...
In this script only the Era dataset is used
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: DataBase_Era_TotalArea.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 13:53:07
epoch 0  | loss: 1.73212 | val_0_rmse: 0.99362 | val_1_rmse: 1.02225 |  0:00:02s
epoch 1  | loss: 1.10186 | val_0_rmse: 0.97716 | val_1_rmse: 1.00694 |  0:00:03s
epoch 2  | loss: 0.92909 | val_0_rmse: 0.88587 | val_1_rmse: 0.91928 |  0:00:03s
epoch 3  | loss: 0.81025 | val_0_rmse: 0.85994 | val_1_rmse: 0.89546 |  0:00:04s
epoch 4  | loss: 0.66038 | val_0_rmse: 0.77216 | val_1_rmse: 0.80787 |  0:00:05s
epoch 5  | loss: 0.61229 | val_0_rmse: 0.7567  | val_1_rmse: 0.78705 |  0:00:05s
epoch 6  | loss: 0.56895 | val_0_rmse: 0.71052 | val_1_rmse: 0.72769 |  0:00:06s
epoch 7  | loss: 0.52642 | val_0_rmse: 0.70469 | val_1_rmse: 0.72063 |  0:00:06s
epoch 8  | loss: 0.50073 | val_0_rmse: 0.70478 | val_1_rmse: 0.72537 |  0:00:07s
epoch 9  | loss: 0.48776 | val_0_rmse: 0.69675 | val_1_rmse: 0.71787 |  0:00:08s
epoch 10 | loss: 0.45757 | val_0_rmse: 0.68531 | val_1_rmse: 0.71108 |  0:00:08s
epoch 11 | loss: 0.44448 | val_0_rmse: 0.6922  | val_1_rmse: 0.72341 |  0:00:09s
epoch 12 | loss: 0.42939 | val_0_rmse: 0.70862 | val_1_rmse: 0.74061 |  0:00:09s
epoch 13 | loss: 0.42342 | val_0_rmse: 0.70371 | val_1_rmse: 0.73744 |  0:00:10s
epoch 14 | loss: 0.40722 | val_0_rmse: 0.7113  | val_1_rmse: 0.75076 |  0:00:11s
epoch 15 | loss: 0.39296 | val_0_rmse: 0.75101 | val_1_rmse: 0.79569 |  0:00:11s
epoch 16 | loss: 0.38357 | val_0_rmse: 0.72462 | val_1_rmse: 0.76549 |  0:00:12s
