TabNet Logs:

Saving copy of script...
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 05:11:09
epoch 0  | loss: 1.46025 | val_0_rmse: 1.00379 | val_1_rmse: 0.91665 |  0:00:03s
epoch 1  | loss: 1.01247 | val_0_rmse: 1.00196 | val_1_rmse: 0.9118  |  0:00:05s
epoch 2  | loss: 1.00715 | val_0_rmse: 1.00198 | val_1_rmse: 0.91173 |  0:00:07s
epoch 3  | loss: 1.00637 | val_0_rmse: 1.002   | val_1_rmse: 0.9119  |  0:00:09s
epoch 4  | loss: 1.00691 | val_0_rmse: 1.00192 | val_1_rmse: 0.91175 |  0:00:11s
epoch 5  | loss: 1.00507 | val_0_rmse: 1.00196 | val_1_rmse: 0.91185 |  0:00:12s
epoch 6  | loss: 1.00474 | val_0_rmse: 1.00194 | val_1_rmse: 0.91187 |  0:00:14s
epoch 7  | loss: 1.00459 | val_0_rmse: 1.00197 | val_1_rmse: 0.91183 |  0:00:16s
epoch 8  | loss: 1.00448 | val_0_rmse: 1.00194 | val_1_rmse: 0.91181 |  0:00:18s
epoch 9  | loss: 1.00443 | val_0_rmse: 1.00192 | val_1_rmse: 0.91176 |  0:00:20s
epoch 10 | loss: 1.00468 | val_0_rmse: 1.00198 | val_1_rmse: 0.91189 |  0:00:21s
epoch 11 | loss: 1.00398 | val_0_rmse: 1.00185 | val_1_rmse: 0.91179 |  0:00:23s
epoch 12 | loss: 1.0033  | val_0_rmse: 1.00187 | val_1_rmse: 0.91186 |  0:00:25s
epoch 13 | loss: 1.00352 | val_0_rmse: 1.00181 | val_1_rmse: 0.91173 |  0:00:27s
epoch 14 | loss: 1.00401 | val_0_rmse: 1.00082 | val_1_rmse: 0.91098 |  0:00:29s
epoch 15 | loss: 1.00133 | val_0_rmse: 0.9941  | val_1_rmse: 0.9062  |  0:00:30s
epoch 16 | loss: 0.98312 | val_0_rmse: 0.96792 | val_1_rmse: 0.88806 |  0:00:32s
epoch 17 | loss: 0.97143 | val_0_rmse: 0.9619  | val_1_rmse: 0.8795  |  0:00:34s
epoch 18 | loss: 0.94549 | val_0_rmse: 0.9747  | val_1_rmse: 0.88555 |  0:00:36s
epoch 19 | loss: 0.91072 | val_0_rmse: 0.93575 | val_1_rmse: 0.85082 |  0:00:38s
epoch 20 | loss: 0.88848 | val_0_rmse: 0.93858 | val_1_rmse: 0.8632  |  0:00:39s
epoch 21 | loss: 0.88562 | val_0_rmse: 0.93143 | val_1_rmse: 0.84977 |  0:00:41s
epoch 22 | loss: 0.86273 | val_0_rmse: 0.92251 | val_1_rmse: 0.84056 |  0:00:43s
epoch 23 | loss: 0.85667 | val_0_rmse: 0.91855 | val_1_rmse: 0.82676 |  0:00:45s
epoch 24 | loss: 0.85197 | val_0_rmse: 0.91462 | val_1_rmse: 0.82609 |  0:00:47s
epoch 25 | loss: 0.84331 | val_0_rmse: 0.91342 | val_1_rmse: 0.82534 |  0:00:48s
epoch 26 | loss: 0.84496 | val_0_rmse: 0.91508 | val_1_rmse: 0.82454 |  0:00:50s
epoch 27 | loss: 0.84211 | val_0_rmse: 0.91503 | val_1_rmse: 0.83293 |  0:00:52s
epoch 28 | loss: 0.83967 | val_0_rmse: 0.91832 | val_1_rmse: 0.82907 |  0:00:54s
epoch 29 | loss: 0.84138 | val_0_rmse: 0.91239 | val_1_rmse: 0.82765 |  0:00:56s
epoch 30 | loss: 0.83385 | val_0_rmse: 0.90774 | val_1_rmse: 0.82558 |  0:00:57s
epoch 31 | loss: 0.83083 | val_0_rmse: 0.91088 | val_1_rmse: 0.82624 |  0:00:59s
epoch 32 | loss: 0.83023 | val_0_rmse: 0.90931 | val_1_rmse: 0.82449 |  0:01:01s
epoch 33 | loss: 0.82864 | val_0_rmse: 0.90908 | val_1_rmse: 0.82382 |  0:01:03s
epoch 34 | loss: 0.82838 | val_0_rmse: 0.9057  | val_1_rmse: 0.82557 |  0:01:05s
epoch 35 | loss: 0.82812 | val_0_rmse: 0.90853 | val_1_rmse: 0.82538 |  0:01:06s
epoch 36 | loss: 0.82381 | val_0_rmse: 0.90896 | val_1_rmse: 0.82566 |  0:01:08s
epoch 37 | loss: 0.83014 | val_0_rmse: 0.90757 | val_1_rmse: 0.82504 |  0:01:10s
epoch 38 | loss: 0.82854 | val_0_rmse: 0.90509 | val_1_rmse: 0.82331 |  0:01:12s
epoch 39 | loss: 0.81951 | val_0_rmse: 0.90217 | val_1_rmse: 0.82226 |  0:01:13s
epoch 40 | loss: 0.82309 | val_0_rmse: 0.90411 | val_1_rmse: 0.82537 |  0:01:15s
epoch 41 | loss: 0.8259  | val_0_rmse: 0.90633 | val_1_rmse: 0.82819 |  0:01:17s
epoch 42 | loss: 0.8281  | val_0_rmse: 0.90716 | val_1_rmse: 0.83493 |  0:01:19s
