TabNet Logs:

Saving copy of script...
In this script only the DC dataset is used and its a continuation of the augmentation testsHere the test done is to test the improvement that the new 14 features provide
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: DC Properties.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 04:44:53
epoch 0  | loss: 0.62081 | val_0_rmse: 0.65647 | val_1_rmse: 0.64666 |  0:00:09s
epoch 1  | loss: 0.3143  | val_0_rmse: 0.52583 | val_1_rmse: 0.52469 |  0:00:14s
epoch 2  | loss: 0.24611 | val_0_rmse: 0.47781 | val_1_rmse: 0.47346 |  0:00:19s
epoch 3  | loss: 0.22135 | val_0_rmse: 0.44985 | val_1_rmse: 0.44835 |  0:00:24s
epoch 4  | loss: 0.20703 | val_0_rmse: 0.46014 | val_1_rmse: 0.46081 |  0:00:29s
epoch 5  | loss: 0.19924 | val_0_rmse: 0.42902 | val_1_rmse: 0.42923 |  0:00:33s
epoch 6  | loss: 0.19128 | val_0_rmse: 0.42139 | val_1_rmse: 0.42182 |  0:00:38s
epoch 7  | loss: 0.18598 | val_0_rmse: 0.41903 | val_1_rmse: 0.41462 |  0:00:42s
epoch 8  | loss: 0.18066 | val_0_rmse: 0.42692 | val_1_rmse: 0.42706 |  0:00:47s
epoch 9  | loss: 0.18735 | val_0_rmse: 0.41381 | val_1_rmse: 0.41223 |  0:00:51s
epoch 10 | loss: 0.17797 | val_0_rmse: 0.41737 | val_1_rmse: 0.42072 |  0:00:56s
epoch 11 | loss: 0.17248 | val_0_rmse: 0.40367 | val_1_rmse: 0.40299 |  0:01:01s
epoch 12 | loss: 0.16803 | val_0_rmse: 0.39826 | val_1_rmse: 0.3984  |  0:01:05s
epoch 13 | loss: 0.1653  | val_0_rmse: 0.38668 | val_1_rmse: 0.38611 |  0:01:09s
epoch 14 | loss: 0.17026 | val_0_rmse: 0.39488 | val_1_rmse: 0.39415 |  0:01:13s
epoch 15 | loss: 0.16651 | val_0_rmse: 0.38879 | val_1_rmse: 0.38988 |  0:01:18s
epoch 16 | loss: 0.17269 | val_0_rmse: 0.40121 | val_1_rmse: 0.40237 |  0:01:22s
epoch 17 | loss: 0.16362 | val_0_rmse: 0.38948 | val_1_rmse: 0.38991 |  0:01:26s
epoch 18 | loss: 0.16253 | val_0_rmse: 0.40104 | val_1_rmse: 0.40062 |  0:01:30s
epoch 19 | loss: 0.16268 | val_0_rmse: 0.39147 | val_1_rmse: 0.39165 |  0:01:34s
epoch 20 | loss: 0.15436 | val_0_rmse: 0.38751 | val_1_rmse: 0.39093 |  0:01:39s
epoch 21 | loss: 0.15828 | val_0_rmse: 0.38619 | val_1_rmse: 0.38664 |  0:01:43s
epoch 22 | loss: 0.15856 | val_0_rmse: 0.37991 | val_1_rmse: 0.38126 |  0:01:47s
epoch 23 | loss: 0.15564 | val_0_rmse: 0.37467 | val_1_rmse: 0.37837 |  0:01:51s
epoch 24 | loss: 0.1532  | val_0_rmse: 0.39235 | val_1_rmse: 0.39265 |  0:01:56s
epoch 25 | loss: 0.1527  | val_0_rmse: 0.38467 | val_1_rmse: 0.38681 |  0:02:00s
epoch 26 | loss: 0.15396 | val_0_rmse: 0.37925 | val_1_rmse: 0.37941 |  0:02:04s
epoch 27 | loss: 0.15212 | val_0_rmse: 0.37635 | val_1_rmse: 0.37501 |  0:02:08s
epoch 28 | loss: 0.15146 | val_0_rmse: 0.37593 | val_1_rmse: 0.38152 |  0:02:12s
epoch 29 | loss: 0.15298 | val_0_rmse: 0.38552 | val_1_rmse: 0.38456 |  0:02:17s
epoch 30 | loss: 0.15055 | val_0_rmse: 0.38196 | val_1_rmse: 0.38157 |  0:02:21s
epoch 31 | loss: 0.15066 | val_0_rmse: 0.3733  | val_1_rmse: 0.37655 |  0:02:25s
epoch 32 | loss: 0.15251 | val_0_rmse: 0.38526 | val_1_rmse: 0.38822 |  0:02:29s
epoch 33 | loss: 0.15524 | val_0_rmse: 0.38301 | val_1_rmse: 0.38593 |  0:02:34s
epoch 34 | loss: 0.15017 | val_0_rmse: 0.3639  | val_1_rmse: 0.36903 |  0:02:38s
epoch 35 | loss: 0.14651 | val_0_rmse: 0.36915 | val_1_rmse: 0.37369 |  0:02:42s
epoch 36 | loss: 0.1493  | val_0_rmse: 0.36678 | val_1_rmse: 0.37011 |  0:02:46s
epoch 37 | loss: 0.14805 | val_0_rmse: 0.36662 | val_1_rmse: 0.36915 |  0:02:51s
epoch 38 | loss: 0.1433  | val_0_rmse: 0.36687 | val_1_rmse: 0.37261 |  0:02:55s
epoch 39 | loss: 0.14646 | val_0_rmse: 0.3669  | val_1_rmse: 0.36907 |  0:02:59s
epoch 40 | loss: 0.14686 | val_0_rmse: 0.37237 | val_1_rmse: 0.37804 |  0:03:03s
epoch 41 | loss: 0.14388 | val_0_rmse: 0.38058 | val_1_rmse: 0.38608 |  0:03:08s
epoch 42 | loss: 0.14258 | val_0_rmse: 0.35951 | val_1_rmse: 0.36259 |  0:03:12s
epoch 43 | loss: 0.14168 | val_0_rmse: 0.41504 | val_1_rmse: 0.41843 |  0:03:16s
epoch 44 | loss: 0.14148 | val_0_rmse: 0.35963 | val_1_rmse: 0.36477 |  0:03:20s
epoch 45 | loss: 0.14092 | val_0_rmse: 0.36143 | val_1_rmse: 0.36565 |  0:03:25s
epoch 46 | loss: 0.14334 | val_0_rmse: 0.38952 | val_1_rmse: 0.39665 |  0:03:29s
epoch 47 | loss: 0.13717 | val_0_rmse: 0.36009 | val_1_rmse: 0.36723 |  0:03:33s
epoch 48 | loss: 0.14029 | val_0_rmse: 0.35908 | val_1_rmse: 0.36709 |  0:03:37s
epoch 49 | loss: 0.13832 | val_0_rmse: 0.35659 | val_1_rmse: 0.36263 |  0:03:41s
epoch 50 | loss: 0.14052 | val_0_rmse: 0.362   | val_1_rmse: 0.36872 |  0:03:46s
epoch 51 | loss: 0.13707 | val_0_rmse: 0.36146 | val_1_rmse: 0.36991 |  0:03:50s
epoch 52 | loss: 0.13928 | val_0_rmse: 0.38399 | val_1_rmse: 0.39044 |  0:03:54s
epoch 53 | loss: 0.13757 | val_0_rmse: 0.36881 | val_1_rmse: 0.37624 |  0:03:58s
epoch 54 | loss: 0.14364 | val_0_rmse: 0.3558  | val_1_rmse: 0.36269 |  0:04:03s
epoch 55 | loss: 0.13697 | val_0_rmse: 0.35658 | val_1_rmse: 0.36548 |  0:04:07s
epoch 56 | loss: 0.14006 | val_0_rmse: 0.35634 | val_1_rmse: 0.36588 |  0:04:11s
epoch 57 | loss: 0.13856 | val_0_rmse: 0.35879 | val_1_rmse: 0.36685 |  0:04:15s
epoch 58 | loss: 0.13614 | val_0_rmse: 0.35319 | val_1_rmse: 0.362   |  0:04:20s
epoch 59 | loss: 0.13689 | val_0_rmse: 0.35189 | val_1_rmse: 0.35943 |  0:04:24s
epoch 60 | loss: 0.13383 | val_0_rmse: 0.36128 | val_1_rmse: 0.36889 |  0:04:28s
epoch 61 | loss: 0.13515 | val_0_rmse: 0.35494 | val_1_rmse: 0.36247 |  0:04:32s
epoch 62 | loss: 0.13476 | val_0_rmse: 0.35536 | val_1_rmse: 0.36336 |  0:04:36s
epoch 63 | loss: 0.13213 | val_0_rmse: 0.36521 | val_1_rmse: 0.37344 |  0:04:41s
epoch 64 | loss: 0.13603 | val_0_rmse: 0.34905 | val_1_rmse: 0.36033 |  0:04:45s
epoch 65 | loss: 0.13383 | val_0_rmse: 0.34725 | val_1_rmse: 0.35687 |  0:04:49s
epoch 66 | loss: 0.13832 | val_0_rmse: 0.35607 | val_1_rmse: 0.36806 |  0:04:54s
epoch 67 | loss: 0.13672 | val_0_rmse: 0.35415 | val_1_rmse: 0.36596 |  0:04:58s
epoch 68 | loss: 0.13185 | val_0_rmse: 0.34963 | val_1_rmse: 0.36237 |  0:05:02s
epoch 69 | loss: 0.13524 | val_0_rmse: 0.35293 | val_1_rmse: 0.36233 |  0:05:06s
epoch 70 | loss: 0.13351 | val_0_rmse: 0.35377 | val_1_rmse: 0.36581 |  0:05:10s
epoch 71 | loss: 0.1349  | val_0_rmse: 0.35093 | val_1_rmse: 0.36323 |  0:05:15s
epoch 72 | loss: 0.13348 | val_0_rmse: 0.39066 | val_1_rmse: 0.39824 |  0:05:19s
epoch 73 | loss: 0.1403  | val_0_rmse: 0.3563  | val_1_rmse: 0.36963 |  0:05:23s
epoch 74 | loss: 0.13316 | val_0_rmse: 0.35978 | val_1_rmse: 0.37056 |  0:05:27s
epoch 75 | loss: 0.1315  | val_0_rmse: 0.35486 | val_1_rmse: 0.36621 |  0:05:31s
epoch 76 | loss: 0.12984 | val_0_rmse: 0.36713 | val_1_rmse: 0.37811 |  0:05:36s
epoch 77 | loss: 0.13093 | val_0_rmse: 0.34894 | val_1_rmse: 0.36259 |  0:05:40s
epoch 78 | loss: 0.13245 | val_0_rmse: 0.34363 | val_1_rmse: 0.35597 |  0:05:44s
epoch 79 | loss: 0.1325  | val_0_rmse: 0.35433 | val_1_rmse: 0.36724 |  0:05:48s
epoch 80 | loss: 0.1299  | val_0_rmse: 0.34898 | val_1_rmse: 0.36209 |  0:05:53s
epoch 81 | loss: 0.128   | val_0_rmse: 0.36631 | val_1_rmse: 0.37936 |  0:05:57s
epoch 82 | loss: 0.13238 | val_0_rmse: 0.35195 | val_1_rmse: 0.36891 |  0:06:01s
epoch 83 | loss: 0.13465 | val_0_rmse: 0.34387 | val_1_rmse: 0.35689 |  0:06:05s
epoch 84 | loss: 0.13013 | val_0_rmse: 0.35317 | val_1_rmse: 0.36722 |  0:06:09s
epoch 85 | loss: 0.13013 | val_0_rmse: 0.36141 | val_1_rmse: 0.37562 |  0:06:14s
epoch 86 | loss: 0.12804 | val_0_rmse: 0.35206 | val_1_rmse: 0.36586 |  0:06:18s
epoch 87 | loss: 0.14477 | val_0_rmse: 0.36088 | val_1_rmse: 0.37256 |  0:06:22s
epoch 88 | loss: 0.13418 | val_0_rmse: 0.35468 | val_1_rmse: 0.36542 |  0:06:26s
epoch 89 | loss: 0.13113 | val_0_rmse: 0.35593 | val_1_rmse: 0.36677 |  0:06:31s
epoch 90 | loss: 0.1359  | val_0_rmse: 0.34846 | val_1_rmse: 0.36228 |  0:06:35s
epoch 91 | loss: 0.13168 | val_0_rmse: 0.34462 | val_1_rmse: 0.35732 |  0:06:39s
epoch 92 | loss: 0.12759 | val_0_rmse: 0.34328 | val_1_rmse: 0.36014 |  0:06:43s
epoch 93 | loss: 0.12853 | val_0_rmse: 0.34496 | val_1_rmse: 0.36168 |  0:06:48s
epoch 94 | loss: 0.12932 | val_0_rmse: 0.33805 | val_1_rmse: 0.35369 |  0:06:52s
epoch 95 | loss: 0.12773 | val_0_rmse: 0.34369 | val_1_rmse: 0.3616  |  0:06:56s
epoch 96 | loss: 0.12827 | val_0_rmse: 0.34789 | val_1_rmse: 0.3636  |  0:07:00s
epoch 97 | loss: 0.12564 | val_0_rmse: 0.34286 | val_1_rmse: 0.36137 |  0:07:05s
epoch 98 | loss: 0.12954 | val_0_rmse: 0.36093 | val_1_rmse: 0.37784 |  0:07:09s
epoch 99 | loss: 0.13195 | val_0_rmse: 0.36071 | val_1_rmse: 0.37603 |  0:07:13s
epoch 100| loss: 0.128   | val_0_rmse: 0.36119 | val_1_rmse: 0.37607 |  0:07:17s
epoch 101| loss: 0.12663 | val_0_rmse: 0.34267 | val_1_rmse: 0.36068 |  0:07:21s
epoch 102| loss: 0.12464 | val_0_rmse: 0.34773 | val_1_rmse: 0.36357 |  0:07:25s
epoch 103| loss: 0.1271  | val_0_rmse: 0.3411  | val_1_rmse: 0.35812 |  0:07:30s
epoch 104| loss: 0.12463 | val_0_rmse: 0.33904 | val_1_rmse: 0.3581  |  0:07:34s
epoch 105| loss: 0.12566 | val_0_rmse: 0.39563 | val_1_rmse: 0.41064 |  0:07:38s
epoch 106| loss: 0.12936 | val_0_rmse: 0.34705 | val_1_rmse: 0.3645  |  0:07:42s
epoch 107| loss: 0.1263  | val_0_rmse: 0.36797 | val_1_rmse: 0.38625 |  0:07:46s
epoch 108| loss: 0.12497 | val_0_rmse: 0.33723 | val_1_rmse: 0.35664 |  0:07:51s
epoch 109| loss: 0.12523 | val_0_rmse: 0.34247 | val_1_rmse: 0.36291 |  0:07:55s
epoch 110| loss: 0.12342 | val_0_rmse: 0.34207 | val_1_rmse: 0.36373 |  0:07:59s
epoch 111| loss: 0.12412 | val_0_rmse: 0.33955 | val_1_rmse: 0.35965 |  0:08:03s
epoch 112| loss: 0.12335 | val_0_rmse: 0.33396 | val_1_rmse: 0.35376 |  0:08:07s
epoch 113| loss: 0.12355 | val_0_rmse: 0.34601 | val_1_rmse: 0.36631 |  0:08:12s
epoch 114| loss: 0.13309 | val_0_rmse: 0.34408 | val_1_rmse: 0.36299 |  0:08:16s
epoch 115| loss: 0.12828 | val_0_rmse: 0.34002 | val_1_rmse: 0.35906 |  0:08:20s
epoch 116| loss: 0.12514 | val_0_rmse: 0.33113 | val_1_rmse: 0.35028 |  0:08:24s
epoch 117| loss: 0.12445 | val_0_rmse: 0.3736  | val_1_rmse: 0.3925  |  0:08:29s
epoch 118| loss: 0.12505 | val_0_rmse: 0.36593 | val_1_rmse: 0.38371 |  0:08:33s
epoch 119| loss: 0.12173 | val_0_rmse: 0.34046 | val_1_rmse: 0.36009 |  0:08:37s
epoch 120| loss: 0.12472 | val_0_rmse: 0.34121 | val_1_rmse: 0.36258 |  0:08:41s
epoch 121| loss: 0.12557 | val_0_rmse: 0.34142 | val_1_rmse: 0.35959 |  0:08:45s
epoch 122| loss: 0.12316 | val_0_rmse: 0.33605 | val_1_rmse: 0.35742 |  0:08:49s
epoch 123| loss: 0.12412 | val_0_rmse: 0.35161 | val_1_rmse: 0.37332 |  0:08:54s
epoch 124| loss: 0.12464 | val_0_rmse: 0.34282 | val_1_rmse: 0.36365 |  0:08:58s
epoch 125| loss: 0.13801 | val_0_rmse: 0.34268 | val_1_rmse: 0.35848 |  0:09:02s
epoch 126| loss: 0.12938 | val_0_rmse: 0.35835 | val_1_rmse: 0.37665 |  0:09:06s
epoch 127| loss: 0.12624 | val_0_rmse: 0.34588 | val_1_rmse: 0.36434 |  0:09:11s
epoch 128| loss: 0.1232  | val_0_rmse: 0.35445 | val_1_rmse: 0.37103 |  0:09:15s
epoch 129| loss: 0.12425 | val_0_rmse: 0.33693 | val_1_rmse: 0.35792 |  0:09:19s
epoch 130| loss: 0.12356 | val_0_rmse: 0.36923 | val_1_rmse: 0.38874 |  0:09:23s
epoch 131| loss: 0.12792 | val_0_rmse: 0.35153 | val_1_rmse: 0.37219 |  0:09:27s
epoch 132| loss: 0.12745 | val_0_rmse: 0.36048 | val_1_rmse: 0.37908 |  0:09:32s
epoch 133| loss: 0.12401 | val_0_rmse: 0.36069 | val_1_rmse: 0.37896 |  0:09:36s
epoch 134| loss: 0.12495 | val_0_rmse: 0.35008 | val_1_rmse: 0.36909 |  0:09:40s
epoch 135| loss: 0.125   | val_0_rmse: 0.35965 | val_1_rmse: 0.38083 |  0:09:44s
epoch 136| loss: 0.12285 | val_0_rmse: 0.34021 | val_1_rmse: 0.36255 |  0:09:49s
epoch 137| loss: 0.12339 | val_0_rmse: 0.33748 | val_1_rmse: 0.35817 |  0:09:53s
epoch 138| loss: 0.12117 | val_0_rmse: 0.33738 | val_1_rmse: 0.36226 |  0:09:57s
epoch 139| loss: 0.12163 | val_0_rmse: 0.34696 | val_1_rmse: 0.36928 |  0:10:01s
epoch 140| loss: 0.12586 | val_0_rmse: 0.35148 | val_1_rmse: 0.37233 |  0:10:05s
epoch 141| loss: 0.12436 | val_0_rmse: 0.37166 | val_1_rmse: 0.39022 |  0:10:10s
epoch 142| loss: 0.12263 | val_0_rmse: 0.35238 | val_1_rmse: 0.37312 |  0:10:14s
epoch 143| loss: 0.11857 | val_0_rmse: 0.33727 | val_1_rmse: 0.36308 |  0:10:18s
epoch 144| loss: 0.12188 | val_0_rmse: 0.33917 | val_1_rmse: 0.36161 |  0:10:22s
epoch 145| loss: 0.12018 | val_0_rmse: 0.33945 | val_1_rmse: 0.35964 |  0:10:27s
epoch 146| loss: 0.11896 | val_0_rmse: 0.34709 | val_1_rmse: 0.36849 |  0:10:31s

Early stopping occured at epoch 146 with best_epoch = 116 and best_val_1_rmse = 0.35028
Best weights from best epoch are automatically used!
ended training at: 04:55:26
Feature importance:
[('Area', 0.0), ('Baths', 0.23134511031765212), ('Beds', 0.03245757362404426), ('Latitude', 0.0), ('Longitude', 0.21558235162306566), ('Month', 0.0), ('Year', 0.2354425993815185), ('HF_BATHRM', 0.0), ('AC', 0.0), ('NUM_UNITS', 0.0), ('ROOMS', 0.0), ('AYB', 0.0), ('YR_RMDL', 7.271037749966619e-07), ('EYB', 0.0), ('STORIES', 0.0), ('QUALIFIED', 0.0), ('SALE_NUM', 0.0), ('KITCHENS', 0.0), ('FIREPLACES', 0.18074222301138881), ('SOURCE', 0.10442941493855562), ('ZIPCODE', 0.0)]
Mean squared error is of 7288529037.550111
Mean absolute error:57827.761406692065
MAPE:0.24140761097638636
R2 score:0.8733297531172243
------------------------------------------------------------------
------------------------------------------------------------------
Using the dataset: DC Properties.csv
Using seed = 1
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 04:55:27
epoch 0  | loss: 0.59289 | val_0_rmse: 0.63046 | val_1_rmse: 0.61168 |  0:00:04s
epoch 1  | loss: 0.30922 | val_0_rmse: 0.54285 | val_1_rmse: 0.53627 |  0:00:08s
epoch 2  | loss: 0.2444  | val_0_rmse: 0.48343 | val_1_rmse: 0.47734 |  0:00:12s
epoch 3  | loss: 0.21131 | val_0_rmse: 0.46257 | val_1_rmse: 0.45365 |  0:00:17s
epoch 4  | loss: 0.19388 | val_0_rmse: 0.43562 | val_1_rmse: 0.42891 |  0:00:21s
epoch 5  | loss: 0.19038 | val_0_rmse: 0.4405  | val_1_rmse: 0.43306 |  0:00:25s
epoch 6  | loss: 0.18655 | val_0_rmse: 0.43082 | val_1_rmse: 0.42641 |  0:00:30s
epoch 7  | loss: 0.18386 | val_0_rmse: 0.41422 | val_1_rmse: 0.40917 |  0:00:34s
epoch 8  | loss: 0.17872 | val_0_rmse: 0.41882 | val_1_rmse: 0.41387 |  0:00:38s
epoch 9  | loss: 0.17515 | val_0_rmse: 0.41005 | val_1_rmse: 0.40384 |  0:00:43s
epoch 10 | loss: 0.18025 | val_0_rmse: 0.40872 | val_1_rmse: 0.40366 |  0:00:47s
epoch 11 | loss: 0.17566 | val_0_rmse: 0.41269 | val_1_rmse: 0.40593 |  0:00:51s
epoch 12 | loss: 0.18049 | val_0_rmse: 0.40031 | val_1_rmse: 0.39768 |  0:00:55s
epoch 13 | loss: 0.17564 | val_0_rmse: 0.40159 | val_1_rmse: 0.39545 |  0:01:00s
epoch 14 | loss: 0.17466 | val_0_rmse: 0.39443 | val_1_rmse: 0.38824 |  0:01:04s
epoch 15 | loss: 0.17195 | val_0_rmse: 0.41383 | val_1_rmse: 0.40728 |  0:01:08s
epoch 16 | loss: 0.1653  | val_0_rmse: 0.39186 | val_1_rmse: 0.38781 |  0:01:12s
epoch 17 | loss: 0.16252 | val_0_rmse: 0.38512 | val_1_rmse: 0.3804  |  0:01:16s
epoch 18 | loss: 0.17184 | val_0_rmse: 0.39148 | val_1_rmse: 0.38654 |  0:01:21s
epoch 19 | loss: 0.16362 | val_0_rmse: 0.39133 | val_1_rmse: 0.38783 |  0:01:25s
epoch 20 | loss: 0.16531 | val_0_rmse: 0.39364 | val_1_rmse: 0.39091 |  0:01:29s
epoch 21 | loss: 0.1604  | val_0_rmse: 0.45333 | val_1_rmse: 0.45026 |  0:01:34s
epoch 22 | loss: 0.15893 | val_0_rmse: 0.37751 | val_1_rmse: 0.37448 |  0:01:38s
epoch 23 | loss: 0.15284 | val_0_rmse: 0.38379 | val_1_rmse: 0.37908 |  0:01:42s
epoch 24 | loss: 0.15212 | val_0_rmse: 0.37364 | val_1_rmse: 0.3721  |  0:01:47s
epoch 25 | loss: 0.15232 | val_0_rmse: 0.38266 | val_1_rmse: 0.38227 |  0:01:50s
epoch 26 | loss: 0.15073 | val_0_rmse: 0.38693 | val_1_rmse: 0.38601 |  0:01:54s
epoch 27 | loss: 0.14894 | val_0_rmse: 0.36545 | val_1_rmse: 0.36309 |  0:01:58s
epoch 28 | loss: 0.1504  | val_0_rmse: 0.36703 | val_1_rmse: 0.36512 |  0:02:02s
epoch 29 | loss: 0.14889 | val_0_rmse: 0.36367 | val_1_rmse: 0.3625  |  0:02:06s
epoch 30 | loss: 0.14628 | val_0_rmse: 0.36303 | val_1_rmse: 0.36276 |  0:02:10s
epoch 31 | loss: 0.14576 | val_0_rmse: 0.37074 | val_1_rmse: 0.37161 |  0:02:14s
epoch 32 | loss: 0.1474  | val_0_rmse: 0.36982 | val_1_rmse: 0.37149 |  0:02:18s
epoch 33 | loss: 0.1436  | val_0_rmse: 0.36422 | val_1_rmse: 0.36523 |  0:02:21s
epoch 34 | loss: 0.14585 | val_0_rmse: 0.36646 | val_1_rmse: 0.36531 |  0:02:25s
epoch 35 | loss: 0.14337 | val_0_rmse: 0.37318 | val_1_rmse: 0.37315 |  0:02:29s
epoch 36 | loss: 0.14498 | val_0_rmse: 0.37493 | val_1_rmse: 0.37657 |  0:02:33s
epoch 37 | loss: 0.14549 | val_0_rmse: 0.36256 | val_1_rmse: 0.36487 |  0:02:37s
epoch 38 | loss: 0.14289 | val_0_rmse: 0.36034 | val_1_rmse: 0.36104 |  0:02:41s
epoch 39 | loss: 0.14182 | val_0_rmse: 0.35044 | val_1_rmse: 0.35224 |  0:02:45s
epoch 40 | loss: 0.13954 | val_0_rmse: 0.35835 | val_1_rmse: 0.36115 |  0:02:48s
epoch 41 | loss: 0.14004 | val_0_rmse: 0.35261 | val_1_rmse: 0.35493 |  0:02:52s
epoch 42 | loss: 0.14468 | val_0_rmse: 0.35232 | val_1_rmse: 0.35616 |  0:02:56s
epoch 43 | loss: 0.14091 | val_0_rmse: 0.35517 | val_1_rmse: 0.35995 |  0:03:00s
epoch 44 | loss: 0.13977 | val_0_rmse: 0.3507  | val_1_rmse: 0.35386 |  0:03:04s
epoch 45 | loss: 0.14056 | val_0_rmse: 0.35794 | val_1_rmse: 0.36177 |  0:03:08s
epoch 46 | loss: 0.13716 | val_0_rmse: 0.35932 | val_1_rmse: 0.36054 |  0:03:12s
epoch 47 | loss: 0.13915 | val_0_rmse: 0.35737 | val_1_rmse: 0.36135 |  0:03:16s
epoch 48 | loss: 0.13844 | val_0_rmse: 0.37069 | val_1_rmse: 0.37672 |  0:03:19s
epoch 49 | loss: 0.13765 | val_0_rmse: 0.3781  | val_1_rmse: 0.38558 |  0:03:23s
epoch 50 | loss: 0.13827 | val_0_rmse: 0.35497 | val_1_rmse: 0.36067 |  0:03:27s
epoch 51 | loss: 0.13662 | val_0_rmse: 0.35045 | val_1_rmse: 0.35568 |  0:03:31s
epoch 52 | loss: 0.13501 | val_0_rmse: 0.36162 | val_1_rmse: 0.36775 |  0:03:35s
epoch 53 | loss: 0.13784 | val_0_rmse: 0.35413 | val_1_rmse: 0.35946 |  0:03:39s
epoch 54 | loss: 0.1385  | val_0_rmse: 0.34703 | val_1_rmse: 0.35273 |  0:03:43s
epoch 55 | loss: 0.13902 | val_0_rmse: 0.35495 | val_1_rmse: 0.36214 |  0:03:46s
epoch 56 | loss: 0.13659 | val_0_rmse: 0.34753 | val_1_rmse: 0.3534  |  0:03:50s
epoch 57 | loss: 0.13532 | val_0_rmse: 0.35973 | val_1_rmse: 0.36665 |  0:03:54s
epoch 58 | loss: 0.13343 | val_0_rmse: 0.3448  | val_1_rmse: 0.35214 |  0:03:58s
epoch 59 | loss: 0.13578 | val_0_rmse: 0.34134 | val_1_rmse: 0.34959 |  0:04:02s
epoch 60 | loss: 0.13332 | val_0_rmse: 0.35114 | val_1_rmse: 0.35892 |  0:04:06s
epoch 61 | loss: 0.13403 | val_0_rmse: 0.35474 | val_1_rmse: 0.36025 |  0:04:10s
epoch 62 | loss: 0.13219 | val_0_rmse: 0.35312 | val_1_rmse: 0.36253 |  0:04:14s
epoch 63 | loss: 0.13243 | val_0_rmse: 0.35039 | val_1_rmse: 0.36005 |  0:04:17s
epoch 64 | loss: 0.13283 | val_0_rmse: 0.35574 | val_1_rmse: 0.36518 |  0:04:21s
epoch 65 | loss: 0.13433 | val_0_rmse: 0.34651 | val_1_rmse: 0.35683 |  0:04:25s
epoch 66 | loss: 0.13329 | val_0_rmse: 0.3577  | val_1_rmse: 0.36463 |  0:04:29s
epoch 67 | loss: 0.13503 | val_0_rmse: 0.3423  | val_1_rmse: 0.35249 |  0:04:33s
epoch 68 | loss: 0.13275 | val_0_rmse: 0.38401 | val_1_rmse: 0.39229 |  0:04:37s
epoch 69 | loss: 0.13596 | val_0_rmse: 0.34907 | val_1_rmse: 0.35855 |  0:04:41s
epoch 70 | loss: 0.13256 | val_0_rmse: 0.34761 | val_1_rmse: 0.35799 |  0:04:45s
epoch 71 | loss: 0.13129 | val_0_rmse: 0.3722  | val_1_rmse: 0.38134 |  0:04:48s
epoch 72 | loss: 0.13235 | val_0_rmse: 0.34265 | val_1_rmse: 0.35294 |  0:04:52s
epoch 73 | loss: 0.13119 | val_0_rmse: 0.38419 | val_1_rmse: 0.39152 |  0:04:56s
epoch 74 | loss: 0.13387 | val_0_rmse: 0.35669 | val_1_rmse: 0.3705  |  0:05:00s
epoch 75 | loss: 0.13381 | val_0_rmse: 0.34519 | val_1_rmse: 0.35558 |  0:05:04s
