TabNet Logs:

Saving copy of script...
In this script only the Melbourne dataset is used and its a continuation of the augmentation testsHere the test done is to test the improvement that the new 5 features provide
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: Melbourne housing.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
TabNet params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 04:44:46
epoch 0  | loss: 0.88977 | val_0_rmse: 0.85569 | val_1_rmse: 0.87344 |  0:00:05s
epoch 1  | loss: 0.528   | val_0_rmse: 0.68358 | val_1_rmse: 0.68314 |  0:00:06s
epoch 2  | loss: 0.45558 | val_0_rmse: 0.6722  | val_1_rmse: 0.66133 |  0:00:06s
epoch 3  | loss: 0.40221 | val_0_rmse: 0.63788 | val_1_rmse: 0.64261 |  0:00:07s
epoch 4  | loss: 0.37289 | val_0_rmse: 0.62668 | val_1_rmse: 0.63866 |  0:00:08s
epoch 5  | loss: 0.35587 | val_0_rmse: 0.58558 | val_1_rmse: 0.58205 |  0:00:08s
epoch 6  | loss: 0.33606 | val_0_rmse: 0.5679  | val_1_rmse: 0.56984 |  0:00:09s
epoch 7  | loss: 0.31836 | val_0_rmse: 0.55216 | val_1_rmse: 0.5548  |  0:00:10s
epoch 8  | loss: 0.31459 | val_0_rmse: 0.55074 | val_1_rmse: 0.55141 |  0:00:11s
epoch 9  | loss: 0.29534 | val_0_rmse: 0.53182 | val_1_rmse: 0.52911 |  0:00:12s
epoch 10 | loss: 0.29422 | val_0_rmse: 0.55206 | val_1_rmse: 0.55206 |  0:00:13s
epoch 11 | loss: 0.29679 | val_0_rmse: 0.51976 | val_1_rmse: 0.52462 |  0:00:13s
epoch 12 | loss: 0.29334 | val_0_rmse: 0.52242 | val_1_rmse: 0.53329 |  0:00:14s
epoch 13 | loss: 0.28406 | val_0_rmse: 0.53022 | val_1_rmse: 0.53776 |  0:00:15s
epoch 14 | loss: 0.29213 | val_0_rmse: 0.50524 | val_1_rmse: 0.51392 |  0:00:16s
epoch 15 | loss: 0.27874 | val_0_rmse: 0.50331 | val_1_rmse: 0.50916 |  0:00:17s
epoch 16 | loss: 0.26676 | val_0_rmse: 0.51082 | val_1_rmse: 0.52191 |  0:00:18s
epoch 17 | loss: 0.26695 | val_0_rmse: 0.51165 | val_1_rmse: 0.5217  |  0:00:18s
epoch 18 | loss: 0.27832 | val_0_rmse: 0.50172 | val_1_rmse: 0.50891 |  0:00:19s
