TabNet Logs:

Saving copy of script...
In this script only the South American datasets and its a countinuation of the latitude/longitude testHere the test done is to test the improvement that the new related to lat/lon features provideThe idea is: The new features should be reflected on the lat/lon, so does them existing provide improvements?Shouldnt the neuralnet be able to obtained them automatically?
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: ar properties.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 03:49:44
epoch 0  | loss: 0.94376 | val_0_rmse: 0.93509 | val_1_rmse: 0.9313  |  0:00:10s
epoch 1  | loss: 0.86024 | val_0_rmse: 0.92342 | val_1_rmse: 0.91747 |  0:00:17s
epoch 2  | loss: 0.85432 | val_0_rmse: 0.92492 | val_1_rmse: 0.91949 |  0:00:23s
epoch 3  | loss: 0.85114 | val_0_rmse: 0.92346 | val_1_rmse: 0.91763 |  0:00:30s
epoch 4  | loss: 0.85364 | val_0_rmse: 0.92244 | val_1_rmse: 0.91687 |  0:00:37s
epoch 5  | loss: 0.85252 | val_0_rmse: 0.92599 | val_1_rmse: 0.92037 |  0:00:44s
epoch 6  | loss: 0.85157 | val_0_rmse: 0.92376 | val_1_rmse: 0.91759 |  0:00:52s
epoch 7  | loss: 0.84962 | val_0_rmse: 0.92345 | val_1_rmse: 0.91884 |  0:00:59s
epoch 8  | loss: 0.85769 | val_0_rmse: 0.92407 | val_1_rmse: 0.91803 |  0:01:07s
epoch 9  | loss: 0.85506 | val_0_rmse: 0.92522 | val_1_rmse: 0.92009 |  0:01:15s
epoch 10 | loss: 0.85505 | val_0_rmse: 0.92309 | val_1_rmse: 0.9172  |  0:01:23s
epoch 11 | loss: 0.85186 | val_0_rmse: 0.92238 | val_1_rmse: 0.91677 |  0:01:31s
