TabNet Logs:

Saving copy of script...
In this script all datasets are increased in size up to the size of the biggest dataset by sampling random rows and modifying them with a noise depending on the standard deviation of the value in questionOnly latitude and longitude are used in trainingThis is done to test the possibility that the variance in datasets sizes is decreasing performanceBy evening out the sizes its excepted that the model achieves better performance
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 14:09:18
epoch 0  | loss: 0.77885 | val_0_rmse: 0.78204 | val_1_rmse: 0.78049 |  0:00:09s
epoch 1  | loss: 0.61031 | val_0_rmse: 0.76816 | val_1_rmse: 0.76886 |  0:00:15s
epoch 2  | loss: 0.60582 | val_0_rmse: 0.76316 | val_1_rmse: 0.76033 |  0:00:21s
epoch 3  | loss: 0.59053 | val_0_rmse: 0.81195 | val_1_rmse: 0.81389 |  0:00:27s
epoch 4  | loss: 0.58569 | val_0_rmse: 0.75424 | val_1_rmse: 0.75455 |  0:00:32s
epoch 5  | loss: 0.59402 | val_0_rmse: 0.74833 | val_1_rmse: 0.74908 |  0:00:38s
epoch 6  | loss: 0.58181 | val_0_rmse: 0.74909 | val_1_rmse: 0.74882 |  0:00:44s
epoch 7  | loss: 0.5729  | val_0_rmse: 0.7522  | val_1_rmse: 0.75376 |  0:00:50s
epoch 8  | loss: 0.57122 | val_0_rmse: 0.74413 | val_1_rmse: 0.74315 |  0:00:56s
epoch 9  | loss: 0.57378 | val_0_rmse: 0.74696 | val_1_rmse: 0.74771 |  0:01:02s
epoch 10 | loss: 0.56592 | val_0_rmse: 0.72825 | val_1_rmse: 0.72932 |  0:01:08s
epoch 11 | loss: 0.56319 | val_0_rmse: 0.77755 | val_1_rmse: 0.77917 |  0:01:15s
epoch 12 | loss: 0.56363 | val_0_rmse: 0.73664 | val_1_rmse: 0.73889 |  0:01:21s
epoch 13 | loss: 0.55841 | val_0_rmse: 0.71683 | val_1_rmse: 0.71699 |  0:01:27s
epoch 14 | loss: 0.55846 | val_0_rmse: 0.7482  | val_1_rmse: 0.74717 |  0:01:33s
epoch 15 | loss: 0.55639 | val_0_rmse: 0.73714 | val_1_rmse: 0.73629 |  0:01:39s
epoch 16 | loss: 0.55557 | val_0_rmse: 0.77169 | val_1_rmse: 0.76896 |  0:01:45s
epoch 17 | loss: 0.55954 | val_0_rmse: 0.72553 | val_1_rmse: 0.72781 |  0:01:51s
epoch 18 | loss: 0.55174 | val_0_rmse: 0.72898 | val_1_rmse: 0.72923 |  0:01:57s
epoch 19 | loss: 0.55174 | val_0_rmse: 0.71915 | val_1_rmse: 0.71962 |  0:02:04s
epoch 20 | loss: 0.54999 | val_0_rmse: 0.72274 | val_1_rmse: 0.72351 |  0:02:11s
epoch 21 | loss: 0.54896 | val_0_rmse: 0.74228 | val_1_rmse: 0.74248 |  0:02:17s
epoch 22 | loss: 0.54416 | val_0_rmse: 0.71435 | val_1_rmse: 0.71473 |  0:02:24s
epoch 23 | loss: 0.55032 | val_0_rmse: 0.71044 | val_1_rmse: 0.71098 |  0:02:30s
epoch 24 | loss: 0.55159 | val_0_rmse: 0.75988 | val_1_rmse: 0.7565  |  0:02:36s
epoch 25 | loss: 0.54625 | val_0_rmse: 0.72874 | val_1_rmse: 0.73126 |  0:02:42s
epoch 26 | loss: 0.552   | val_0_rmse: 0.72712 | val_1_rmse: 0.72709 |  0:02:48s
epoch 27 | loss: 0.5392  | val_0_rmse: 0.71444 | val_1_rmse: 0.71303 |  0:02:54s
epoch 28 | loss: 0.53801 | val_0_rmse: 0.74046 | val_1_rmse: 0.73855 |  0:03:00s
