TabNet Logs:

Saving copy of script...
In this script all datasets are increased in size up to the size of the biggest dataset by sampling random rows and modifying them with a noise depending on the standard deviation of the value in questionThis is done to test the possibility that the variance in datasets sizes is decreasing performanceBy evening out the sizes its excepted that the model achieves better performance
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 02:50:38
epoch 0  | loss: 0.73327 | val_0_rmse: 0.81597 | val_1_rmse: 0.81401 |  0:00:12s
epoch 1  | loss: 0.65685 | val_0_rmse: 0.82462 | val_1_rmse: 0.80079 |  0:00:21s
epoch 2  | loss: 0.64325 | val_0_rmse: 0.79567 | val_1_rmse: 0.79728 |  0:00:30s
epoch 3  | loss: 0.64311 | val_0_rmse: 0.80944 | val_1_rmse: 0.80891 |  0:00:39s
epoch 4  | loss: 0.6388  | val_0_rmse: 0.81462 | val_1_rmse: 0.81614 |  0:00:48s
epoch 5  | loss: 0.63579 | val_0_rmse: 0.79621 | val_1_rmse: 0.79445 |  0:00:57s
epoch 6  | loss: 0.63296 | val_0_rmse: 0.79138 | val_1_rmse: 0.79126 |  0:01:06s
epoch 7  | loss: 0.63694 | val_0_rmse: 0.79468 | val_1_rmse: 0.79355 |  0:01:15s
epoch 8  | loss: 0.63409 | val_0_rmse: 0.79274 | val_1_rmse: 0.7897  |  0:01:24s
epoch 9  | loss: 0.63242 | val_0_rmse: 0.79442 | val_1_rmse: 0.79403 |  0:01:33s
epoch 10 | loss: 0.63433 | val_0_rmse: 0.79419 | val_1_rmse: 0.79298 |  0:01:42s
epoch 11 | loss: 0.62809 | val_0_rmse: 0.79178 | val_1_rmse: 0.79105 |  0:01:51s
epoch 12 | loss: 0.62861 | val_0_rmse: 0.78876 | val_1_rmse: 0.78966 |  0:02:00s
epoch 13 | loss: 0.62754 | val_0_rmse: 0.79231 | val_1_rmse: 0.79171 |  0:02:09s
epoch 14 | loss: 0.62982 | val_0_rmse: 0.79364 | val_1_rmse: 0.79559 |  0:02:17s
epoch 15 | loss: 0.62975 | val_0_rmse: 0.78937 | val_1_rmse: 0.79023 |  0:02:26s
epoch 16 | loss: 0.63029 | val_0_rmse: 0.78859 | val_1_rmse: 0.78901 |  0:02:35s
epoch 17 | loss: 0.6271  | val_0_rmse: 0.79592 | val_1_rmse: 0.79559 |  0:02:44s
epoch 18 | loss: 0.62546 | val_0_rmse: 0.78812 | val_1_rmse: 0.78856 |  0:02:53s
epoch 19 | loss: 0.62325 | val_0_rmse: 0.78362 | val_1_rmse: 0.78554 |  0:03:02s
epoch 20 | loss: 0.62571 | val_0_rmse: 0.79235 | val_1_rmse: 0.79359 |  0:03:11s
