TabNet Logs:

Saving copy of script...
In this script all datasets are increased in size up to the size of the biggest dataset by sampling random rows and modifying them with a noise depending on the standard deviation of the value in questionThis is done to test the possibility that the variance in datasets sizes is decreasing performanceBy evening out the sizes its excepted that the model achieves better performance
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 02:47:36
epoch 0  | loss: 0.53828 | val_0_rmse: 0.65889 | val_1_rmse: 0.65906 |  0:00:12s
epoch 1  | loss: 0.38723 | val_0_rmse: 0.60315 | val_1_rmse: 0.59919 |  0:00:21s
epoch 2  | loss: 0.35999 | val_0_rmse: 0.56396 | val_1_rmse: 0.55734 |  0:00:30s
epoch 3  | loss: 0.35063 | val_0_rmse: 0.56184 | val_1_rmse: 0.55507 |  0:00:39s
epoch 4  | loss: 0.33424 | val_0_rmse: 0.55099 | val_1_rmse: 0.54448 |  0:00:48s
epoch 5  | loss: 0.33114 | val_0_rmse: 0.54836 | val_1_rmse: 0.54176 |  0:00:57s
epoch 6  | loss: 0.32217 | val_0_rmse: 0.58477 | val_1_rmse: 0.58146 |  0:01:06s
epoch 7  | loss: 0.33057 | val_0_rmse: 0.58435 | val_1_rmse: 0.57711 |  0:01:14s
epoch 8  | loss: 0.3282  | val_0_rmse: 0.53624 | val_1_rmse: 0.53185 |  0:01:23s
epoch 9  | loss: 0.31275 | val_0_rmse: 0.53713 | val_1_rmse: 0.53506 |  0:01:32s
epoch 10 | loss: 0.3185  | val_0_rmse: 0.53357 | val_1_rmse: 0.53036 |  0:01:41s
epoch 11 | loss: 0.3089  | val_0_rmse: 0.53452 | val_1_rmse: 0.52878 |  0:01:50s
epoch 12 | loss: 0.30645 | val_0_rmse: 0.53995 | val_1_rmse: 0.53407 |  0:01:59s
epoch 13 | loss: 0.30593 | val_0_rmse: 0.52652 | val_1_rmse: 0.52286 |  0:02:07s
epoch 14 | loss: 0.29839 | val_0_rmse: 0.5168  | val_1_rmse: 0.5112  |  0:02:16s
epoch 15 | loss: 0.30534 | val_0_rmse: 0.53721 | val_1_rmse: 0.5334  |  0:02:25s
epoch 16 | loss: 0.30279 | val_0_rmse: 0.53139 | val_1_rmse: 0.52592 |  0:02:34s
epoch 17 | loss: 0.2975  | val_0_rmse: 0.52063 | val_1_rmse: 0.51661 |  0:02:43s
epoch 18 | loss: 0.29343 | val_0_rmse: 0.54152 | val_1_rmse: 0.53419 |  0:02:52s
epoch 19 | loss: 0.30387 | val_0_rmse: 0.53127 | val_1_rmse: 0.52679 |  0:03:01s
epoch 20 | loss: 0.29649 | val_0_rmse: 0.53309 | val_1_rmse: 0.52995 |  0:03:10s
epoch 21 | loss: 0.30106 | val_0_rmse: 0.52975 | val_1_rmse: 0.52657 |  0:03:19s
epoch 22 | loss: 0.29141 | val_0_rmse: 0.51788 | val_1_rmse: 0.51553 |  0:03:27s
epoch 23 | loss: 0.30178 | val_0_rmse: 0.52471 | val_1_rmse: 0.52041 |  0:03:36s
epoch 24 | loss: 0.29583 | val_0_rmse: 0.51727 | val_1_rmse: 0.51552 |  0:03:45s
epoch 25 | loss: 0.28895 | val_0_rmse: 0.53199 | val_1_rmse: 0.52808 |  0:03:54s
epoch 26 | loss: 0.29178 | val_0_rmse: 0.53906 | val_1_rmse: 0.53621 |  0:04:03s
epoch 27 | loss: 0.28383 | val_0_rmse: 0.51534 | val_1_rmse: 0.51278 |  0:04:12s
epoch 28 | loss: 0.28499 | val_0_rmse: 0.51862 | val_1_rmse: 0.51493 |  0:04:21s
epoch 29 | loss: 0.28578 | val_0_rmse: 0.5162  | val_1_rmse: 0.50903 |  0:04:30s
epoch 30 | loss: 0.2846  | val_0_rmse: 0.51958 | val_1_rmse: 0.51436 |  0:04:39s
epoch 31 | loss: 0.29421 | val_0_rmse: 0.52291 | val_1_rmse: 0.51682 |  0:04:47s
epoch 32 | loss: 0.28609 | val_0_rmse: 0.51651 | val_1_rmse: 0.51378 |  0:04:56s
epoch 33 | loss: 0.30332 | val_0_rmse: 0.52248 | val_1_rmse: 0.51804 |  0:05:05s
epoch 34 | loss: 0.30077 | val_0_rmse: 0.52842 | val_1_rmse: 0.52562 |  0:05:14s
epoch 35 | loss: 0.29356 | val_0_rmse: 0.51963 | val_1_rmse: 0.51371 |  0:05:23s
epoch 36 | loss: 0.29074 | val_0_rmse: 0.52703 | val_1_rmse: 0.52259 |  0:05:32s
epoch 37 | loss: 0.29764 | val_0_rmse: 0.52239 | val_1_rmse: 0.51875 |  0:05:40s
epoch 38 | loss: 0.29731 | val_0_rmse: 0.52089 | val_1_rmse: 0.51626 |  0:05:49s
epoch 39 | loss: 0.2903  | val_0_rmse: 0.51677 | val_1_rmse: 0.51359 |  0:05:58s
epoch 40 | loss: 0.29475 | val_0_rmse: 0.53444 | val_1_rmse: 0.5308  |  0:06:07s
epoch 41 | loss: 0.29759 | val_0_rmse: 0.5427  | val_1_rmse: 0.53906 |  0:06:16s
epoch 42 | loss: 0.29065 | val_0_rmse: 0.50779 | val_1_rmse: 0.50698 |  0:06:25s
epoch 43 | loss: 0.27863 | val_0_rmse: 0.50425 | val_1_rmse: 0.50393 |  0:06:34s
epoch 44 | loss: 0.28209 | val_0_rmse: 0.51505 | val_1_rmse: 0.51373 |  0:06:43s
epoch 45 | loss: 0.28139 | val_0_rmse: 0.5239  | val_1_rmse: 0.51966 |  0:06:52s
epoch 46 | loss: 0.28218 | val_0_rmse: 0.50716 | val_1_rmse: 0.50599 |  0:07:00s
epoch 47 | loss: 0.27661 | val_0_rmse: 0.50983 | val_1_rmse: 0.51119 |  0:07:09s
epoch 48 | loss: 0.28097 | val_0_rmse: 0.49808 | val_1_rmse: 0.49589 |  0:07:18s
epoch 49 | loss: 0.27706 | val_0_rmse: 0.49783 | val_1_rmse: 0.4957  |  0:07:27s
epoch 50 | loss: 0.27666 | val_0_rmse: 0.51245 | val_1_rmse: 0.51044 |  0:07:36s
epoch 51 | loss: 0.28169 | val_0_rmse: 0.50706 | val_1_rmse: 0.50577 |  0:07:45s
epoch 52 | loss: 0.27846 | val_0_rmse: 0.52729 | val_1_rmse: 0.52289 |  0:07:53s
epoch 53 | loss: 0.27176 | val_0_rmse: 0.50561 | val_1_rmse: 0.50489 |  0:08:02s
epoch 54 | loss: 0.27488 | val_0_rmse: 0.49285 | val_1_rmse: 0.49122 |  0:08:11s
epoch 55 | loss: 0.28146 | val_0_rmse: 0.51026 | val_1_rmse: 0.51133 |  0:08:20s
epoch 56 | loss: 0.27233 | val_0_rmse: 0.51164 | val_1_rmse: 0.5118  |  0:08:28s
epoch 57 | loss: 0.28225 | val_0_rmse: 0.52543 | val_1_rmse: 0.52212 |  0:08:37s
epoch 58 | loss: 0.27618 | val_0_rmse: 0.51931 | val_1_rmse: 0.52096 |  0:08:46s
epoch 59 | loss: 0.27135 | val_0_rmse: 0.50105 | val_1_rmse: 0.49721 |  0:08:55s
epoch 60 | loss: 0.27636 | val_0_rmse: 0.49621 | val_1_rmse: 0.49379 |  0:09:04s
epoch 61 | loss: 0.26759 | val_0_rmse: 0.49033 | val_1_rmse: 0.48897 |  0:09:12s
epoch 62 | loss: 0.26267 | val_0_rmse: 0.49605 | val_1_rmse: 0.49372 |  0:09:21s
epoch 63 | loss: 0.26511 | val_0_rmse: 0.49433 | val_1_rmse: 0.49279 |  0:09:30s
