TabNet Logs:

Saving copy of script...
In this script only the South American datasets are used and they have two extra features - Country and ProvinceThis is done to test the possibility that the number of features being used is too low and adding more is helpful
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: ar properties.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 05:04:21
epoch 0  | loss: 0.66717 | val_0_rmse: 0.72275 | val_1_rmse: 0.72443 |  0:00:09s
epoch 1  | loss: 0.44245 | val_0_rmse: 0.68251 | val_1_rmse: 0.68436 |  0:00:15s
epoch 2  | loss: 0.42263 | val_0_rmse: 0.67047 | val_1_rmse: 0.6717  |  0:00:21s
epoch 3  | loss: 0.40711 | val_0_rmse: 0.71395 | val_1_rmse: 0.71472 |  0:00:26s
epoch 4  | loss: 0.39517 | val_0_rmse: 0.70703 | val_1_rmse: 0.70903 |  0:00:32s
epoch 5  | loss: 0.39449 | val_0_rmse: 0.7664  | val_1_rmse: 0.76629 |  0:00:38s
epoch 6  | loss: 0.38775 | val_0_rmse: 0.73597 | val_1_rmse: 0.73673 |  0:00:44s
epoch 7  | loss: 0.38173 | val_0_rmse: 0.69189 | val_1_rmse: 0.69338 |  0:00:50s
epoch 8  | loss: 0.38397 | val_0_rmse: 0.66635 | val_1_rmse: 0.66879 |  0:00:56s
epoch 9  | loss: 0.37945 | val_0_rmse: 0.61563 | val_1_rmse: 0.61932 |  0:01:02s
epoch 10 | loss: 0.37638 | val_0_rmse: 0.61226 | val_1_rmse: 0.61708 |  0:01:08s
epoch 11 | loss: 0.37395 | val_0_rmse: 0.68504 | val_1_rmse: 0.68773 |  0:01:14s
epoch 12 | loss: 0.37468 | val_0_rmse: 0.64491 | val_1_rmse: 0.64852 |  0:01:21s
epoch 13 | loss: 0.37459 | val_0_rmse: 0.66964 | val_1_rmse: 0.67246 |  0:01:27s
epoch 14 | loss: 0.36498 | val_0_rmse: 0.73403 | val_1_rmse: 0.73514 |  0:01:34s
epoch 15 | loss: 0.36308 | val_0_rmse: 0.79653 | val_1_rmse: 0.79579 |  0:01:41s
epoch 16 | loss: 0.36555 | val_0_rmse: 0.59099 | val_1_rmse: 0.59357 |  0:01:48s
epoch 17 | loss: 0.36161 | val_0_rmse: 0.6028  | val_1_rmse: 0.60402 |  0:01:55s
epoch 18 | loss: 0.35951 | val_0_rmse: 0.79181 | val_1_rmse: 0.79178 |  0:02:02s
epoch 19 | loss: 0.35597 | val_0_rmse: 0.66301 | val_1_rmse: 0.66372 |  0:02:09s
epoch 20 | loss: 0.35784 | val_0_rmse: 0.63897 | val_1_rmse: 0.64028 |  0:02:17s
epoch 21 | loss: 0.35452 | val_0_rmse: 0.74743 | val_1_rmse: 0.74634 |  0:02:24s
epoch 22 | loss: 0.35486 | val_0_rmse: 0.61597 | val_1_rmse: 0.61761 |  0:02:32s
epoch 23 | loss: 0.35382 | val_0_rmse: 0.65854 | val_1_rmse: 0.65929 |  0:02:39s
epoch 24 | loss: 0.35239 | val_0_rmse: 0.6958  | val_1_rmse: 0.69642 |  0:02:47s
epoch 25 | loss: 0.35331 | val_0_rmse: 0.60297 | val_1_rmse: 0.60424 |  0:02:55s
epoch 26 | loss: 0.3509  | val_0_rmse: 0.63835 | val_1_rmse: 0.63848 |  0:03:03s
epoch 27 | loss: 0.35228 | val_0_rmse: 0.73324 | val_1_rmse: 0.73336 |  0:03:10s
