TabNet Logs:

Saving copy of script...
In this script all datasets are increased in size up to the size of the biggest dataset by sampling random rows and modifying them with a 1% noiseThis is done to test the possibility that the variance in datasets sizes is decreasing performanceBy evening out the sizes its excepted that the model achieves better performance
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 05:24:53
epoch 0  | loss: 0.75423 | val_0_rmse: 0.81503 | val_1_rmse: 0.82364 |  0:00:10s
epoch 1  | loss: 0.6111  | val_0_rmse: 0.76011 | val_1_rmse: 0.7637  |  0:00:17s
epoch 2  | loss: 0.57146 | val_0_rmse: 0.74273 | val_1_rmse: 0.7477  |  0:00:24s
epoch 3  | loss: 0.55488 | val_0_rmse: 0.7477  | val_1_rmse: 0.75234 |  0:00:32s
epoch 4  | loss: 0.55184 | val_0_rmse: 0.73602 | val_1_rmse: 0.74176 |  0:00:39s
epoch 5  | loss: 0.55134 | val_0_rmse: 0.7266  | val_1_rmse: 0.7278  |  0:00:47s
epoch 6  | loss: 0.5438  | val_0_rmse: 0.74027 | val_1_rmse: 0.74275 |  0:00:54s
epoch 7  | loss: 0.541   | val_0_rmse: 0.73019 | val_1_rmse: 0.73186 |  0:01:01s
epoch 8  | loss: 0.54397 | val_0_rmse: 0.72378 | val_1_rmse: 0.7278  |  0:01:08s
epoch 9  | loss: 0.5344  | val_0_rmse: 0.72522 | val_1_rmse: 0.72986 |  0:01:16s
epoch 10 | loss: 0.53852 | val_0_rmse: 0.74759 | val_1_rmse: 0.75239 |  0:01:23s
epoch 11 | loss: 0.53781 | val_0_rmse: 0.72789 | val_1_rmse: 0.73077 |  0:01:30s
epoch 12 | loss: 0.53776 | val_0_rmse: 0.74473 | val_1_rmse: 0.74592 |  0:01:37s
epoch 13 | loss: 0.54494 | val_0_rmse: 0.73686 | val_1_rmse: 0.74276 |  0:01:45s
epoch 14 | loss: 0.55002 | val_0_rmse: 0.72586 | val_1_rmse: 0.73025 |  0:01:52s
epoch 15 | loss: 0.53789 | val_0_rmse: 0.72193 | val_1_rmse: 0.72474 |  0:01:59s
epoch 16 | loss: 0.53151 | val_0_rmse: 0.71548 | val_1_rmse: 0.7198  |  0:02:06s
epoch 17 | loss: 0.52821 | val_0_rmse: 0.71668 | val_1_rmse: 0.72289 |  0:02:13s
epoch 18 | loss: 0.5311  | val_0_rmse: 0.71333 | val_1_rmse: 0.71783 |  0:02:20s
