TabNet Logs:

Saving copy of script...
In this script all datasets are increased in size up to the size of the biggest dataset by sampling random rows and modifying them with a noise depending on the standard deviation of the value in questionOnly latitude and longitude are used in trainingThis is done to test the possibility that the variance in datasets sizes is decreasing performanceBy evening out the sizes its excepted that the model achieves better performance
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 13:57:37
epoch 0  | loss: 1.09523 | val_0_rmse: 0.82308 | val_1_rmse: 0.8225  |  0:00:05s
epoch 1  | loss: 0.64721 | val_0_rmse: 0.78741 | val_1_rmse: 0.78699 |  0:00:06s
epoch 2  | loss: 0.62611 | val_0_rmse: 0.77997 | val_1_rmse: 0.78087 |  0:00:08s
epoch 3  | loss: 0.61308 | val_0_rmse: 0.75982 | val_1_rmse: 0.7642  |  0:00:09s
epoch 4  | loss: 0.60605 | val_0_rmse: 0.76895 | val_1_rmse: 0.77097 |  0:00:11s
epoch 5  | loss: 0.60554 | val_0_rmse: 0.76037 | val_1_rmse: 0.75909 |  0:00:12s
epoch 6  | loss: 0.59836 | val_0_rmse: 0.77992 | val_1_rmse: 0.77718 |  0:00:14s
epoch 7  | loss: 0.60849 | val_0_rmse: 0.7587  | val_1_rmse: 0.75587 |  0:00:15s
epoch 8  | loss: 0.59321 | val_0_rmse: 0.75192 | val_1_rmse: 0.75571 |  0:00:16s
epoch 9  | loss: 0.58763 | val_0_rmse: 0.75795 | val_1_rmse: 0.7606  |  0:00:18s
epoch 10 | loss: 0.59244 | val_0_rmse: 0.7544  | val_1_rmse: 0.75358 |  0:00:19s
epoch 11 | loss: 0.58692 | val_0_rmse: 0.80078 | val_1_rmse: 0.79748 |  0:00:21s
epoch 12 | loss: 0.59249 | val_0_rmse: 0.74432 | val_1_rmse: 0.74536 |  0:00:22s
epoch 13 | loss: 0.58367 | val_0_rmse: 0.74619 | val_1_rmse: 0.74465 |  0:00:24s
epoch 14 | loss: 0.57845 | val_0_rmse: 0.77031 | val_1_rmse: 0.76757 |  0:00:25s
epoch 15 | loss: 0.58501 | val_0_rmse: 0.74539 | val_1_rmse: 0.7468  |  0:00:27s
epoch 16 | loss: 0.57956 | val_0_rmse: 0.77993 | val_1_rmse: 0.77893 |  0:00:28s
epoch 17 | loss: 0.58409 | val_0_rmse: 0.74195 | val_1_rmse: 0.74008 |  0:00:30s
epoch 18 | loss: 0.57796 | val_0_rmse: 0.77502 | val_1_rmse: 0.78098 |  0:00:31s
epoch 19 | loss: 0.57878 | val_0_rmse: 0.74562 | val_1_rmse: 0.74763 |  0:00:32s
epoch 20 | loss: 0.57799 | val_0_rmse: 0.73839 | val_1_rmse: 0.73836 |  0:00:34s
epoch 21 | loss: 0.58106 | val_0_rmse: 0.79516 | val_1_rmse: 0.78707 |  0:00:35s
epoch 22 | loss: 0.5839  | val_0_rmse: 0.75664 | val_1_rmse: 0.76561 |  0:00:37s
epoch 23 | loss: 0.58142 | val_0_rmse: 0.75804 | val_1_rmse: 0.75484 |  0:00:39s
epoch 24 | loss: 0.57704 | val_0_rmse: 0.73916 | val_1_rmse: 0.7345  |  0:00:40s
epoch 25 | loss: 0.57125 | val_0_rmse: 0.7402  | val_1_rmse: 0.7396  |  0:00:42s
epoch 26 | loss: 0.57082 | val_0_rmse: 0.74091 | val_1_rmse: 0.74553 |  0:00:43s
epoch 27 | loss: 0.57847 | val_0_rmse: 0.77333 | val_1_rmse: 0.77147 |  0:00:44s
epoch 28 | loss: 0.57521 | val_0_rmse: 0.74923 | val_1_rmse: 0.74333 |  0:00:46s
epoch 29 | loss: 0.57545 | val_0_rmse: 0.73546 | val_1_rmse: 0.73189 |  0:00:47s
epoch 30 | loss: 0.56784 | val_0_rmse: 0.73046 | val_1_rmse: 0.73234 |  0:00:49s
epoch 31 | loss: 0.56879 | val_0_rmse: 0.73543 | val_1_rmse: 0.73575 |  0:00:50s
epoch 32 | loss: 0.5712  | val_0_rmse: 0.75059 | val_1_rmse: 0.75723 |  0:00:52s
epoch 33 | loss: 0.57573 | val_0_rmse: 0.80003 | val_1_rmse: 0.79318 |  0:00:53s
epoch 34 | loss: 0.57541 | val_0_rmse: 0.75927 | val_1_rmse: 0.76518 |  0:00:55s
epoch 35 | loss: 0.56956 | val_0_rmse: 0.73552 | val_1_rmse: 0.73512 |  0:00:56s
epoch 36 | loss: 0.57257 | val_0_rmse: 0.73075 | val_1_rmse: 0.7314  |  0:00:57s
epoch 37 | loss: 0.5651  | val_0_rmse: 0.72642 | val_1_rmse: 0.7289  |  0:00:59s
epoch 38 | loss: 0.56278 | val_0_rmse: 0.72909 | val_1_rmse: 0.73214 |  0:01:00s
epoch 39 | loss: 0.56501 | val_0_rmse: 0.749   | val_1_rmse: 0.75611 |  0:01:02s
epoch 40 | loss: 0.57427 | val_0_rmse: 0.74538 | val_1_rmse: 0.74439 |  0:01:03s
epoch 41 | loss: 0.57602 | val_0_rmse: 0.73628 | val_1_rmse: 0.73511 |  0:01:05s
epoch 42 | loss: 0.57097 | val_0_rmse: 0.80207 | val_1_rmse: 0.79892 |  0:01:06s
epoch 43 | loss: 0.55531 | val_0_rmse: 0.77375 | val_1_rmse: 0.76955 |  0:01:08s
epoch 44 | loss: 0.56958 | val_0_rmse: 0.73125 | val_1_rmse: 0.73498 |  0:01:09s
epoch 45 | loss: 0.55882 | val_0_rmse: 0.74664 | val_1_rmse: 0.7471  |  0:01:11s
epoch 46 | loss: 0.56591 | val_0_rmse: 0.75262 | val_1_rmse: 0.75764 |  0:01:12s
epoch 47 | loss: 0.57156 | val_0_rmse: 0.74079 | val_1_rmse: 0.74274 |  0:01:14s
epoch 48 | loss: 0.5661  | val_0_rmse: 0.75019 | val_1_rmse: 0.74848 |  0:01:15s
epoch 49 | loss: 0.5635  | val_0_rmse: 0.73348 | val_1_rmse: 0.73691 |  0:01:16s
epoch 50 | loss: 0.55172 | val_0_rmse: 0.72635 | val_1_rmse: 0.72782 |  0:01:18s
epoch 51 | loss: 0.55493 | val_0_rmse: 0.7183  | val_1_rmse: 0.71839 |  0:01:19s
epoch 52 | loss: 0.55036 | val_0_rmse: 0.73632 | val_1_rmse: 0.73816 |  0:01:21s
epoch 53 | loss: 0.56421 | val_0_rmse: 0.72217 | val_1_rmse: 0.72107 |  0:01:22s
epoch 54 | loss: 0.56097 | val_0_rmse: 0.72276 | val_1_rmse: 0.71904 |  0:01:24s
