TabNet Logs:

Saving copy of script...
In this script all datasets are increased in size up to the size of the biggest dataset by sampling random rows and modifying them with a noise depending on the standard deviation of the value in questionThis is done to test the possibility that the variance in datasets sizes is decreasing performanceBy evening out the sizes its excepted that the model achieves better performance
Normalization used is StandardScaler
------------------------------------------------------------------
Using the dataset: all perth.csv
Using seed = 0
Train/val/test division is 64/18/18
Device used : cuda
Random Forest params:

{'cat_dims': [], 'cat_emb_dim': 1, 'cat_idxs': [], 'clip_value': 1, 'device_name': 'auto', 'epsilon': 1e-15, 'gamma': 1.3, 'input_dim': None, 'lambda_sparse': 0.001, 'mask_type': 'sparsemax', 'momentum': 0.02, 'n_a': 12, 'n_d': 12, 'n_independent': 2, 'n_shared': 2, 'n_steps': 3, 'optimizer_fn': <class 'torch.optim.adam.Adam'>, 'optimizer_params': {'lr': 0.05}, 'output_dim': None, 'scheduler_fn': None, 'scheduler_params': {}, 'seed': 0, 'verbose': 1}
started training at: 21:09:27
epoch 0  | loss: 0.57816 | val_0_rmse: 0.64768 | val_1_rmse: 0.6536  |  0:00:08s
epoch 1  | loss: 0.41425 | val_0_rmse: 0.61141 | val_1_rmse: 0.61427 |  0:00:15s
epoch 2  | loss: 0.39596 | val_0_rmse: 0.60208 | val_1_rmse: 0.60685 |  0:00:21s
epoch 3  | loss: 0.36483 | val_0_rmse: 0.58    | val_1_rmse: 0.5863  |  0:00:27s
epoch 4  | loss: 0.35852 | val_0_rmse: 0.58572 | val_1_rmse: 0.58995 |  0:00:33s
epoch 5  | loss: 0.35802 | val_0_rmse: 0.57402 | val_1_rmse: 0.58108 |  0:00:40s
epoch 6  | loss: 0.34178 | val_0_rmse: 0.57371 | val_1_rmse: 0.57912 |  0:00:46s
epoch 7  | loss: 0.33894 | val_0_rmse: 0.56946 | val_1_rmse: 0.57584 |  0:00:52s
epoch 8  | loss: 0.34577 | val_0_rmse: 0.57818 | val_1_rmse: 0.58534 |  0:00:58s
epoch 9  | loss: 0.33831 | val_0_rmse: 0.58979 | val_1_rmse: 0.59118 |  0:01:05s
epoch 10 | loss: 0.34131 | val_0_rmse: 0.55586 | val_1_rmse: 0.56068 |  0:01:11s
epoch 11 | loss: 0.32463 | val_0_rmse: 0.56352 | val_1_rmse: 0.57261 |  0:01:17s
epoch 12 | loss: 0.32774 | val_0_rmse: 0.56871 | val_1_rmse: 0.57576 |  0:01:23s
epoch 13 | loss: 0.3267  | val_0_rmse: 0.55565 | val_1_rmse: 0.56193 |  0:01:29s
epoch 14 | loss: 0.32373 | val_0_rmse: 0.56898 | val_1_rmse: 0.57566 |  0:01:36s
epoch 15 | loss: 0.31638 | val_0_rmse: 0.5579  | val_1_rmse: 0.56529 |  0:01:42s
epoch 16 | loss: 0.32187 | val_0_rmse: 0.57016 | val_1_rmse: 0.57846 |  0:01:48s
epoch 17 | loss: 0.32595 | val_0_rmse: 0.54834 | val_1_rmse: 0.55571 |  0:01:54s
epoch 18 | loss: 0.31259 | val_0_rmse: 0.53251 | val_1_rmse: 0.54003 |  0:02:01s
epoch 19 | loss: 0.31271 | val_0_rmse: 0.54353 | val_1_rmse: 0.55294 |  0:02:07s
epoch 20 | loss: 0.3167  | val_0_rmse: 0.53    | val_1_rmse: 0.53712 |  0:02:13s
epoch 21 | loss: 0.31179 | val_0_rmse: 0.53483 | val_1_rmse: 0.54104 |  0:02:20s
epoch 22 | loss: 0.31905 | val_0_rmse: 0.58937 | val_1_rmse: 0.59323 |  0:02:26s
epoch 23 | loss: 0.32876 | val_0_rmse: 0.56812 | val_1_rmse: 0.57463 |  0:02:32s
epoch 24 | loss: 0.3337  | val_0_rmse: 0.5505  | val_1_rmse: 0.55719 |  0:02:39s
epoch 25 | loss: 0.32283 | val_0_rmse: 0.54739 | val_1_rmse: 0.55395 |  0:02:45s
epoch 26 | loss: 0.31694 | val_0_rmse: 0.54995 | val_1_rmse: 0.55714 |  0:02:51s
epoch 27 | loss: 0.31109 | val_0_rmse: 0.54127 | val_1_rmse: 0.54703 |  0:02:57s
