start: 
Current Time = 02:35:56
------------------------------------------------------------------
Dataset: perth.csv
Normalization used is StandardScaler, using kfold=5, also normalizing price
Dataset total size after normalization: (26510, 9)
Train/test division is 70/30
MLPR SKLEARN LOGS WITH FOLLOWING PARAMS:
{'activation': ['relu', 'identity'], 'solver': ['adam'], 'learning_rate': ['invscaling', 'adaptive'], 'learning_rate_init': [0.001, 0.01, 0.1, 1], 'max_iter': [2500000], 'hidden_layer_sizes': [(1, 7), (2, 7), (3, 7), (7, 7)]}
Starting search for best params: 
Current Time = 02:35:56
Best params were the following:
Current Time = 02:44:04
{'activation': 'relu', 'hidden_layer_sizes': (7, 7), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 2500000, 'solver': 'adam'}
Applying prediction with the params...
!!!!!!!!!!!!!!!!!!!!!!!!!!!True vs Preds!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
[-0.35444074] --- -0.6370476665094102
[1.21214955] --- 0.7603875181593964
[-0.84802398] --- -1.0326111506344566
[-0.26860018] --- 0.14163233531250063
[1.70573279] --- 1.0060725197262421
[-0.11837919] --- -0.016698484757900922
[-0.18275962] --- -0.4931441267700476
[0.0790541] --- 0.776893705249587
[-0.18275962] --- 0.08784825451268818
[-0.56904215] --- -0.43080925111908297
[0.01467368] --- 0.05621683115203102
[-0.36517081] --- 0.13710184566471662
[-0.03683066] --- -0.2998581798909898
[-0.13125528] --- 0.13273982683902197
[2.9718811] --- 0.10647855911687487
[-0.37590088] --- -1.0504673476731445
[-0.78364356] --- -0.8965557801482951
[-0.24842765] --- -0.5742165725721858
[-0.07545891] --- 0.31346464674159336
[-1.1699261] --- -1.0001081178542932
[-0.1956357] --- -0.028745371638257966
[1.79157335] --- 1.216181839422359
[-0.20314675] --- 1.2382085072649356
[-0.76218342] --- -0.10720064649643635
[-1.21284638] --- -0.6685925910178302
[2.11347546] --- 1.4068582280940194
[-0.48320159] --- -0.40038757829301486
[-0.86090007] --- -0.7791901420583864
[-1.79227018] --- 0.6099529287721857
[0.91170757] --- 0.8272702661229294
[-0.16129947] --- -0.1122674752565408
[-0.20421976] --- -0.24057797726661645
[-0.91240441] --- -0.1936670277810406
[2.0276349] --- 1.8411015081820299
[-0.15271542] --- -0.38218070026646467
[-1.38452751] --- -1.1117806539565471
[-0.48320159] --- -0.41500457682976566
[-0.41882117] --- -0.19597687554901044
[-1.04116525] --- -0.41457802179229386
[-1.92961509] --- -1.2185924600371094
[-0.84802398] --- -0.31413933703224284
[0.50396489] --- 0.1405273946660741
[0.12626641] --- 0.07386909625099658
[-0.42955124] --- -0.3777231248022095
[3.07918181] --- 2.7703600592693984
[-0.63342257] --- -0.29515564300371944
[-0.3329806] --- -0.4426396891044
[-0.25787011] --- -0.364634151780545
[-1.14846596] --- -0.8553905504955721
[-1.01970511] --- 0.5700605660219136
[0.35374391] --- 0.4082055542611327
[-1.07120945] --- -1.1269943982018211
[-2.04549985] --- -1.2760226759948257
[-1.32014708] --- -0.873029454876258
[-0.01107849] --- 0.1985317332212735
[-0.18275962] --- -0.15219063830852536
[-0.96820077] --- -0.4340053331051261
[0.69710616] --- -0.39976040731571694
[-0.11837919] --- -0.39887372948019706
[-0.09691905] --- 0.6761420879170785
[1.77011321] --- 1.0738351082073279
[-1.23430652] --- -1.03858307577205
[-0.01107849] --- 1.0731480862107872
[-1.23430652] --- -1.0359428277983016
[0.7185663] --- 0.3236139009158313
[0.50396489] --- 0.5674940558694801
[-0.29006032] --- 0.7235828844704499
[-0.70638705] --- -0.8273930126405316
[2.45683772] --- -0.5076872078812618
[0.01038165] --- 0.4542253399020215
[-0.1655915] --- -0.45659348022901614
[-0.89094427] --- -0.7312124753071433
[0.20352292] --- -0.1986563012589363
[-0.44028131] --- 0.031111717396684613
[0.01038165] --- 0.8746846570760431
[0.01038165] --- 0.5422083394550101
[-0.24714004] --- -0.022177060646889846
[-0.59050229] --- -1.0009480813317775
[-0.50895376] --- -0.72105849349242
[0.31082363] --- 1.0549296736563385
[0.31082363] --- 0.7021792498392703
[0.18206278] --- 0.7980579840912221
[1.5555118] --- 0.954450716330103
[-0.91240441] --- -0.7708446184350357
[2.9718811] --- 1.1211911938184511
[-0.16129947] --- -0.5650829872008498
[-0.16129947] --- 1.094375381136104
[-0.84802398] --- -0.28479094338833777
[-0.50466173] --- -0.7258283486885333
[-0.55187404] --- -0.3997326517845613
[-0.50466173] --- -0.5356867725487957
[-0.39736102] --- 0.5553296935901257
[-0.84802398] --- -0.40109334976243827
[-0.11837919] --- 0.7937406734868557
[-0.49178564] --- -0.29723872074523844
[-0.71926314] --- -0.7139190990561544
[-0.64844467] --- -0.6180569714034259
[0.46104461] --- -0.1511194991213064
[-0.74072328] --- -0.25393309947191617
[-0.63342257] --- -0.8314385991565276
[-0.20421976] --- -0.19362726494232296
[0.6112656] --- 0.6044628200956979
[-1.32014708] --- -1.0906304158411733
[2.11347546] --- 1.4916974126270506
[-0.74072328] --- -0.18179095639599963
[-0.61196243] --- 0.04524529392301235
[2.9718811] --- 2.2116888245437556
[1.81303349] --- 2.716765175213976
[-0.3329806] --- -0.3224032528540507
[-0.42311319] --- 0.41469292810538616
[-0.92957252] --- -1.0299999416545602
[-1.70900484] --- -1.025425525120726
[-0.50466173] --- -0.36634814809548644
[-0.03253863] --- -0.16876577817516292
[1.81303349] --- 1.092242229526443
[-0.18275962] --- 0.7743420610572835
[-0.93815658] --- -0.6660813943212722
[-0.39736102] --- -0.379028910874633
[0.2915095] --- 0.25333457886367217
[-0.84802398] --- -1.169035964462922
[-0.16129947] --- 0.19456728243100496
[-0.17417556] --- -0.18654206382767013
[-1.32014708] --- -0.6798282944178344
[1.21214955] --- 1.0748864223693755
[2.19931603] --- 1.8048947570058966
[3.01480138] --- 1.5251071940164294
[-0.67638578] --- -0.9478867273175975
[-0.71926314] --- -0.4714312506302434
[-0.18275962] --- -0.25999589786485855
[-0.89094427] --- -1.0324797899248976
[-0.84802398] --- -0.40840739849849506
[-0.76218342] --- -0.10166305799182207
[-0.85660804] --- -0.143371772922969
[-0.63342257] --- -0.4834996529492149
[-0.35444074] --- -0.5351274448612743
[-0.57333418] --- -0.4128106738005932
[1.46967124] --- 1.097808878469079
[-0.60337838] --- -0.09289689055945405
[-0.65488272] --- -0.5763372768803504
[0.56834532] --- 1.1238815256557357
[-0.50466173] --- -0.30253353525641646
[-0.89094427] --- -0.5381167284217611
[-0.56904215] --- -0.22942365600661774
[0.25931929] --- -0.2888783330651865
[-0.59050229] --- -0.599560426916619
[-0.58191824] --- 0.5049193563871701
[2.69289927] --- 1.2475094675370237
[-0.07545891] --- 0.6948302156680919
[-1.459638] --- -1.223184748761959
[0.28936349] --- -0.36520057619863633
[0.86878729] --- 0.26110284268731265
[1.85595377] --- 1.2656885281230394
[3.12210209] --- 2.3072453438994787
[-0.26860018] --- 0.20058150600195113
[-0.76218342] --- -0.4759915687947355
[-1.10554568] --- -0.6178688352897412
[0.10480627] --- -0.20643336239922983
[0.14343453] --- -0.8760892267166117
[0.01038165] --- -0.02235950309544643
[-1.69794428] --- -1.0348881726972505
[-0.93815658] --- -0.8432285025008199
[-0.63342257] --- -0.5240084395378894
[-0.44028131] --- -0.6762271818399217
[-0.89094427] --- -0.3438232369837575
[0.25931929] --- 0.07536220834428708
[-0.62483852] --- 0.3442054605557895
[-1.04116525] --- -0.5698870040312594
[-0.76218342] --- -0.8729312445433837
[0.86878729] --- 0.8159655392789753
[-0.84802398] --- -0.9460418846260299
[-0.18275962] --- 0.33572723487668865
[-0.46174145] --- -0.25956443863941553
[0.6413098] --- 0.23933056418529153
[0.20352292] --- 0.05152137270180157
[-0.55831208] --- 0.10595983169993695
[-0.16988353] --- 0.3050064986278018
[-0.76218342] --- -0.7720114236282164
[-1.06262539] --- -0.7626543463744992
[0.01038165] --- 0.3932710650660891
[0.82586701] --- 0.00746418544884897
[-1.53474849] --- -0.3963507395206798
[0.28936349] --- -0.27751051386588677
[-1.57766878] --- -0.9465616828831287
[0.22498306] --- 0.5250407976629745
[-0.16129947] --- 0.17034498353167615
[0.02325774] --- -0.600781420634037
[0.63272574] --- 0.31285570939674734
[-0.37590088] --- -0.022883218491981494
[0.2464432] --- -0.3592720210417333
[-0.29006032] --- -0.8566008950978421
[-0.83943993] --- -0.462582900272486
[-0.33727263] --- -0.17747698538345108
[0.39666419] --- 0.5646243004702987
[-0.8051037] --- -0.4580717370058904
[-0.58191824] --- -0.5251196164422343
[-0.16129947] --- -0.648054877559264
[-0.697803] --- -0.014673830616106276
[-0.44028131] --- -0.3348492658901785
[0.18206278] --- 0.7728422712969674
[-0.65488272] --- -0.5202340653953842
[-0.95532469] --- -0.7447885052848964
[0.39666419] --- 0.06793444721945896
[2.07055518] --- 0.8108227368429204
[-0.37590088] --- -0.30374231720315215
[0.67564602] --- 0.6414025144421833
[0.93316771] --- 0.12949823625857415
[-0.13983933] --- 0.5861625586401995
[0.03184179] --- -0.11100049836529596
[-0.31152046] --- -0.7447819103550646
[-0.29006032] --- -0.6947238865219099
[-0.27718424] --- -0.15974898934855902
[-0.48320159] --- -0.37420118853867756
[-0.59050229] --- -0.49435426190584164
[-0.35444074] --- -0.7653867373897274
[1.54692774] --- 0.09397749071403871
[-0.46603348] --- -0.3935983508400622
[0.01038165] --- -0.1078867840949162
[2.32807687] --- 1.502638239644189
[-0.11837919] --- -0.07912071735399262
[-1.49182821] --- -1.045792020170879
[-0.84802398] --- -0.637432869341793
[-0.38019291] --- -0.1734236758601938
[-0.95532469] --- -0.5813060701866226
[0.37520405] --- -0.19847921138103186
[0.69710616] --- 0.21282556853950407
[-1.07550148] --- -0.5272447394973594
[1.89887406] --- 0.20296287271639146
[-0.97678483] --- -0.3826191043581417
[-0.97678483] --- -0.3600155799477758
[-0.59050229] --- -0.4399365274911508
[-0.56904215] --- -0.43514984529338707
[0.11768236] --- -0.12260731662226654
[-1.16134204] --- -0.9254383944118363
[-1.08408553] --- -0.6463280060454759
[-1.36306737] --- -0.9689347403487787
[1.25506983] --- 0.5268330880163454
[-0.697803] --- -0.7078226753894612
[2.43537758] --- 1.519060629161844
[-0.68063488] --- -0.8890604672209517
[0.4749937] --- 1.4884446977655275
[-0.44028131] --- -0.16582312533817006
[0.43958447] --- 0.6988203751577615
[0.2464432] --- 0.4453887810785735
[-0.8051037] --- -0.7087366385993169
[-0.35444074] --- -0.3780054173806944
[-0.46174145] --- -0.3635887585237385
[-0.74072328] --- -0.43253298727104933
[1.0833887] --- 0.5359683664716886
[-0.25143207] --- 0.08831761599046506
[-0.84802398] --- 0.13855391809939976
[3.05772167] --- 1.0949721459287864
[2.9718811] --- 2.1105979651111126
[0.41812433] --- -0.16359243325378248
[-0.01107849] --- -0.41505719351192627
[0.6112656] --- 0.8439100916156752
[0.1391425] --- -0.21001542672587753
[-1.06262539] --- -0.5804021472071783
[-1.01970511] --- -0.9355200837433582
[-1.76565961] --- 0.12183922551200488
[-0.71926314] --- -0.8706243027100296
[0.6112656] --- 0.6492662820807085
[2.56413842] --- 1.891492697883351
[-0.59050229] --- -0.7413044351016894
[1.10484884] --- 1.5484627153111372
[0.7185663] --- 0.7084112890235998
[1.34949445] --- 1.481738682333523
[-1.06262539] --- -0.6805781224377125
[-0.65488272] --- -0.30074633046541077
[-1.06262539] --- -0.5070405157846561
[-1.06262539] --- -0.689064150282892
[-0.66561279] --- 0.541493149338311
[1.5555118] --- 0.6850794284763193
[2.84312026] --- 2.116287022498188
[-0.59050229] --- -0.3870921208168414
[-0.11837919] --- -0.2930827163350018
[-1.53904052] --- -0.8223415692999705
[-0.26860018] --- -0.24211706219844087
[0.7185663] --- 0.2852912330274372
[2.75727969] --- 1.1685395485235457
[-1.01970511] --- 0.10605884795074405
[0.6112656] --- 0.41604473619360416
[-0.03296783] --- 1.5409942866738322
[0.20352292] --- -0.3782842419188427
[0.09622222] --- 0.26831826469299
[0.74002644] --- 1.3484387584282311
[0.33228377] --- 0.3815652541545296
[-1.10125365] --- -0.8280419010774438
[-1.12700582] --- -0.6359646334113012
[-0.50895376] --- 0.3852958390836292
[-0.8051037] --- -0.4875182471707933
[0.50396489] --- -0.3464630211905253
[2.07055518] --- 1.5407625776671106
[1.31945025] --- 1.433898073085248
[1.21214955] --- 0.9221286020047508
[0.20781495] --- 0.7300538659841225
[-1.12271379] --- -0.870459534283456
[-0.74072328] --- -0.2848148370489714
[1.5555118] --- 0.6104356487319382
[-0.89094427] --- -0.2548678149440568
[-0.56904215] --- 0.12495084587238026
[1.04046842] --- 0.2769957645776142
[-0.11837919] --- 0.8178286958801004
[-0.18275962] --- -0.43138955612794927
[-1.14846596] --- -0.9990668448182316
[-0.43598928] --- -0.46955502495533186
[0.89024743] --- 0.9290749001827259
[-0.59479432] --- -0.4568475802842204
[-0.89094427] --- -0.7211579354092927
[-1.14846596] --- -1.050535485767086
