start: 
Current Time = 04:38:56
------------------------------------------------------------------
Dataset: perth.csv
Normalization used is StandardScaler
Dataset total size after normalization: (26510, 9)
Train/test division is 70/30
RANDOM FOREST LOGS WITH FOLLOWING PARAMS:
{'n_estimators': [50, 100, 250, 500], 'max_features': ['auto', 'sqrt', 'log2', None], 'max_depth': [5, 6, 7, 8, 9, 10, 11, 12, 13, 14]}
Starting search for best params: 
Current Time = 04:38:56
Best params were the following:
Current Time = 05:57:59
{'max_depth': 14, 'max_features': 'auto', 'n_estimators': 500}
Applying prediction with the params...
!!!!!!!!!!!!!!!!!!!!!!!!!!!True vs Preds!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
[299250.] --- 264122.9515679963
[529200.] --- 454554.1736791729
[226800.] --- 237314.01197194174
[311850.] --- 328880.0864995148
[601650.] --- 538109.8110224643
[333900.] --- 312014.5397704682
[324450.] --- 296675.87446882064
[362880.] --- 371914.66129522637
[324450.] --- 321119.89819735923
[267750.] --- 311452.1318038964
[353430.] --- 322775.36676249834
[297675.] --- 284419.2660486274
[345870.] --- 377591.62848440127
[332010.] --- 367023.3662789101
[787500.] --- 524537.7875889732
[296100.] --- 215113.86789685313
[236250.] --- 222250.57757123787
[314811.] --- 301684.969339395
[340200.] --- 312897.96611328673
[179550.] --- 184662.4625009269
[322560.] --- 293309.87325722753
[614250.] --- 548119.1647147689
[321457.5] --- 414196.90109503246
[239400.] --- 302531.6670158243
[173250.] --- 164301.3910556382
[661500.] --- 587334.982157606
[280350.] --- 309314.82442178566
[224910.] --- 263116.1464950035
[88200.] --- 344994.1571352106
[485100.] --- 406156.68847906817
[327600.] --- 313434.0059366365
[321300.] --- 323036.1739405468
[217350.] --- 300165.0359221629
[648900.] --- 629528.5336409217
[328860.] --- 321438.455008014
[148050.] --- 198948.81432304275
[280350.] --- 262605.97761970956
[289800.] --- 316885.36192913266
[198450.] --- 235932.61125260007
[68040.] --- 85999.41
[226800.] --- 263018.73001367087
[425250.] --- 335095.84784801694
[369810.] --- 324071.1100476793
[288225.] --- 317694.5618943025
[803250.] --- 707352.1481974185
[258300.] --- 295127.2520585907
[302400.] --- 281939.18150307605
[313425.] --- 269945.61871629104
[182700.] --- 201358.12186069772
[201600.] --- 279480.55197706836
[403200.] --- 484052.0938636364
[194040.] --- 202906.14770851648
[51030.] --- 83315.988
[157500.] --- 163135.7222574799
[349650.] --- 353999.36308460176
[324450.] --- 282072.81537152844
[209160.] --- 220315.27257638302
[453600.] --- 405880.0597813393
[333900.] --- 279763.7146461868
[337050.] --- 398481.77892351354
[611100.] --- 591235.2964278329
[170100.] --- 255551.7195
[349650.] --- 396296.90241070883
[170100.] --- 160083.15555506927
[456750.] --- 381927.81189298065
[425250.] --- 389161.9284994279
[308700.] --- 473008.29410676705
[247590.] --- 236267.238541142
[711900.] --- 516981.1624468947
[352800.] --- 384331.5687285428
[326970.] --- 286284.12820601475
[220500.] --- 205590.51303242162
[381150.] --- 276090.7804077168
[286650.] --- 356402.4608567242
[352800.] --- 522987.421349416
[352800.] --- 339125.7562680704
[315000.] --- 335393.1416427975
[264600.] --- 166263.42217012064
[276570.] --- 268389.787846494
[396900.] --- 472395.6817538317
[396900.] --- 458921.56299497525
[378000.] --- 467895.0423734173
[579600.] --- 530522.6747570875
[217350.] --- 254402.07860341144
[787500.] --- 726098.3860809717
[327600.] --- 293461.0378230848
[327600.] --- 480024.24166724464
[226800.] --- 247388.2939536328
[277200.] --- 246353.9349378749
[270270.] --- 291048.5381534712
[277200.] --- 269569.13107843127
[292950.] --- 377942.0223275597
[226800.] --- 229059.33425863655
[333900.] --- 380670.98397379793
[279090.] --- 280981.78300840413
[245700.] --- 216739.46437832882
[256095.] --- 248109.7329402534
[418950.] --- 449849.91217005096
[242550.] --- 298249.22812539386
[258300.] --- 246285.49168539248
[321300.] --- 333857.9107932732
[441000.] --- 463752.79818460875
[157500.] --- 130850.29202729375
[661500.] --- 679184.7677134273
[242550.] --- 290596.3147602058
[261450.] --- 289721.17754952423
[787500.] --- 619750.1118069786
