start: 
Current Time = 02:35:54
------------------------------------------------------------------
Dataset: perth.csv
Normalization used is StandardScaler, using kfold=5, also normalizing price
Dataset total size after normalization: (26510, 9)
Train/test division is 70/30
RANDOM FOREST LOGS WITH FOLLOWING PARAMS:
{'n_estimators': [50, 100, 250, 500], 'max_features': ['auto', 'sqrt', 'log2', None], 'max_depth': [5, 6, 7, 8, 9, 10, 11, 12, 13, 14]}
Starting search for best params: 
Current Time = 02:35:54
Best params were the following:
Current Time = 03:40:05
{'max_depth': 14, 'max_features': 'auto', 'n_estimators': 500}
Applying prediction with the params...
!!!!!!!!!!!!!!!!!!!!!!!!!!!True vs Preds!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
[-0.35444074] --- -0.582336092044433
[1.21214955] --- 0.6824876394249869
[-0.84802398] --- -0.7884643559375685
[-0.26860018] --- -0.1381883096951058
[1.70573279] --- 1.3209490182354677
[-0.11837919] --- -0.26943470829293453
[-0.18275962] --- -0.38621236047557506
[0.0790541] --- 0.1268305837451438
[-0.18275962] --- -0.19858145916308398
[-0.56904215] --- -0.28891129503020385
[0.01467368] --- -0.19913522603149036
[-0.36517081] --- -0.4510639987401776
[-0.03683066] --- 0.2069846146067559
[-0.13125528] --- 0.12022124222057637
[2.9718811] --- 1.1792611332915464
[-0.37590088] --- -0.9166425487634953
[-0.78364356] --- -0.8800064173898255
[-0.24842765] --- -0.30854289595535267
[-0.07545891] --- -0.23430919943938475
[-1.1699261] --- -1.1432351973213886
[-0.1956357] --- -0.3934644736627183
[1.79157335] --- 1.2948750778149085
[-0.20314675] --- 0.43620972080358444
[-0.76218342] --- -0.2961621318751529
[-1.21284638] --- -1.283786235261786
[2.11347546] --- 1.6087793979105147
[-0.48320159] --- -0.27639360939666746
[-0.86090007] --- -0.5920914935729636
[-1.79227018] --- -0.05132756668492959
[0.91170757] --- 0.4003154025482575
[-0.16129947] --- -0.27004086187976145
[-0.20421976] --- -0.19176604791235657
[-0.91240441] --- -0.2814339140820348
[2.0276349] --- 1.902902869605393
[-0.15271542] --- -0.20431235852882568
[-1.38452751] --- -1.030800501387872
[-0.48320159] --- -0.6007377233001827
[-0.41882117] --- -0.21540894545295883
[-1.04116525] --- -0.798566217971779
[-1.92961509] --- -1.8083172199207818
[-0.84802398] --- -0.6091462468068751
[0.50396489] --- -0.10438329714239564
[0.12626641] --- -0.19538598638733748
[-0.42955124] --- -0.21995765213392623
[3.07918181] --- 2.4091309965315912
[-0.63342257] --- -0.39365960901364067
[-0.3329806] --- -0.48448284328131175
[-0.25787011] --- -0.559037572546406
[-1.14846596] --- -1.0303525384508667
[-1.01970511] --- -0.5035691431381417
[0.35374391] --- 0.8957857556541808
[-1.07120945] --- -1.0097492316274155
[-2.04549985] --- -1.8389477082749837
[-1.32014708] --- -1.2889288292039403
[-0.01107849] --- 0.0482829741419548
[-0.18275962] --- -0.4693972184291303
[-0.96820077] --- -0.8926487166668327
[0.69710616] --- 0.4070252388860534
[-0.11837919] --- -0.4718103343775979
[-0.09691905] --- 0.3070190871253091
[1.77011321] --- 1.5773900658714095
[-1.23430652] --- -0.627330569596392
[-0.01107849] --- 0.3148474216298075
[-1.23430652] --- -1.3059554767243413
[0.7185663] --- 0.20603579992276078
[0.50396489] --- 0.26849734260402447
[-0.29006032] --- 0.8586659487538113
[-0.70638705] --- -0.795632437008188
[2.45683772] --- 1.0827778641553523
[0.01038165] --- 0.23961107268240886
[-0.1655915] --- -0.4583623710074229
[-0.89094427] --- -0.9825576095577502
[0.20352292] --- -0.5118477839527688
[-0.44028131] --- -0.03850982483745534
[0.01038165] --- 1.185189802363328
[0.01038165] --- -0.09876918282660892
[-0.24714004] --- -0.11491606076753855
[-0.59050229] --- -1.2637427378830568
[-0.50895376] --- -0.5822348606641395
[0.31082363] --- 0.7963394086528639
[0.31082363] --- 0.7167802220089756
[0.18206278] --- 0.8808399936036585
[1.5555118] --- 1.2464749229090357
[-0.91240441] --- -0.6269054145753049
[2.9718811] --- 2.5205043525921997
[-0.16129947] --- -0.39554003558622897
[-0.16129947] --- 0.882272623517726
[-0.84802398] --- -0.7025440648557454
[-0.50466173] --- -0.7009449255169146
[-0.55187404] --- -0.4207107096021204
[-0.50466173] --- -0.5562461043717015
[-0.39736102] --- 0.18962989585145848
[-0.84802398] --- -0.837024130649998
[-0.11837919] --- 0.18952459044060768
[-0.49178564] --- -0.46921721957726226
[-0.71926314] --- -0.9023949201229301
[-0.64844467] --- -0.7002464837261815
[0.46104461] --- 0.6691581065263771
[-0.74072328] --- -0.3439715787464104
[-0.63342257] --- -0.7419105294142021
[-0.20421976] --- -0.11306237137440332
[0.6112656] --- 0.7539532619383875
[-1.32014708] --- -1.5182295406941286
[2.11347546] --- 2.250883358863329
[-0.74072328] --- -0.41077614100314486
[-0.61196243] --- -0.42350835496496664
[2.9718811] --- 1.823652262467443
[1.81303349] --- 2.4392811202106954
[-0.3329806] --- -0.48121594466665973
[-0.42311319] --- -0.13106952038793573
[-0.92957252] --- -0.9212789333853619
[-1.70900484] --- -1.7396767682586531
[-0.50466173] --- -0.08128207398446222
[-0.03253863] --- -0.14900876386344072
[1.81303349] --- 0.8697694189882003
[-0.18275962] --- 0.6066082190786143
[-0.93815658] --- -0.6624323681751542
[-0.39736102] --- -0.49689148683095447
[0.2915095] --- 0.34907209544649853
[-0.84802398] --- -0.7512882070437281
[-0.16129947] --- -0.056568446194684846
[-0.17417556] --- 0.02659961372237924
[-1.32014708] --- -0.6314453847806815
[1.21214955] --- 1.0707722761835021
[2.19931603] --- 1.6264471515219365
[3.01480138] --- 1.5585248787923762
[-0.67638578] --- -0.8156126257881453
