start: 
Current Time = 03:18:07
------------------------------------------------------------------
Dataset: all_perth_iqrmultiple.csv
Normalization used is StandardScaler, train/test division is 60/20/20
Dataset total size after normalization: (24471, 9)
TABNET LOGS:

Starting training: 
Current Time = 03:18:07
Device used : cuda
epoch 0  | loss: 230169788103.5412| val_0_rmse: 479752.21085| val_0_mse: 230162183820.0277| val_0_mae: 452675.02657| val_1_rmse: 476586.39368| val_1_mse: 227134590636.7925| val_1_mae: 449978.4328|  0:00:03s
epoch 1  | loss: 230157928022.5539| val_0_rmse: 479738.37672| val_0_mse: 230148910097.2362| val_0_mae: 452660.66391| val_1_rmse: 476572.38019| val_1_mse: 227121233558.53403| val_1_mae: 449963.87571|  0:00:04s
epoch 2  | loss: 230139043557.67117| val_0_rmse: 479714.41361| val_0_mse: 230125918626.46765| val_0_mae: 452636.47171| val_1_rmse: 476548.12771| val_1_mse: 227098118021.7538| val_1_mae: 449939.38124|  0:00:05s
epoch 3  | loss: 230111475858.46503| val_0_rmse: 479684.35212| val_0_mse: 230097077668.49005| val_0_mae: 452606.79025| val_1_rmse: 476518.16898| val_1_mse: 227069565368.4064| val_1_mae: 449909.66942|  0:00:06s
epoch 4  | loss: 230073728733.85968| val_0_rmse: 479635.68363| val_0_mse: 230050389014.50507| val_0_mae: 452559.52255| val_1_rmse: 476468.78791| val_1_mse: 227022505850.99084| val_1_mae: 449861.53273|  0:00:07s
epoch 5  | loss: 230023272901.34424| val_0_rmse: 479570.60555| val_0_mse: 229987965707.7891| val_0_mae: 452496.73024| val_1_rmse: 476403.04361| val_1_mse: 226959859964.5895| val_1_mae: 449797.93222|  0:00:09s
epoch 6  | loss: 229960082493.7943| val_0_rmse: 479512.53919| val_0_mse: 229932275236.42984| val_0_mae: 452440.76088| val_1_rmse: 476343.76961| val_1_mse: 226903386847.07385| val_1_mae: 449740.69574|  0:00:10s
epoch 7  | loss: 229889202274.48032| val_0_rmse: 479432.25991| val_0_mse: 229855291843.869| val_0_mae: 452362.34615| val_1_rmse: 476264.39102| val_1_mse: 226827770156.12775| val_1_mae: 449662.38407|  0:00:11s
epoch 8  | loss: 229810619332.15857| val_0_rmse: 479329.99756| val_0_mse: 229757246560.22513| val_0_mae: 452266.53154| val_1_rmse: 476161.47192| val_1_mse: 226729747340.68933| val_1_mae: 449565.61675|  0:00:12s
epoch 9  | loss: 229723851288.4806| val_0_rmse: 479241.74813| val_0_mse: 229672653153.1734| val_0_mae: 452181.35194| val_1_rmse: 476073.00456| val_1_mse: 226645505667.95947| val_1_mae: 449479.77239|  0:00:13s
epoch 10 | loss: 229628311365.9196| val_0_rmse: 479156.05122| val_0_mse: 229590521416.5501| val_0_mae: 452106.95973| val_1_rmse: 475986.35903| val_1_mse: 226563013987.36212| val_1_mae: 449403.55697|  0:00:15s
epoch 11 | loss: 229528859858.7702| val_0_rmse: 479014.1803| val_0_mse: 229454584927.96747| val_0_mae: 451964.99574| val_1_rmse: 475847.98697| val_1_mse: 226431306699.7863| val_1_mae: 449267.30229|  0:00:16s
