start: 
Current Time = 04:18:45
------------------------------------------------------------------
Dataset: all_perth_iqrmultiple.csv
Normalization used is StandardScaler, using kfold=5
Dataset total size after normalization: (24471, 9)
Device used : cuda
epoch 0  | loss: 229626861220.12772| val_0_rmse: 479185.63369| val_0_mse: 229618871537.0151| val_0_mae: 451983.92008| val_1_rmse: 479573.6439| val_1_mse: 229990879926.7787| val_1_mae: 452757.69456|  0:00:04s
epoch 1  | loss: 229613721256.31265| val_0_rmse: 479169.02733| val_0_mse: 229602956755.37112| val_0_mae: 451966.86098| val_1_rmse: 479557.07737| val_1_mse: 229974990451.5764| val_1_mae: 452740.61561|  0:00:06s
epoch 2  | loss: 229592147244.53027| val_0_rmse: 479142.88052| val_0_mse: 229577899956.1436| val_0_mae: 451940.16987| val_1_rmse: 479530.8099| val_1_mse: 229949797642.37515| val_1_mae: 452713.85664|  0:00:07s
epoch 3  | loss: 229560781894.88223| val_0_rmse: 479100.90868| val_0_mse: 229537680695.4996| val_0_mae: 451897.75982| val_1_rmse: 479489.02783| val_1_mse: 229909727808.28107| val_1_mae: 452671.62184|  0:00:09s
epoch 4  | loss: 229518369581.96884| val_0_rmse: 479054.62011| val_0_mse: 229493329052.16757| val_0_mae: 451852.35329| val_1_rmse: 479442.41307| val_1_mse: 229865027449.1607| val_1_mae: 452625.85716|  0:00:10s
epoch 5  | loss: 229463605503.28073| val_0_rmse: 478986.12194| val_0_mse: 229427705011.01724| val_0_mae: 451782.49101| val_1_rmse: 479372.69071| val_1_mse: 229798176602.98987| val_1_mae: 452554.79328|  0:00:12s
epoch 6  | loss: 229398675150.50012| val_0_rmse: 478936.02077| val_0_mse: 229379711988.87445| val_0_mae: 451733.81301| val_1_rmse: 479323.11283| val_1_mse: 229750646493.71692| val_1_mae: 452506.63898|  0:00:13s
epoch 7  | loss: 229321632024.91345| val_0_rmse: 478853.36206| val_0_mse: 229300542356.42447| val_0_mae: 451652.14835| val_1_rmse: 479240.68484| val_1_mse: 229671634005.128| val_1_mae: 452425.28905|  0:00:15s
epoch 8  | loss: 229233222458.52365| val_0_rmse: 478733.92204| val_0_mse: 229186168112.71906| val_0_mae: 451530.20552| val_1_rmse: 479121.24253| val_1_mse: 229557165044.8988| val_1_mae: 452303.29404|  0:00:16s
epoch 9  | loss: 229134383155.7885| val_0_rmse: 478572.75695| val_0_mse: 229031883698.0674| val_0_mae: 451369.58409| val_1_rmse: 478960.858| val_1_mse: 229403503499.50424| val_1_mae: 452143.39893|  0:00:18s
epoch 10 | loss: 229021676920.90524| val_0_rmse: 478404.59382| val_0_mse: 228870955390.43384| val_0_mae: 451212.98047| val_1_rmse: 478792.51639| val_1_mse: 229242273751.4901| val_1_mae: 451986.10576|  0:00:19s
epoch 11 | loss: 228900380556.91443| val_0_rmse: 478267.2986| val_0_mse: 228739608905.7434| val_0_mae: 451088.47693| val_1_rmse: 478657.93834| val_1_mse: 229113421935.06613| val_1_mae: 451865.90978|  0:00:21s
epoch 12 | loss: 228769053364.08276| val_0_rmse: 478195.91978| val_0_mse: 228671337698.40524| val_0_mae: 451029.012| val_1_rmse: 478586.29039| val_1_mse: 229044837348.377| val_1_mae: 451804.44537|  0:00:22s
epoch 13 | loss: 228640658940.73053| val_0_rmse: 477966.61355| val_0_mse: 228452083671.0402| val_0_mae: 450814.22156| val_1_rmse: 478357.6619| val_1_mse: 228826052696.14795| val_1_mae: 451592.5082|  0:00:24s
epoch 14 | loss: 228504791258.13947| val_0_rmse: 478019.44406| val_0_mse: 228502588901.58524| val_0_mae: 450899.83466| val_1_rmse: 478397.32345| val_1_mse: 228863999080.64563| val_1_mae: 451663.81328|  0:00:25s
epoch 15 | loss: 228357876394.66663| val_0_rmse: 477702.72975| val_0_mse: 228199898011.9905| val_0_mae: 450595.48802| val_1_rmse: 478079.93837| val_1_mse: 228560427468.1474| val_1_mae: 451357.67594|  0:00:27s
epoch 16 | loss: 228211574066.80765| val_0_rmse: 477579.26411| val_0_mse: 228081953504.2581| val_0_mae: 450484.40508| val_1_rmse: 477951.62674| val_1_mse: 228437757501.16196| val_1_mae: 451241.40316|  0:00:28s
epoch 17 | loss: 228066746370.09247| val_0_rmse: 477693.06613| val_0_mse: 228190665425.9626| val_0_mae: 450642.84312| val_1_rmse: 478061.67357| val_1_mse: 228542963734.17468| val_1_mae: 451398.03647|  0:00:30s
epoch 18 | loss: 227921000734.14456| val_0_rmse: 477099.22757| val_0_mse: 227623672951.46228| val_0_mae: 450029.29246| val_1_rmse: 477479.93875| val_1_mse: 227987091911.64417| val_1_mae: 450797.32293|  0:00:31s
epoch 19 | loss: 227755185480.77853| val_0_rmse: 476885.04301| val_0_mse: 227419344248.8184| val_0_mae: 449842.61862| val_1_rmse: 477273.27846| val_1_mse: 227789782336.4741| val_1_mae: 450617.24261|  0:00:33s
epoch 20 | loss: 227580111287.94073| val_0_rmse: 476721.32678| val_0_mse: 227263223404.51035| val_0_mae: 449703.19548| val_1_rmse: 477095.42097| val_1_mse: 227620040707.60303| val_1_mae: 450461.60025|  0:00:34s
epoch 21 | loss: 227405981604.45465| val_0_rmse: 477112.20958| val_0_mse: 227636060529.87845| val_0_mae: 450066.72703| val_1_rmse: 477477.94202| val_1_mse: 227985185112.85696| val_1_mae: 450815.86181|  0:00:36s
