start: 
Current Time = 04:38:46
------------------------------------------------------------------
Dataset: perth.csv
Normalization used is StandardScaler, using kfold=5
Dataset total size after normalization: (26510, 9)
Device used : cuda
epoch 0  | loss: 146029714894.9306| val_0_rmse: 382130.47175| val_0_mse: 146023697439.3303| val_0_mae: 352580.20198| val_1_rmse: 380259.09883| val_1_mse: 144596982241.02094| val_1_mae: 350506.22995|  0:00:06s
epoch 1  | loss: 146018352450.9046| val_0_rmse: 382112.91394| val_0_mse: 146010278997.6732| val_0_mae: 352562.30775| val_1_rmse: 380241.50281| val_1_mse: 144583600456.11417| val_1_mae: 350488.32449|  0:00:09s
epoch 2  | loss: 145999900592.33008| val_0_rmse: 382081.02635| val_0_mse: 145985910697.2243| val_0_mae: 352530.92473| val_1_rmse: 380209.92685| val_1_mse: 144559588473.26828| val_1_mae: 350457.26678|  0:00:12s
epoch 3  | loss: 145972865852.8087| val_0_rmse: 382027.87737| val_0_mse: 145945299091.01764| val_0_mae: 352482.84967| val_1_rmse: 380157.50333| val_1_mse: 144519727336.7374| val_1_mae: 350409.87441|  0:00:14s
epoch 4  | loss: 145932777636.8926| val_0_rmse: 381945.7185| val_0_mse: 145882531878.00693| val_0_mae: 352415.07346| val_1_rmse: 380076.08986| val_1_mse: 144457834086.8496| val_1_mae: 350343.10479|  0:00:17s
epoch 5  | loss: 145879931401.23447| val_0_rmse: 381912.80118| val_0_mse: 145857387704.0664| val_0_mae: 352385.89971| val_1_rmse: 380045.23792| val_1_mse: 144434382862.14868| val_1_mae: 350315.26856|  0:00:19s
epoch 6  | loss: 145821606673.11093| val_0_rmse: 381803.83693| val_0_mse: 145774169895.40997| val_0_mae: 352288.59815| val_1_rmse: 379935.60322| val_1_mse: 144351062592.74588| val_1_mae: 350217.2022|  0:00:22s
epoch 7  | loss: 145753287967.65674| val_0_rmse: 381655.46212| val_0_mse: 145660891766.30798| val_0_mae: 352152.72437| val_1_rmse: 379790.11988| val_1_mse: 144240535155.79446| val_1_mae: 350083.85266|  0:00:24s
epoch 8  | loss: 145674653068.7804| val_0_rmse: 381482.37248| val_0_mse: 145528800513.9704| val_0_mae: 351994.89147| val_1_rmse: 379617.00781| val_1_mse: 144109072621.09036| val_1_mae: 349925.91468|  0:00:26s
epoch 9  | loss: 145585409102.1007| val_0_rmse: 381321.6693| val_0_mse: 145406215476.84467| val_0_mae: 351850.43243| val_1_rmse: 379456.69074| val_1_mse: 143987380146.70108| val_1_mae: 349781.66809|  0:00:29s
epoch 10 | loss: 145489867435.22998| val_0_rmse: 381241.50924| val_0_mse: 145345088368.73257| val_0_mae: 351788.75746| val_1_rmse: 379376.83325| val_1_mse: 143926781610.2214| val_1_mae: 349720.3312|  0:00:31s
epoch 11 | loss: 145387923402.16248| val_0_rmse: 381030.01741| val_0_mse: 145183874170.29584| val_0_mae: 351586.10266| val_1_rmse: 379171.76776| val_1_mse: 143771229464.55545| val_1_mae: 349523.79384|  0:00:34s
epoch 12 | loss: 145280142512.60168| val_0_rmse: 380880.05905| val_0_mse: 145069619382.94604| val_0_mae: 351433.4046| val_1_rmse: 379013.64244| val_1_mse: 143651341156.9751| val_1_mae: 349362.90081|  0:00:36s
