Price,Area,Baths,Beds,Latitude,Longitude,Month,Year
360.0,50.0,1.0,1.0,-34.876799,-56.177896,2,2020
1223.6,10.0,1.0,1.0,-34.910376,-56.133742,2,2020
620.0,56.0,1.0,2.0,-34.85234,-56.19511,2,2020
230.0,80.0,1.0,2.0,-34.847868,-56.240044,2,2020
122360.0,65.0,1.0,2.0,-34.909098,-56.187738,2,2020
27968.0,27.0,1.0,,-34.768949,-55.57304,2,2020
59432.0,76.0,1.0,3.0,-34.826434,-56.104314,10,2019
15732.0,76.0,1.0,3.0,-34.826434,-56.104314,10,2019
121486.0,88.0,1.0,2.0,-34.886776,-56.185112,10,2019
87400.0,91.0,,,-34.90507,-56.203092,10,2019
700.0,90.0,1.0,2.0,-34.902955,-56.158361,10,2019
113620.0,87.0,,,-34.907349,-56.201248,5,2019
192280.0,67.0,1.0,2.0,-34.906811,-56.154739,5,2019
18179.2,40.0,1.0,1.0,-34.902492,-56.162474,5,2019
109250.0,45.0,1.0,1.0,-34.908278,-56.147643,5,2019
249090.0,101.0,1.0,3.0,-34.905852,-56.151437,5,2019
104880.0,79.0,1.0,2.0,-34.866606,-56.180622,5,2019
100510.0,81.0,1.0,2.0,-34.867201,-56.180775,5,2019
130226.0,56.0,1.0,2.0,-34.882193,-56.152953,5,2019
114083.22,66.0,1.0,2.0,-34.886961,-56.163293,5,2019
113620.0,46.0,1.0,1.0,-34.886929,-56.163274,5,2019
104006.0,45.0,1.0,1.0,-34.882193,-56.152953,5,2019
117990.0,48.0,1.0,1.0,-34.886897,-56.163333,5,2019
166060.0,46.0,1.0,1.0,-34.924329,-56.16035,5,2019
300.0,100.0,1.0,1.0,-34.83051,-55.951404,5,2019
260.0,100.0,1.0,,-34.83034,-55.955661,5,2019
400.0,10.0,1.0,1.0,-34.83952,-55.977402,5,2019
360.0,65.0,1.0,,-34.8964164035,-56.1672914028,5,2019
520.0,80.0,1.0,2.0,-34.872465,-56.032569,5,2019
350.0,40.0,1.0,1.0,-34.902193,-56.169877,5,2019
370.0,41.0,1.0,1.0,-34.887018,-56.106558,5,2019
370.0,41.0,1.0,1.0,-34.887008,-56.106491,5,2019
490.0,42.0,1.0,1.0,-34.908434,-56.147357,5,2019
280.0,10.0,1.0,,-34.910354,-56.148334,5,2019
520.0,75.0,1.0,3.0,-34.8592,-56.030497,5,2019
360.0,50.0,1.0,,-34.8812047849,-56.1942315102,5,2019
400.0,60.0,1.0,1.0,-34.904551,-56.165113,5,2019
470.0,65.0,1.0,2.0,-34.896315,-56.165843,5,2019
300.0,50.0,1.0,,-34.8814952269,-56.1098384857,5,2019
310.0,40.0,1.0,,-34.8993510373,-56.1607950926,5,2019
126730.0,80.0,1.0,3.0,-34.869859,-56.164105,11,2019
144210.0,71.0,1.0,2.0,-34.894942,-56.113315,11,2019
56810.0,65.0,1.0,2.0,-34.879453,-56.176701,11,2019
150939.8,64.0,1.0,2.0,-34.897226,-56.122429,11,2019
117378.2,44.0,1.0,1.0,-34.897249,-56.122264,11,2019
94392.0,46.0,1.0,1.0,-34.907657,-56.184425,11,2019
150328.0,50.0,1.0,2.0,-34.895717,-56.110139,11,2019
104880.0,73.0,1.0,2.0,-34.911995,-56.190262,11,2019
117990.0,42.0,1.0,1.0,-34.907877,-56.141639,11,2019
218500.0,74.0,1.0,2.0,-34.911942,-56.150823,11,2019
69046.0,75.0,1.0,2.0,-34.864154,-56.221111,11,2019
94392.0,38.0,1.0,1.0,-34.894925,-56.174169,11,2019
128478.0,70.0,1.0,2.0,-34.898709,-56.150737,11,2019
30590.0,60.0,1.0,2.0,-34.814473,-56.153698,11,2019
360.0,70.0,1.0,2.0,-34.862676,-56.13077,11,2019
318.0,50.0,1.0,2.0,-34.727382,-56.211253,11,2019
200.0,25.0,1.0,,-34.8982863097,-56.1900472641,11,2019
260.0,41.0,1.0,,-34.90485,-56.19035,11,2019
458.0,100.0,1.0,2.0,-34.886283,-56.130695,11,2019
430.0,41.0,1.0,1.0,-34.906214,-56.190773,11,2019
460.0,36.0,1.0,,-34.9062272,-56.1906768,11,2019
390.0,41.0,1.0,1.0,-34.914954,-56.15178,11,2019
210.0,40.0,1.0,1.0,-34.7227,-56.215142,11,2019
