Price,Area,Baths,Beds,Latitude,Longitude,Month,Year
493810.0,55.741824,2,4,-32.1159,115.84245,9,18
319010.0,32.60896704,2,3,-32.19347028,115.8595535,2,19
250838.0,66.79728576000001,1,3,-32.12057813,115.993579,6,15
222870.0,60.47987904000001,1,2,-31.90054675,116.0380088,7,18
284050.0,43.292816640000005,1,4,-31.88579,115.94778,11,16
357466.0,70.51340736,2,4,-32.1538014,116.0236578,3,13
349600.0,35.86057344,2,3,-32.17997786,115.9886473,5,16
323380.0,43.478622720000004,2,4,-32.31766224,115.7619682,3,19
493810.0,81.29016,2,4,-31.84775987,115.8227005,6,20
598690.0,51.282478080000004,2,3,-31.91788,115.90705,10,19
589950.0,235.78791552,2,4,-32.01574,116.08891,7,14
321195.0,36.975409920000004,2,3,-31.65428,115.7022,11,18
262200.0,22.57543872,2,3,-31.84964681,115.846314,12,19
467590.0,65.40374016,2,4,-32.15959,115.84948,7,19
471960.0,57.04246656,2,4,-32.00294817,115.9836459,5,18
598690.0,65.58954624,2,3,-32.06458,115.86046,11,17
305900.0,61.59471552,2,4,-31.66068818,116.0407159,11,17
498180.0,52.76892672,2,4,-31.95242,116.0207,10,20
277932.0,69.77018304,1,2,-31.90409,116.04213,5,13
331246.0,72.92888640000001,2,3,-32.13247,116.0242,8,17
338675.0,72.65017728000001,1,4,-32.14885,115.94308,4,17
406410.0,41.806368000000006,2,4,-32.13768,115.86697,8,17
284050.0,39.11217984,1,3,-31.88355668,115.9542319,8,14
450110.0,36.04637952,2,3,-31.7328966,115.7996371,9,14
533140.0,51.096672000000005,1,3,-31.88948,115.99427,4,13
1704300.0,79.43209920000001,2,5,-32.02366,115.78189,10,18
367080.0,55.741824,2,4,-32.434584,115.758448,1,15
303715.0,41.992174080000005,1,3,-31.90698,115.98698,8,18
430008.0,42.642495360000005,2,4,-32.00415385,115.9949594,11,17
175674.0,66.05406144,1,3,-32.164115,116.0083927,2,19
240350.0,52.9547328,1,3,-32.03406,115.99137,4,18
358340.0,75.06565632,2,4,-32.08948,115.78811,12,19
275310.0,51.096672000000005,2,4,-32.36259,115.7517,12,20
694830.0,194.6318688,3,4,-32.11535746,116.0748618,10,17
524400.0,188.40736512,2,4,-31.91039,116.10841,8,15
349600.0,62.43084288000001,2,4,-32.39686,115.75637,9,19
305900.0,74.04372288,1,3,-31.82521,116.02121,8,13
729790.0,44.593459200000005,2,4,-31.86994,115.79768,6,16
421268.0,43.57152576,2,4,-32.11598945,115.9173273,11,20
1101240.0,32.887676160000005,3,3,-32.02689,115.75382,11,16
353970.0,72.55727424,2,3,-31.66895,115.70455,3,19
406410.0,57.599884800000005,2,3,-31.95549,116.01601,7,19
489440.0,54.998599680000005,2,5,-32.11658806,115.7790863,12,18
332120.0,90.95207616,1,3,-32.0459,115.90519,5,16
314640.0,36.88250688,2,3,-31.638689,115.700206,12,20
471960.0,59.550848640000005,2,4,-31.71607737,115.7997715,3,18
367080.0,63.1740672,2,3,-32.07705,115.94632,6,20
288420.0,45.9870048,2,4,-32.36170962,115.8136691,12,20
616170.0,71.90695296,1,3,-31.98792,115.88137,10,17
537510.0,75.99468672,2,4,-31.88124,115.93878,3,16
493810.0,71.99985600000001,2,3,-32.07693,115.78611,5,20
742900.0,85.19208768,1,3,-31.92056,115.86557,10,13
681720.0,41.527658880000004,2,4,-32.0993486,115.9525676,9,18
454480.0,33.25928832,3,3,-32.10379,115.82631,3,18
961400.0,57.50698176,1,3,-31.97685,115.76985,12,16
515660.0,77.48113536000001,2,5,-31.75123,116.00693,3,20
272688.0,52.11860544,2,4,-31.86829,116.03838,8,18
786600.0,34.55993088,2,3,-31.86096794,115.7663678,8,16
154698.0,38.276052480000004,1,3,-32.15937438,115.9880817,8,13
506920.0,50.260544640000006,2,4,-31.81185,115.8241,7,17
1144940.0,50.53925376,2,4,-31.91782603,115.7766387,7,19
410780.0,27.406396800000003,2,3,-32.00510024,115.9157517,2,18
626658.0,53.697957120000005,2,3,-32.00891,115.87138,2,18
568100.0,66.42567360000001,2,4,-31.83908,115.79647,8,14
338238.0,35.3031552,1,4,-32.00205721,115.941062,9,18
288420.0,21.646408320000003,2,3,-32.23409592,115.8058854,7,15
528770.0,239.50403712000002,1,2,-31.98705,116.04769,8,20
332120.0,32.516064,2,3,-31.65843642,116.0411802,6,16
74290.0,76.92371712,1,2,-31.90963,116.04061,10,998
301530.0,56.02053312,2,3,-31.66719,115.71465,6,17
461472.0,57.50698176,2,4,-32.16854691,115.86785,3,18
1179900.0,74.50823808,1,4,-31.87098262,115.7759589,3,18
642390.0,180.23189760000002,2,4,-31.95124,116.05696,7,15
386745.0,49.145708160000005,2,4,-31.81372,115.85078,11,19
887110.0,46.45152,2,3,-31.81745,115.74223,8,18
463220.0,71.62824384000001,2,3,-31.83138,115.87381,5,16
450110.0,63.917291520000006,1,3,-31.99883,115.90544,6,19
961400.0,94.01787648000001,2,4,-31.90763,115.9573,11,18
1105610.0,54.812793600000006,3,4,-32.02499618,115.8306028,2,18
655500.0,392.515344,3,4,-32.14722691,116.0560529,8,19
412965.0,41.43475584,2,4,-32.15555254,115.8466171,7,18
343045.0,49.42441728,2,4,-31.84873764,115.9045034,1,19
786600.0,42.177980160000004,2,4,-31.8934,115.998,12,8
332120.0,59.64375168,2,5,-32.26303,115.80407,4,15
515660.0,41.71346496,2,3,-32.01232,115.87353,4,19
729790.0,67.54051008,2,4,-32.05318,115.85013,11,18
432630.0,40.13411328,2,4,-31.59475775,115.6689691,2,16
340860.0,50.446350720000005,2,4,-31.88496,115.94411,6,12
244720.0,74.87985024000001,1,3,-32.23786,115.82736,3,17
310270.0,88.53659712000001,1,3,-32.02907099,115.9661741,2,17
406410.0,64.75341888,2,4,-31.77422523,115.7911066,1,16
325128.0,37.34702208,2,3,-32.10493,115.83043,1,20
598690.0,94.01787648000001,2,4,-31.91358,116.02843,4,15
314640.0,20.252862720000003,2,3,-32.01255367,115.9493774,3,16
279680.0,51.096672000000005,2,4,-32.43563932,115.7585468,6,20
430008.0,26.848978560000003,2,3,-31.81702,115.84811,4,16
851276.0,71.16372864,2,5,-31.84584,115.75809,2,13
380190.0,98.66302848000001,2,4,-32.0541,116.0043,9,17
786600.0,34.09541568,2,3,-31.9669,115.78778,6,17
353970.0,64.84632192000001,1,3,-31.8335,115.81362,8,18
