Price,Area,Baths,Beds,Latitude,Longitude,Date
193940.6,109.62558720000001,1.0,3,47.5112,-122.257,10/2014
470212.0,238.76081280000002,2.25,3,47.721,-122.319,12/2014
157320.0,71.5353408,1.0,2,47.7379,-122.233,02/2015
527896.0,182.0899584,3.0,4,47.5208,-122.393,12/2014
445740.0,156.0771072,2.0,3,47.6168,-122.045,02/2015
1070650.0,503.53447680000005,4.5,4,47.6561,-122.005,05/2014
225055.0,159.32871360000001,2.25,3,47.3097,-122.327,06/2014
255076.9,98.4772224,1.5,3,47.4095,-122.315,01/2015
200583.0,165.36741120000002,1.0,3,47.5123,-122.337,04/2015
282302.0,175.5867456,2.5,3,47.3684,-122.031,03/2015
579025.0,330.73482240000004,2.5,3,47.6007,-122.145,04/2015
409032.0,107.76752640000001,1.0,2,47.69,-122.292,05/2014
270940.0,132.85134720000002,1.0,3,47.7558,-122.229,05/2014
349600.0,127.27716480000001,1.75,3,47.6127,-122.045,10/2014
463220.0,168.1545024,2.0,5,47.67,-122.394,03/2015
568100.0,274.06396800000005,3.0,4,47.5714,-122.375,01/2015
345230.0,175.5867456,2.0,3,47.7277,-121.962,07/2014
423890.0,148.644864,1.0,4,47.6648,-122.343,05/2014
165186.0,111.483648,1.0,2,47.3089,-122.21,12/2014
201020.0,116.12880000000001,1.0,3,47.3343,-122.306,04/2015
336490.0,150.50292480000002,1.75,4,47.7025,-122.341,05/2014
1748000.0,283.35427200000004,2.75,3,47.5316,-122.233,08/2014
249090.0,210.88990080000002,2.5,5,47.3266,-122.169,07/2014
220859.8,99.4062528,1.5,2,47.3533,-122.166,05/2014
287546.0,227.61244800000003,2.25,3,47.3739,-122.172,11/2014
203642.0,158.86419840000002,2.0,3,47.3048,-122.218,11/2014
818938.0,227.61244800000003,1.75,3,47.6386,-122.36,06/2014
582958.0,130.064256,1.0,3,47.6221,-122.314,12/2014
382812.0,141.2126208,1.75,3,47.695,-122.304,06/2014
628406.0,238.76081280000002,2.5,4,47.7073,-122.11,03/2015
507357.0,215.53505280000002,2.5,3,47.5391,-122.07,11/2014
244720.0,110.5546176,1.5,2,47.7274,-122.357,12/2014
600875.0,216.4640832,1.75,4,47.6823,-122.368,06/2014
467590.0,101.26431360000001,1.0,3,47.6889,-122.375,11/2014
281865.0,191.38026240000002,2.75,4,47.4276,-122.157,12/2014
608304.0,213.676992,2.5,3,47.6827,-122.31,06/2014
480700.0,154.2190464,1.0,4,47.6621,-122.132,05/2014
559360.0,219.25117440000002,2.0,4,47.6702,-122.362,12/2014
209760.0,113.3417088,1.0,4,47.3341,-122.282,02/2015
528770.0,243.40596480000002,2.5,4,47.5301,-122.18,06/2014
546250.0,238.76081280000002,2.5,4,47.6145,-122.027,07/2014
677350.0,392.05082880000003,2.25,4,47.445,-122.347,08/2014
753379.26,333.9864288,2.75,5,47.6848,-122.016,07/2014
598690.0,145.85777280000002,1.0,3,47.6413,-122.364,10/2014
270066.0,118.9158912,1.0,3,47.4485,-122.175,07/2014
426512.0,293.5736064,2.5,3,47.7443,-121.977,07/2014
183968.26,91.9740096,1.0,3,47.3066,-122.371,03/2015
686090.0,212.74796160000002,2.5,4,47.6194,-122.151,07/2014
393300.0,116.12880000000001,1.75,3,47.6796,-122.301,04/2015
1179900.0,255.76206912,2.5,3,47.4041,-122.451,03/2015
199272.0,110.5546176,1.0,3,47.4258,-122.322,09/2014
301530.0,292.64457600000003,2.5,5,47.4934,-122.189,02/2015
