Price,Area,Baths,Beds,Latitude,Longitude,Date
568.1,56.0,1.0,1.0,-12.1192308,-77.034118,03/2020
524.4,55.0,2.0,2.0,-12.1101648,-76.9748058,03/2020
1311.0,150.0,2.0,2.0,-12.0938394808,-77.0429083319,03/2020
144210.0,86.0,2.0,2.0,-12.098484,-77.0259768,03/2020
275310.0,166.0,4.0,3.0,-12.0598871982,-76.9412377532,03/2020
432630.0,162.0,3.0,3.0,-12.1061035835,-77.0464302196,03/2020
100510.0,78.0,2.0,3.0,-12.0681017,-77.1027401,03/2020
2185.0,300.0,4.0,3.0,-12.0965984001,-77.0366600211,03/2020
258031.02,137.0,3.0,3.0,-12.0942357,-77.0499251,03/2020
1311.0,170.0,3.0,3.0,-12.127766,-76.9956367,03/2020
260.4,140.0,2.0,3.0,-11.9968664241,-77.0984336427,03/2020
699.2,100.0,2.0,3.0,-12.0965439058,-76.9693473037,03/2020
1005.1,125.0,3.0,3.0,-12.1324173,-77.0133142,03/2020
120612.0,48.0,3.0,4.0,-12.0954781,-77.0682492944,03/2020
131100.0,93.0,3.0,4.0,-12.1156631,-76.9359812,03/2020
253460.0,293.0,3.0,5.0,-12.0357424,-77.0391552,03/2020
148580.0,240.0,1.0,3.0,-12.1990036,-77.0056713,02/2020
174800.0,92.0,3.0,3.0,-12.0920398,-77.0648302,02/2020
131100.0,120.0,2.0,2.0,-12.0986337078,-76.9989269368,02/2020
82420.822,86.0,3.0,3.0,-12.0265341,-77.059117,02/2020
467590.0,223.0,4.0,3.0,-12.0952789,-77.0423689,02/2020
201020.0,132.0,3.0,3.0,-12.0795848,-76.9745073,02/2020
100510.0,84.0,2.0,2.0,-12.0986761863,-76.9988679585,02/2020
139840.0,132.0,3.0,3.0,-12.0939864115,-77.0770684523,02/2020
73482.424,72.0,2.0,3.0,-12.0265341,-77.059117,02/2020
56847.582,72.0,2.0,3.0,-12.0265341,-77.059117,02/2020
98762.0,92.0,2.0,3.0,-12.0912599,-77.0812881,02/2020
110298.8,75.0,2.0,2.0,-12.0969876,-77.0157361,02/2020
72226.486,72.0,2.0,3.0,-12.0265341,-77.059117,02/2020
1092.5,200.0,1.0,0.0,-12.0954443,-76.9947088,02/2020
303.8,60.0,2.0,3.0,-12.1775883141,-77.0044152085,02/2020
874.0,90.0,2.0,2.0,-12.1212931,-77.0260416,02/2020
786.6,90.0,3.0,3.0,-12.1331081,-77.0030046,02/2020
651.0,107.0,2.0,4.0,-12.1382950529,-77.001018199,02/2020
640.15,77.0,2.0,3.0,-12.106001,-77.0268053,02/2020
303.8,65.0,2.0,3.0,-12.0561310187,-76.9796899016,02/2020
611.8,160.0,2.0,3.0,-12.0645645031,-76.9453480195,02/2020
1063.3,210.0,2.0,0.0,-12.0112270511,-77.0600561535,02/2020
1302.0,100.0,2.0,0.0,-12.0174984,-77.0097126,02/2020
19228.0,100.0,2.0,0.0,-12.0688317,-76.9592087,01/2020
34960.0,57.0,1.0,2.0,-12.0898508118,-77.0721080955,01/2020
196650.0,120.0,3.0,2.0,-12.1058152,-77.0470226,01/2020
201020.0,81.0,2.0,2.0,-12.1262483,-77.0251607,01/2020
227240.0,94.0,2.0,2.0,-12.1221437948,-77.038933313,01/2020
65550.0,90.0,3.0,2.0,-12.1647403,-76.9877118,01/2020
190960.0,119.0,3.0,3.0,-12.0889201,-76.9948924,01/2020
80408.0,70.0,1.0,3.0,-12.155581,-76.9904638,01/2020
131100.0,158.0,2.0,3.0,-12.0031234,-77.0567061,01/2020
74290.0,64.0,2.0,3.0,-12.1601396,-76.9928697,01/2020
124108.0,103.0,1.0,3.0,-12.1524594,-77.0187839,01/2020
126730.0,95.0,2.0,3.0,-12.083007,-77.0193142,01/2020
314640.0,160.0,3.0,3.0,-12.1274726,-77.032381,01/2020
201020.0,123.0,3.0,3.0,-12.1106301,-76.9808575,01/2020
214130.0,97.0,2.0,3.0,-12.1230371,-77.0089289,01/2020
104880.0,144.0,2.0,3.0,-11.9885303,-77.0877437,01/2020
183365.0,119.0,3.0,3.0,-12.0889201,-76.9948924,01/2020
295412.0,170.0,3.0,3.0,-12.0967482,-76.9824045,01/2020
58590.0,59.0,2.0,3.0,-12.0489024,-77.0691701,01/2020
174800.0,132.0,4.0,3.0,-12.1196504,-76.97443,01/2020
100510.0,120.0,2.0,3.0,-12.1670361,-76.9916406,01/2020
174800.0,90.0,3.0,4.0,-12.0452944248,-76.9853844721,01/2020
218500.0,150.0,2.0,4.0,-12.0639773,-77.0950575,01/2020
227240.0,116.0,2.0,4.0,-12.1183709,-77.0236208,01/2020
375820.0,182.0,4.0,4.0,-12.1216473,-77.0128668,01/2020
130226.0,111.0,3.0,4.0,-12.1026154,-76.9482244,01/2020
94392.0,128.0,1.0,4.0,-12.0127738467,-77.0072592257,01/2020
325.5,18.0,2.0,0.0,-12.1102877,-76.9931741,01/2020
542.5,120.0,1.0,0.0,-11.961805953,-77.0834946963,01/2020
325.5,18.0,1.0,1.0,-12.1098743346,-76.9932757577,01/2020
390.6,53.0,1.0,1.0,-12.1522376,-77.0223068,01/2020
742.9,45.0,1.0,1.0,-12.0909985,-77.037478,01/2020
873.126,63.0,2.0,1.0,-12.1222867642,-77.0294897892,01/2020
2622.0,300.0,2.0,1.0,-12.1913619,-76.9324972,01/2020
856.52,120.0,3.0,2.0,-12.1242638,-77.0077697,01/2020
1398.4,135.0,3.0,2.0,-12.0918645,-77.0499255,01/2020
542.5,62.0,2.0,2.0,-12.1151443,-77.0437622,01/2020
347.2,81.0,2.0,2.0,-12.1721346,-77.0071736,01/2020
1311.0,150.0,1.0,2.0,-12.1562385184,-76.955421437,01/2020
812.82,99.0,3.0,3.0,-12.0925566,-77.0595199,01/2020
681.72,120.0,3.0,3.0,-12.0988101212,-76.9768979381,01/2020
1748.0,89.0,1.0,3.0,-12.1078144,-77.0260312,01/2020
412.3,72.0,1.0,3.0,-12.156449,-76.9916621,01/2020
520.8,115.0,2.0,3.0,-12.0895382,-76.9999441,01/2020
874.0,120.0,3.0,3.0,-12.0994675,-77.0093074,01/2020
976.5,72.0,1.0,3.0,-12.0144618,-77.0117462,01/2020
1748.0,135.0,2.0,4.0,-12.0716372,-77.0507666,01/2020
48070.0,37.0,1.0,0.0,-12.0663486,-77.0441786,02/2020
131100.0,59.0,1.0,1.0,-12.1503241,-77.0220613,02/2020
699.2,46.0,1.0,1.0,-12.1503241,-77.0220613,02/2020
113620.0,46.0,1.0,1.0,-12.1503241,-77.0220613,02/2020
260.4,44.0,1.0,1.0,-12.175773368,-76.994235282,02/2020
699.2,84.0,2.0,1.0,-12.1144124,-77.0307861,02/2020
221471.6,88.0,2.0,1.0,-12.1257381205,-77.030880701,02/2020
235543.0,95.0,2.0,1.0,-12.1262835721,-77.0313098545,02/2020
232134.4,95.0,2.0,1.0,-12.1256542047,-77.0313098545,02/2020
786.6,81.0,2.0,1.0,-12.0962005,-77.0501845,02/2020
103132.0,70.0,2.0,1.0,-12.0987472612,-77.0300220654,02/2020
2622.0,211.0,1.0,1.0,-12.0783400709,-76.9649667416,02/2020
542.5,60.0,2.0,2.0,-12.0800963,-77.0348896,02/2020
65550.0,63.0,1.0,2.0,-12.0613336,-77.0144232,02/2020
