Price,Area,Baths,Beds,Latitude,Longitude,Date
360.0,50.0,1.0,1.0,-34.876799,-56.177896,02/2020
1223.6,10.0,1.0,1.0,-34.910376,-56.133742,02/2020
620.0,56.0,1.0,2.0,-34.85234,-56.19511,02/2020
169556.0,84.0,2.0,2.0,-34.903143,-56.159899,02/2020
201020.0,65.0,2.0,3.0,-34.917752,-56.164649,02/2020
122360.0,65.0,1.0,2.0,-34.909098,-56.187738,02/2020
170430.0,106.0,1.0,3.0,-34.881962,-56.142606,02/2020
209760.0,179.0,1.0,3.0,-34.8853544,-56.1295604,02/2020
340860.0,20.0,1.0,2.0,-34.8995551,-56.1382116,02/2020
257830.0,273.0,2.0,3.0,-34.903345,-56.143185,10/2019
121486.0,88.0,1.0,2.0,-34.886776,-56.185112,10/2019
227240.0,77.0,2.0,2.0,-34.903319,-56.129535,10/2019
680.0,80.0,2.0,2.0,-34.896718,-56.113261,10/2019
700.0,90.0,1.0,2.0,-34.902955,-56.158361,10/2019
192280.0,67.0,1.0,2.0,-34.906811,-56.154739,05/2019
18179.2,40.0,1.0,1.0,-34.902492,-56.162474,05/2019
109250.0,45.0,1.0,1.0,-34.908278,-56.147643,05/2019
249090.0,101.0,1.0,3.0,-34.905852,-56.151437,05/2019
104880.0,79.0,1.0,2.0,-34.866606,-56.180622,05/2019
100510.0,81.0,1.0,2.0,-34.867201,-56.180775,05/2019
130226.0,56.0,1.0,2.0,-34.882193,-56.152953,05/2019
114083.22,66.0,1.0,2.0,-34.886961,-56.163293,05/2019
113620.0,46.0,1.0,1.0,-34.886929,-56.163274,05/2019
104006.0,45.0,1.0,1.0,-34.882193,-56.152953,05/2019
117990.0,48.0,1.0,1.0,-34.886897,-56.163333,05/2019
166060.0,46.0,1.0,1.0,-34.924329,-56.16035,05/2019
360.0,135.0,1.0,2.0,-34.873081,-56.139193,05/2019
350.0,40.0,1.0,1.0,-34.902193,-56.169877,05/2019
370.0,41.0,1.0,1.0,-34.887018,-56.106558,05/2019
370.0,41.0,1.0,1.0,-34.887008,-56.106491,05/2019
490.0,42.0,1.0,1.0,-34.908434,-56.147357,05/2019
400.0,60.0,1.0,1.0,-34.904551,-56.165113,05/2019
470.0,65.0,1.0,2.0,-34.896315,-56.165843,05/2019
157320.0,184.0,2.0,4.0,-34.869197,-56.163809,05/2019
305900.0,151.0,2.0,3.0,-34.916622,-56.151853,05/2019
231610.0,56.0,2.0,2.0,-34.900451,-56.151531,05/2019
680.0,80.0,2.0,2.0,-34.896718,-56.113261,05/2019
198398.0,105.0,3.0,2.0,-34.906304,-56.190785,05/2019
126730.0,80.0,1.0,3.0,-34.869859,-56.164105,11/2019
109250.0,108.0,1.0,4.0,-34.884408,-56.184994,11/2019
144210.0,71.0,1.0,2.0,-34.894942,-56.113315,11/2019
56810.0,65.0,1.0,2.0,-34.879453,-56.176701,11/2019
150939.8,64.0,1.0,2.0,-34.897226,-56.122429,11/2019
117378.2,44.0,1.0,1.0,-34.897249,-56.122264,11/2019
94392.0,46.0,1.0,1.0,-34.907657,-56.184425,11/2019
150328.0,50.0,1.0,2.0,-34.895717,-56.110139,11/2019
104880.0,73.0,1.0,2.0,-34.911995,-56.190262,11/2019
117990.0,42.0,1.0,1.0,-34.907877,-56.141639,11/2019
218500.0,74.0,1.0,2.0,-34.911942,-56.150823,11/2019
69046.0,75.0,1.0,2.0,-34.864154,-56.221111,11/2019
94392.0,38.0,1.0,1.0,-34.894925,-56.174169,11/2019
128478.0,70.0,1.0,2.0,-34.898709,-56.150737,11/2019
360.0,70.0,1.0,2.0,-34.862676,-56.13077,11/2019
720.0,200.0,1.0,3.0,-34.89269,-56.082416,11/2019
458.0,100.0,1.0,2.0,-34.886283,-56.130695,11/2019
430.0,41.0,1.0,1.0,-34.906214,-56.190773,11/2019
390.0,41.0,1.0,1.0,-34.914954,-56.15178,11/2019
161690.0,187.0,2.0,5.0,-34.89921,-56.185369,11/2019
69920.0,107.0,2.0,2.0,-34.85194,-56.189774,11/2019
297160.0,166.0,2.0,3.0,-34.912962,-56.162453,11/2019
218500.0,135.0,2.0,2.0,-34.886776,-56.162839,11/2019
1136.2,125.0,2.0,2.0,-34.907895,-56.14357,11/2019
520.0,60.0,2.0,2.0,-34.914124,-56.151423,11/2019
1748.0,76.0,2.0,2.0,-34.920018,-56.165796,11/2019
174800.0,150.0,3.0,5.0,-34.90844,-56.19923,11/2019
2359.8,152.0,3.0,2.0,-34.90837,-56.133509,11/2019
3233.8,208.0,3.0,5.0,-34.905748,-56.136854,11/2019
3059.0,10.0,3.0,3.0,-34.920352,-56.165508,11/2019
56810.0,50.0,1.0,2.0,-34.897477,-56.129408,10/2019
50692.0,76.0,1.0,3.0,-34.87896,-56.192622,10/2019
440.0,50.0,1.0,2.0,-34.906804,-56.18185,10/2019
420.0,52.0,1.0,2.0,-34.896562,-56.16992,10/2019
350.0,65.0,1.0,1.0,-34.894168,-56.144772,10/2019
118864.0,62.0,1.0,2.0,-34.874049,-56.202064,10/2019
124982.0,50.0,1.0,2.0,-34.874102,-56.202085,10/2019
157320.0,106.0,1.0,2.0,-34.913162,-56.177201,10/2019
270940.0,76.0,1.0,1.0,-34.923537,-56.161637,04/2019
86526.0,35.0,1.0,1.0,-34.909149,-56.197394,04/2019
34960.0,83.0,1.0,1.0,-34.848769,-56.168881,04/2019
104006.0,93.0,1.0,2.0,-34.873327,-56.203796,04/2019
109250.0,62.0,1.0,2.0,-34.910006,-56.195508,04/2019
208012.0,75.0,2.0,2.0,-34.896808,-56.099367,04/2019
154698.0,81.0,2.0,2.0,-34.897618,-56.150823,04/2019
130226.0,65.0,1.0,2.0,-34.888325,-56.15329,04/2019
154698.0,81.0,1.0,2.0,-34.897547,-56.150866,04/2019
154698.0,81.0,2.0,2.0,-34.897442,-56.150994,04/2019
154698.0,81.0,2.0,2.0,-34.897653,-56.150866,04/2019
154698.0,81.0,2.0,2.0,-34.897477,-56.150866,04/2019
144821.8,76.0,2.0,2.0,-34.897618,-56.150908,04/2019
288420.0,127.0,2.0,3.0,-34.918804,-56.154041,04/2019
345230.0,160.0,2.0,3.0,-34.919423,-56.149123,04/2019
292790.0,128.0,3.0,3.0,-34.909971,-56.14593,04/2019
295412.0,125.0,2.0,3.0,-34.910239,-56.145431,04/2019
323380.0,163.0,3.0,3.0,-34.904446,-56.162581,04/2019
201020.0,84.0,2.0,3.0,-34.915197,-56.156209,04/2019
69920.0,74.0,1.0,3.0,-34.8866,-56.147132,04/2019
1040.0,70.0,1.0,1.0,-34.922323,-56.160135,04/2019
410.78,40.0,1.0,1.0,-34.902686,-56.130352,04/2019
874.0,40.0,1.0,1.0,-34.9121,-56.150951,04/2019
380.0,55.0,1.0,1.0,-34.908021,-56.148119,04/2019
460.0,50.0,1.0,1.0,-34.912505,-56.156659,04/2019
400.0,35.0,1.0,1.0,-34.908576,-56.15499,04/2019
300.0,15.0,1.0,1.0,-34.912531,-56.181357,04/2019
