Price,Area,Baths,Beds,Latitude,Longitude,Month,Year
193940.6,109.6255872,1.0,3,47.5112,-122.257,10,2014
470212.0,238.7608128,2.25,3,47.721,-122.319,12,2014
157320.0,71.5353408,1.0,2,47.7379,-122.233,2,2015
527896.0,182.0899584,3.0,4,47.5208,-122.393,12,2014
445740.0,156.0771072,2.0,3,47.6168,-122.045,2,2015
225055.0,159.3287136,2.25,3,47.3097,-122.327,6,2014
255076.9,98.4772224,1.5,3,47.4095,-122.315,1,2015
200583.0,165.36741120000002,1.0,3,47.5123,-122.337,4,2015
282302.0,175.5867456,2.5,3,47.3684,-122.031,3,2015
579025.0,330.73482240000004,2.5,3,47.6007,-122.145,4,2015
409032.0,107.7675264,1.0,2,47.69,-122.292,5,2014
270940.0,132.85134720000002,1.0,3,47.7558,-122.229,5,2014
349600.0,127.2771648,1.75,3,47.6127,-122.045,10,2014
463220.0,168.1545024,2.0,5,47.67,-122.394,3,2015
568100.0,274.06396800000005,3.0,4,47.5714,-122.375,1,2015
345230.0,175.5867456,2.0,3,47.7277,-121.962,7,2014
423890.0,148.644864,1.0,4,47.6648,-122.343,5,2014
165186.0,111.483648,1.0,2,47.3089,-122.21,12,2014
201020.0,116.1288,1.0,3,47.3343,-122.306,4,2015
336490.0,150.50292480000002,1.75,4,47.7025,-122.341,5,2014
249090.0,210.8899008,2.5,5,47.3266,-122.169,7,2014
220859.8,99.4062528,1.5,2,47.3533,-122.166,5,2014
287546.0,227.61244800000003,2.25,3,47.3739,-122.172,11,2014
203642.0,158.86419840000002,2.0,3,47.3048,-122.218,11,2014
818938.0,227.61244800000003,1.75,3,47.6386,-122.36,6,2014
582958.0,130.064256,1.0,3,47.6221,-122.314,12,2014
382812.0,141.2126208,1.75,3,47.695,-122.304,6,2014
628406.0,238.7608128,2.5,4,47.7073,-122.11,3,2015
507357.0,215.5350528,2.5,3,47.5391,-122.07,11,2014
244720.0,110.5546176,1.5,2,47.7274,-122.357,12,2014
600875.0,216.4640832,1.75,4,47.6823,-122.368,6,2014
467590.0,101.2643136,1.0,3,47.6889,-122.375,11,2014
281865.0,191.3802624,2.75,4,47.4276,-122.157,12,2014
608304.0,213.676992,2.5,3,47.6827,-122.31,6,2014
480700.0,154.2190464,1.0,4,47.6621,-122.132,5,2014
559360.0,219.2511744,2.0,4,47.6702,-122.362,12,2014
209760.0,113.3417088,1.0,4,47.3341,-122.282,2,2015
528770.0,243.4059648,2.5,4,47.5301,-122.18,6,2014
546250.0,238.7608128,2.5,4,47.6145,-122.027,7,2014
753379.26,333.9864288,2.75,5,47.6848,-122.016,7,2014
598690.0,145.85777280000002,1.0,3,47.6413,-122.364,10,2014
270066.0,118.9158912,1.0,3,47.4485,-122.175,7,2014
426512.0,293.5736064,2.5,3,47.7443,-121.977,7,2014
183968.26,91.9740096,1.0,3,47.3066,-122.371,3,2015
686090.0,212.7479616,2.5,4,47.6194,-122.151,7,2014
393300.0,116.1288,1.75,3,47.6796,-122.301,4,2015
199272.0,110.5546176,1.0,3,47.4258,-122.322,9,2014
301530.0,292.64457600000003,2.5,5,47.4934,-122.189,2,2015
524400.0,130.99328640000002,1.75,3,47.6808,-122.384,12,2014
511290.0,183.9480192,1.75,2,47.6989,-122.369,2,2015
804080.0,253.62529920000003,2.25,5,47.6571,-122.281,3,2015
773490.0,262.9156032,2.5,4,47.6597,-122.29,5,2014
255645.0,209.03184,2.5,4,47.3663,-122.114,8,2014
263074.0,224.8253568,2.5,3,47.3663,-122.122,4,2015
831174.0,301.93488,3.25,5,47.588,-122.116,8,2014
375820.0,171.87062400000002,3.0,4,47.5059,-122.149,2,2015
568100.0,199.741536,2.25,3,47.4336,-122.339,12,2014
252586.0,117.0578304,1.75,3,47.4366,-122.335,8,2014
441370.0,234.02275776,1.75,3,47.4428,-122.344,10,2014
479826.0,143.0706816,1.75,3,47.6765,-122.32,12,2014
371450.0,154.2190464,2.25,3,47.6113,-122.297,6,2014
277604.25,257.34142080000004,2.75,3,47.5747,-122.304,11,2014
852150.0,252.6962688,2.5,4,47.5815,-122.192,9,2014
250838.0,208.1028096,2.5,4,47.3378,-122.257,10,2014
178296.0,92.90304,1.0,3,47.3621,-122.11,8,2014
284050.0,117.0578304,2.0,3,47.7362,-122.179,1,2015
499054.0,255.48336,2.0,4,47.7168,-122.287,6,2014
314640.0,221.1092352,2.5,4,47.3608,-122.036,7,2014
305026.0,166.2964416,1.75,3,47.3511,-122.073,3,2015
727605.0,318.65742720000003,4.0,4,47.5822,-121.987,11,2014
332120.0,163.50935040000002,1.75,4,47.6034,-122.125,10,2014
419520.0,96.6191616,1.0,3,47.5636,-122.394,4,2015
358340.0,130.99328640000002,1.0,3,47.7073,-122.34,6,2014
629280.0,320.515488,2.5,4,47.342,-122.025,3,2015
340860.0,218.322144,2.5,3,47.3512,-122.008,12,2014
314640.0,176.51577600000002,2.5,4,47.349,-122.031,12,2014
310270.0,187.6641408,1.0,2,47.5474,-122.291,10,2014
311144.0,156.0771072,1.5,3,47.4811,-122.149,1,2015
275310.0,89.18691840000001,1.0,3,47.7264,-122.31,6,2014
821560.0,198.8125056,1.5,3,47.6337,-122.365,11,2014
266570.0,247.12208640000003,2.25,5,47.2909,-122.189,11,2014
402914.0,257.34142080000004,3.25,3,47.5228,-122.199,6,2014
187910.0,149.5738944,2.25,2,47.518,-122.194,5,2014
292790.0,95.6901312,1.75,2,47.5394,-122.387,9,2014
212819.0,183.9480192,2.5,4,47.2897,-122.372,5,2014
961295.12,327.01870080000003,2.75,5,47.6506,-122.391,3,2015
133722.0,111.483648,1.0,3,47.322,-122.351,2,2015
375820.0,146.7868032,1.5,3,47.687,-122.386,7,2014
611800.0,146.7868032,1.5,3,47.687,-122.386,12,2014
790970.0,306.580032,2.5,4,47.5873,-122.249,9,2014
216315.0,182.0899584,1.75,3,47.3576,-122.277,3,2015
173926.0,107.7675264,1.5,4,47.3036,-122.378,9,2014
274436.0,168.1545024,1.75,3,47.4109,-121.958,7,2014
382375.0,215.5350528,2.5,3,47.4838,-121.714,5,2014
743625.42,192.3092928,2.5,3,47.6415,-122.315,6,2014
485070.0,183.9480192,2.0,3,47.6775,-122.372,10,2014
611756.3,203.4576576,2.25,3,47.7731,-122.08,12,2014
950912.0,271.2768768,2.5,3,47.5814,-122.196,10,2014
253460.0,112.4126784,1.0,3,47.4375,-122.184,9,2014
327750.0,217.3931136,2.5,3,47.4431,-122.133,4,2015
